id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/c6a181c7-b58e-4c2a-aa2d-9ca31fc6548f,Aaron Marquez,Democratic,5,lower,Aaron,Marquez,Male,amarquez@azleg.gov,,,,https://cmsv2-assets.apptegy.net/uploads/23522/file/3233138/f4ffcd47-cd48-4c93-a121-db3084965d55.jpeg,https://www.azleg.gov/house-member/?legislature=57&session=129&legislator=2355,https://ballotpedia.org/Aaron_Marquez;https://www.azleg.gov/house-member/?legislature=57&session=129&legislator=2355;https://www.linkedin.com/in/aaronmarquez,,,,,,,,,,,
ocd-person/102ffcb1-3028-401f-b74f-6f45db25e05e,Alex Kolodin,Republican,3,lower,Alex,Kolodin,Male,akolodin@azleg.gov,,,,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Alexander_Kolodin.jpeg,https://www.azleg.gov/house-member/?legislature=56&session=127&legislator=2174;https://www.azleg.gov/house-member/?legislature=57&session=129&legislator=2318;https://www.azleg.gov/House/House-member/?legislature=56&session=127&legislator=2174;https://www.azleg.gov/House/House-member/?legislature=56&session=128&legislator=2174,https://ballotpedia.org/Alexander_Kolodin;https://en.wikipedia.org/wiki/Alexander_Kolodin;https://justfacts.votesmart.org/candidate/biography/192510/alexander-kolodin;https://www.azleg.gov/house-member/?legislature=56&session=127&legislator=2174;https://www.azleg.gov/house-member/?legislature=57&session=129&legislator=2318;https://www.azleg.gov/memberroster/?body=H;https://www.linkedin.com/in/alexander-kolodin-16535222,,,,,,,,,,,
ocd-person/6dba6afa-b274-4273-b8c6-270d27214eee,Alma Hernández,Democratic,20,lower,Alma,Hernández,Female,ahernandez@azleg.gov,,,,https://www.azleg.gov/alisImages/MemberPhotos/55leg/House/HERNANDEZ_A.jpg,https://www.azleg.gov/house-member/?legislature=55&legislator=2033;https://www.azleg.gov/house-member/?legislature=57&session=129&legislator=2312;https://www.azleg.gov/House/House-member/?legislature=54&session=122&legislator=1893;https://www.azleg.gov/House/House-member/?legislature=55&session=123&legislator=2033;https://www.azleg.gov/House/House-member/?legislature=55&session=125&legislator=2033;https://www.azleg.gov/House/House-member/?legislature=56&session=127&legislator=2168;https://www.azleg.gov/House/House-member/?legislature=56&session=128&legislator=2168;https://www.linkedin.com/in/alma-hernandez-48139a188/;https://www.youtube.com/channel/UCbBfWrdnhNiGe0NPq2j-3NQ/featured,https://ballotpedia.org/Alma_Hernandez_(Arizona);https://en.wikipedia.org/wiki/Alma_Hernandez;https://justfacts.votesmart.org/candidate/biography/184546/alma-hernandez;https://www.azleg.gov/house-member/?legislature=55&legislator=2033;https://www.azleg.gov/house-member/?legislature=57&session=129&legislator=2312;https://www.azleg.gov/MemberRoster/?body=H;https://www.azleg.gov/memberroster/?body=H;https://www.linkedin.com/in/alma-hernandez-a64b47156,,,,,,,almaforarizona,,repahernandez,AlmaforAZ,
ocd-person/87e6206a-c16e-4038-a86f-0d5c88b993e3,Analise Ortiz,Democratic,24,upper,Analise,Ortiz,Female,analise.ortiz@azleg.gov,,1993-04-17,,https://www.azleg.gov/alisImages/MemberPhotos/57leg/Senate/ORTIZ.jpg,https://www.azleg.gov/house-member/?legislature=56&session=127&legislator=2178;https://www.azleg.gov/House/House-member/?legislature=56&session=127&legislator=2178;https://www.azleg.gov/House/House-member/?legislature=56&session=128&legislator=2178;https://www.azleg.gov/senate-member/?legislature=57&legislator=2384,https://ballotpedia.org/Analise_Ortiz;https://en.wikipedia.org/wiki/Analise_Ortiz;https://justfacts.votesmart.org/candidate/biography/205629/analise-ortiz;https://www.azleg.gov/house-member/?legislature=56&session=127&legislator=2178;https://www.azleg.gov/memberroster/?body=H;https://www.azleg.gov/senate-member/?legislature=57&legislator=2384;https://www.linkedin.com/in/analise-ortiz,,,,,,,,,,,
ocd-person/2e9c0206-d392-48a3-a599-7f6d226527b7,Anna Abeytia,Democratic,24,lower,Anna,Abeytia,Female,aabeytia@azleg.gov,,,,https://azleg.gov/alisImages/MemberPhotos/57leg/House/ABEYTIA.jpg,https://www.azleg.gov/house-member/?legislature=57&session=129&legislator=2366,https://ballotpedia.org/Anna_Abeytia;https://en.wikipedia.org/wiki/Anna_Abeytia;https://justfacts.votesmart.org/candidate/biography/205626/anna-abeytia;https://www.azleg.gov/house-member/?legislature=57&session=129&legislator=2366,,,,,,,,,,,
ocd-person/81d12f3a-b635-4111-be8d-a71d2f7565f2,Betty Villegas,Democratic,20,lower,Betty,Villegas,Female,bvillegas@azleg.gov,,,,https://upload.wikimedia.org/wikipedia/commons/3/36/Betty_Villegas_by_Gage_Skidmore.jpg,https://www.azleg.gov/house-member/?legislature=56&session=127&legislator=2274;https://www.azleg.gov/house-member/?legislature=57&session=129&legislator=2346;https://www.azleg.gov/House/House-member/?legislature=56&session=128&legislator=2274,https://ballotpedia.org/Betty_Villegas;https://en.wikipedia.org/wiki/Betty_Villegas;https://justfacts.votesmart.org/candidate/biography/184515/betty-villegas;https://www.azleg.gov/house-member/?legislature=56&session=127&legislator=2274;https://www.azleg.gov/house-member/?legislature=57&session=129&legislator=2346;https://www.azleg.gov/memberroster/?body=H;https://www.linkedin.com/in/bettyvillegasaz,,,,,,,,,,,
ocd-person/77be0e97-4c93-4332-a9f9-9348560fdf98,Beverly Pingerelli,Republican,28,lower,Beverly,Pingerelli,Female,bpingerelli@azleg.gov,,,,https://www.azleg.gov/alisImages/MemberPhotos/55leg/House/PINGERELLI.jpg,https://www.azleg.gov/house-member/?legislature=55&legislator=2071;https://www.azleg.gov/house-member/?legislature=57&session=129&legislator=2333;https://www.azleg.gov/House/House-member/?legislature=55&session=123&legislator=2071;https://www.azleg.gov/House/House-member/?legislature=55&session=125&legislator=2071;https://www.azleg.gov/House/House-member/?legislature=56&session=127&legislator=2191;https://www.azleg.gov/House/House-member/?legislature=56&session=128&legislator=2191,https://ballotpedia.org/Beverly_Pingerelli;https://en.wikipedia.org/wiki/Beverly_Pingerelli;https://justfacts.votesmart.org/candidate/192549/beverly-pingerelli;https://www.azleg.gov/house-member/?legislature=55&legislator=2071;https://www.azleg.gov/house-member/?legislature=57&session=129&legislator=2333;https://www.azleg.gov/MemberRoster/?body=H;https://www.azleg.gov/memberroster/?body=H;https://www.linkedin.com/in/beverly-pingerelli-a20a3318,,,,,,,,,,,
ocd-person/5425612b-fb2c-4857-8f75-31523345eb2b,Brian Fernandez,Democratic,23,upper,Brian,Fernandez,Male,bfernandez@azleg.gov,,,,https://www.azleg.gov/alisImages/MemberPhotos/57leg/Senate/FERNANDEZ.jpg,https://www.azleg.gov/house-member/?legislature=55&session=123&legislator=2101;https://www.azleg.gov/House/House-member/?legislature=55&session=125&legislator=2101;https://www.azleg.gov/senate-member/?legislature=57&legislator=2379;https://www.azleg.gov/Senate/Senate-member/?legislature=56&session=127&legislator=2124;https://www.azleg.gov/Senate/Senate-member/?legislature=56&session=128&legislator=2124,https://ballotpedia.org/Brian_Fernandez;https://en.wikipedia.org/wiki/Brian_Fernandez_(politician);https://justfacts.votesmart.org/candidate/biography/200733/brian-fernandez;https://www.azleg.gov/house-member/?legislature=55&session=123&legislator=2101;https://www.azleg.gov/memberroster/?body=H;https://www.azleg.gov/memberroster/?body=S;https://www.azleg.gov/senate-member/?legislature=57&legislator=2379;https://www.linkedin.com/in/briansfernandez,,,,,,,,,,,
ocd-person/c13f449f-0423-4ad5-836b-69913aad6600,Brian Garcia,Democratic,8,lower,Brian,Garcia,Male,bgarcia@azleg.gov,,,,https://azleg.gov/alisImages/MemberPhotos/57leg/House/GARCIA.jpg,https://www.azleg.gov/house-member/?legislature=57&session=129&legislator=2358;https://www.legistorm.com/bo.php/core_person/edit/core_person_id/211707,https://ballotpedia.org/Brian_Garcia;https://en.wikipedia.org/wiki/Brian_Garcia_(politician);https://justfacts.votesmart.org/candidate/biography/216876/brian-garcia;https://www.azleg.gov/house-member/?legislature=57&session=129&legislator=2358;https://www.legistorm.com/bo.php/core_person/edit/core_person_id/211707;https://www.linkedin.com/in/briangarciaaz,,,,,,,,,,,
ocd-person/051cb7cf-e965-49a7-844a-a8830447df0c,Carine Werner,Republican,4,upper,Carine,Werner,Female,cwerner@azleg.gov,,,,https://storage.googleapis.com/enview-dev-public-general/legislative-people-photos/164676.jpg,https://www.azleg.gov/senate-member/?legislature=57&legislator=2389,https://ballotpedia.org/Carine_Werner;https://en.wikipedia.org/wiki/Carine_Werner;https://justfacts.votesmart.org/candidate/biography/216790/carine-werner;https://www.azleg.gov/senate-member/?legislature=57&legislator=2389;https://www.linkedin.com/in/carinewerner,,,,,,,,,,,
