id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/295965df-6c71-4e11-806f-2b7d5be5d45c,Aisha Wahab,Democratic,10,upper,Aisha,Wahab,Female,senator.wahab@senate.ca.gov,,,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/wahab_aisha_d-10_-_crop.jpg,https://sd10.senate.ca.gov/;https://senate.ca.gov/sd10,https://ballotpedia.org/Aisha_Wahab;https://en.wikipedia.org/wiki/Aisha_Wahab;https://justfacts.votesmart.org/candidate/biography/198411/aisha-wahab;https://sd10.senate.ca.gov;https://sd10.senate.ca.gov/biography;https://www.linkedin.com/in/aishabbwahab;https://www.senate.ca.gov/senators,,,,"39510 Paseo Padre Parkway Suite 280, Fremont, CA 94538",510-794-3900,,,,,,
ocd-person/6c2a35d5-c04c-44d0-8bd9-92a625e2b525,Akilah Weber Pierson,Democratic,39,upper,Akilah,Weber Pierson,Female,senator.weber@senate.ca.gov,,1978-07-02,,https://sd39.senate.ca.gov/sites/sd39.senate.ca.gov/files/website/sd39_bio_portrait.jpg,https://a79.asmdc.org/;https://sd39.senate.ca.gov/,https://a79.asmdc.org;https://a79.asmdc.org/;https://ballotpedia.org/Akilah_Weber;https://en.wikipedia.org/wiki/Akilah_Weber;https://justfacts.votesmart.org/candidate/biography/195832/akilah-weber;https://sd39.senate.ca.gov;https://sd39.senate.ca.gov/biography;https://www.assembly.ca.gov/assemblymembers;https://www.linkedin.com/in/akilah-weber-3164404,,,,"7575 Metropolitan Drive Suite 100, San Diego, CA 92108",619-688-6700,,,,,,
ocd-person/78610d0e-c790-4fc9-ab8e-0887adbbe063,Al Muratsuchi,Democratic,66,lower,Al,Muratsuchi,Male,assemblymember.muratsuchi@assembly.ca.gov,,1964-09-04,,https://webapi.assembly.ca.gov/district-media/assets/members/assembly_member_66.jpg,https://a66.asmdc.org/,https://a66.asmdc.org;https://assembly.ca.gov/assemblymembers;https://ballotpedia.org/Al_Muratsuchi;https://en.wikipedia.org/wiki/Al_Muratsuchi;https://justfacts.votesmart.org/candidate/biography/138450/al-muratsuchi;https://www.assembly.ca.gov/assemblymembers;https://www.linkedin.com/in/al-muratsuchi-ab916a7,,,,"3424 W. Carson St. Suite 450, Torrance, CA 90503",310-375-0691,,,,,,
ocd-person/5d0057a2-e04d-44ca-b1d5-fc55e113351a,Alex Lee,Democratic,24,lower,Alex,Lee,Male,assemblymember.lee@assembly.ca.gov,,1995-07-11,,https://webapi.assembly.ca.gov/district-media/assets/members/assembly_member_24.jpg,https://a24.asmdc.org/;https://a25.asmdc.org/,https://a24.asmdc.org;https://assembly.ca.gov/assemblymembers;https://ballotpedia.org/Alex_Lee;https://en.wikipedia.org/wiki/Alex_Lee_(politician);https://www.assembly.ca.gov/assemblymembers;https://www.linkedin.com/in/votealexlee,,,,"1313 N. Milpitas Blvd. Suite 255, Milpitas, CA 95035",408-262-2501,,,,,,
ocd-person/eb9c8103-ac9d-4342-9d95-5086d867a9bd,Ali Macedo,Republican,33,lower,Ali,Macedo,Female,assemblymember.macedo@assembly.ca.gov,,,,https://www.joincalifornia.com/candidate_pic.php?id=15000,https://ad33.asmrc.org/;https://www.assembly.ca.gov/assemblymembers/33,https://ad33.asmrc.org;https://ballotpedia.org/Alexandra_Macedo;https://en.wikipedia.org/wiki/Alexandra_Macedo;https://justfacts.votesmart.org/candidate/213228/alexandra-macedo;https://www.assembly.ca.gov/assemblymembers/33,,,,"100 W. Willow Plaza Suite 405, Visalia, CA 93291",559-636-3440,,,,,,
ocd-person/c3921173-9680-4387-a70e-ebba5c599846,Anamarie Avila Farias,Democratic,15,lower,Anamarie,Avila Farias,Female,assemblymember.avilafarias@assembly.ca.gov,,,,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Anamarie_Avila_Farias_20240905_034457.jpg,https://a15.asmdc.org/;https://www.assembly.ca.gov/assemblymembers/15,https://a15.asmdc.org;https://ballotpedia.org/Anamarie_Avila_Farias;https://en.wikipedia.org/wiki/Anamarie_Avila_Farias;https://justfacts.votesmart.org/candidate/146377/anamarie-avila-farias;https://www.assembly.ca.gov/assemblymembers/15,,,,"2151 Salvio St. Suite P, Concord, CA 94520",925-521-1511,,,,,,
ocd-person/564f2203-7cae-4a40-bc93-5c05a935b98f,Angelique Ashby,Democratic,8,upper,Angelique,Ashby,Female,senator.ashby@senate.ca.gov,,1975-03-20,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/ashby_angelique_d-08.jpg,https://sd08.senate.ca.gov/;https://senate.ca.gov/sd08,https://ballotpedia.org/Angelique_Ashby;https://en.wikipedia.org/wiki/Angelique_Ashby;https://justfacts.votesmart.org/candidate/biography/129642/angelique-ashby;https://sd08.senate.ca.gov;https://www.angeliqueashby.com;https://www.linkedin.com/in/angeliqueashby;https://www.senate.ca.gov/senators,,,,"1510 14th St., Sacramento, CA 95814",916-319-0309,,,,,,
ocd-person/fe462917-df55-4a43-9fd8-970541544ca6,Anna Caballero,Democratic,14,upper,Anna,Caballero,Female,senator.caballero@senate.ca.gov,,1955-04-18,,https://www.senate.ca.gov/sites/senate.ca.gov/files/senator_photos/2016-ad30_annacaballero.jpg,https://sd14.senate.ca.gov/;https://senate.ca.gov/sd12,https://ballotpedia.org/Anna_Caballero;https://en.wikipedia.org/wiki/Anna_Caballero;https://justfacts.votesmart.org/candidate/biography/58583/anna-caballero;https://sd14.senate.ca.gov;https://sd14.senate.ca.gov/biography;https://senate.ca.gov/senators;https://www.senate.ca.gov/senators,,,,"510 W. Main St. Suite E, Merced, CA 95340",209-726-5495,,,,,,
ocd-person/820619fd-d053-4915-b099-1d134a880228,Ash Kalra,Democratic,25,lower,Ash,Kalra,Male,assemblymember.kalra@assembly.ca.gov,,1972-01-21,,https://webapi.assembly.ca.gov/district-media/assets/members/assembly_member_25.jpg,https://a25.asmdc.org/;https://a27.asmdc.org/,https://a25.asmdc.org;https://assembly.ca.gov/assemblymembers;https://ballotpedia.org/Ash_Kalra;https://en.wikipedia.org/wiki/Ash_Kalra;https://justfacts.votesmart.org/candidate/biography/112088/ash-kalra;https://www.assembly.ca.gov/assemblymembers;https://www.linkedin.com/in/ash-kalra-2b874b3,,,,"111 W. Saint John St. Suite 1150, San Jose, CA 95113",408-286-2535,,,,,,
ocd-person/87062971-b583-4983-8ac5-4af98bef354d,Avelino Valencia,Democratic,68,lower,Avelino,Valencia,Male,assemblymember.valencia@assembly.ca.gov,,1988-11-12,,https://webapi.assembly.ca.gov/district-media/assets/members/assembly_member_68.jpg,https://a68.asmdc.org/,https://a68.asmdc.org;https://a68.asmdc.org/biography;https://ballotpedia.org/Avelino_Valencia;https://en.wikipedia.org/wiki/Avelino_Valencia;https://justfacts.votesmart.org/candidate/biography/196582/avelino-valencia;https://www.assembly.ca.gov/assemblymembers;https://www.linkedin.com/in/avelino-valencia-70395b62,,,,"2400 E. Katella Ave. Suite 640, Anaheim, CA 92806",714-939-8469,,,,,,
