id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/a033ad21-bdb7-4af2-be2e-e21c3e4cfa24,Adrienne Benavidez,Democratic,21,upper,Adrienne,Benavidez,Female,adrienne.benavidez.senate@coleg.gov,,,,"https://leg.colorado.gov/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBMmlFQXc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--23746f2c8382ad88801fb500a0e47384becef5d8/Benavidez,%20Adrienne.jpg",https://leg.colorado.gov/legislators/adrienne-benavidez,https://ballotpedia.org/Adrienne_Benavidez;https://en.wikipedia.org/wiki/Adrienne_Benavidez;https://justfacts.votesmart.org/candidate/biography/29901/adrienne-benavidez;https://leg.colorado.gov/legislators;https://leg.colorado.gov/legislators/adrienne-benavidez;https://www.linkedin.com/in/adrienne-benavidez-ba903a6,,,,,,,benavidezhd32,,benavidezhd32,benavidezhd32,
ocd-person/45c957a4-0017-4c0c-8650-393d656fc5a0,Alex Valdez,Democratic,5,lower,Alex,Valdez,Male,alex.valdez.house@coleg.gov,,1981-06-03,,"https://leg.colorado.gov/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBMU5UQXc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--d081dee839aa2f1b43bce42882d1b5e679141a05/Valdez,%20Alex.jpg",https://leg.colorado.gov/legislators/alex-valdez,https://ballotpedia.org/Alex_Valdez_(Colorado);https://en.wikipedia.org/wiki/Alex_Valdez;https://justfacts.votesmart.org/candidate/biography/181727/alex-valdez;https://leg.colorado.gov/legislators;https://leg.colorado.gov/legislators/alex-valdez,,,,,,,ValdezforCO,,,ValdezforCO,
ocd-person/34dbb5f1-239b-4924-911e-27ff91bde5cd,Amy Paschal,Democratic,18,lower,Amy,Paschal,Female,amy.paschal.house@coleg.gov,,1964-08-07,,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/AmyPaschall24.jpg,https://leg.colorado.gov/legislators/amy-paschal,https://ballotpedia.org/Amy_Paschal;https://en.wikipedia.org/wiki/Amy_Paschal;https://justfacts.votesmart.org/candidate/biography/217141/amy-paschal;https://leg.colorado.gov/legislators/amy-paschal;https://www.linkedin.com/in/amy-paschal,,,,,,,,,amyfor18,,
ocd-person/278f042b-4fe3-4325-ad59-bc240e4fda0c,Andy Boesenecker,Democratic,53,lower,Andy,Boesenecker,Male,andrew.boesenecker.house@coleg.gov,,,,"https://leg.colorado.gov/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBMGhUQXc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--cfaae02348bca597a92a30ada0c08d3e68ecc93f/Boesenecker,%20Andrew.jpg",https://leg.colorado.gov/legislators/andrew-boesenecker,https://ballotpedia.org/Andrew_Boesenecker;https://en.wikipedia.org/wiki/Andrew_Boesenecker;https://justfacts.votesmart.org/candidate/biography/196267/andrew-boesenecker;https://leg.colorado.gov/legislators;https://leg.colorado.gov/legislators/andrew-boesenecker;https://www.linkedin.com/in/andrew-boesenecker-477657134,,,,,,,rep_boesenecker,,,andyforcolorado,
ocd-person/561892b1-c618-43cb-9767-9237514f0a92,Tony Hartsook,Republican,44,lower,Tony,Hartsook,Male,anthony.hartsook.house@coleg.gov,,,,"https://leg.colorado.gov/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeVpUQXc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--500af1f4202491ae4bd34d7f8e8196708b8f0019/Hartsook,Anthony.jpg",https://leg.colorado.gov/legislators/anthony-hartsook,https://anthonyhartsook.home.blog;https://ballotpedia.org/Anthony_Hartsook;https://en.wikipedia.org/wiki/Anthony_Hartsook;https://justfacts.votesmart.org/candidate/biography/204894/anthony-hartsook;https://leg.colorado.gov/legislators;https://leg.colorado.gov/legislators/anthony-hartsook;https://www.linkedin.com/in/anthony-hartsook-a5a1ba3b,,,,,,,RepHartsook,,rephartsook,AnthonyHartsookCO,
ocd-person/af9e96aa-fb8b-49bb-96d8-e6c2c1ceb2b5,Ava Flanell,Republican,14,lower,Ava,Flanell,Female,ava.flanell.house@coleg.gov,,1986-07-22,,,https://leg.colorado.gov/legislators/ava-flanell,https://ballotpedia.org/Ava_Flanell;https://en.wikipedia.org/wiki/Ava_Flanell;https://justfacts.votesmart.org/candidate/biography/228974/ava-flanell;https://leg.colorado.gov/legislators/ava-flanell;https://www.linkedin.com/in/avaflanell,,,,,,,AvaFlanell_,,avaflanell_,,
ocd-person/6d1fcaf0-ed3d-4772-876f-09dc5e931556,Barbara Kirkmeyer,Republican,23,upper,Barbara,Kirkmeyer,Female,barbara.kirkmeyer.senate@coleg.gov,,1958-09-15,,"https://leg.colorado.gov/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBKzlTQXc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--b75364af53ed9e801f5b0adfea3ca5cd1bbb3cf9/Kirkmeyer,%20Barbara.jpg",https://leg.colorado.gov/legislators/barbara-kirkmeyer,https://ballotpedia.org/Barbara_Kirkmeyer;https://en.wikipedia.org/wiki/Barbara_Kirkmeyer;https://justfacts.votesmart.org/candidate/biography/29991/barbara-kirkmeyer;https://leg.colorado.gov/legislators;https://leg.colorado.gov/legislators/barbara-kirkmeyer;https://www.linkedin.com/in/barb-kirkmeyer-8173183b,,,,,,,SenKirkmeyer,,senkirkmeyer,,
ocd-person/ade56d2d-41d7-436d-b76b-85051f036c7a,Bob Marshall,Democratic,43,lower,Bob,Marshall,Male,bob.marshall.house@coleg.gov,,,,"https://leg.colorado.gov/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBM1pUQXc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--18c815634a34450ae6caf0855eeb0406ea4582cc/Marshall,%20Bob.jpg",https://leg.colorado.gov/legislators/bob-marshall,https://ballotpedia.org/Robert_Marshall_(Colorado);https://en.wikipedia.org/wiki/Bob_Marshall_(Colorado_politician);https://justfacts.votesmart.org/candidate/biography/206203/robert-marshall;https://leg.colorado.gov/legislators;https://leg.colorado.gov/legislators/bob-marshall,,,,,,,Bob4Colorado,,,Bob4Colorado,
ocd-person/5a396024-8dcf-438c-beca-a730e972d9d8,Brandi Bradley,Republican,39,lower,Brandi,Bradley,Female,brandi.bradley.house@coleg.gov,,,,"https://leg.colorado.gov/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBMnhUQXc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--f00bc156e1af4f5ddf1b991b5f96817a5221767c/Bradley,%20Brandi.jpg",https://leg.colorado.gov/legislators/brandi-bradley;https://www.coloradohouserepublicans.com/brandi-bradley/,https://ballotpedia.org/Brandi_Bradley;https://en.wikipedia.org/wiki/Brandi_Bradley;https://justfacts.votesmart.org/candidate/biography/206196/brandi-bradley;https://leg.colorado.gov/legislators;https://leg.colorado.gov/legislators/brandi-bradley;https://www.coloradohouserepublicans.com/brandi-bradley,,,,,,,brandi_b12,,rep.brandi.bradley,brandibradleyfor39,
ocd-person/fa9b604d-5981-4de1-97bc-9400e03909c9,Brianna Titone,Democratic,27,lower,Brianna,Titone,Female,brianna.titone.house@coleg.gov,,,,"https://leg.colorado.gov/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeUZUQXc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--ee1a1cad1906ee93f20ffecfca5d9444e525ac05/Titone,%20Brianna.jpg",https://leg.colorado.gov/legislators/brianna-titone,https://ballotpedia.org/Brianna_Titone;https://en.wikipedia.org/wiki/Brianna_Titone;https://justfacts.votesmart.org/candidate/biography/181766/brianna-titone;https://leg.colorado.gov/legislators;https://leg.colorado.gov/legislators/brianna-titone;https://www.linkedin.com/in/brianna-titone-36b1419,,,,,,,BriannaForCO,,briannaforcolorado,BriannaForColorado,
ocd-person/2d0d060c-6d5f-45da-a069-fe2be14547eb,Byron Pelton,Republican,1,upper,Byron,Pelton,Male,byron.pelton.senate@coleg.gov,,,,"https://leg.colorado.gov/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdzk5QXc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--7602b8809ffd638d639b8a39132341d13e764130/Pelton,%20Byron.jpg",https://leg.colorado.gov/legislators/byron-pelton,https://ballotpedia.org/Byron_Pelton;https://en.wikipedia.org/wiki/Byron_Pelton;https://justfacts.votesmart.org/candidate/biography/206103/byron-pelton;https://leg.colorado.gov/legislators;https://leg.colorado.gov/legislators/byron-pelton,,,,,,,commish_pelton,,,,
ocd-person/5f8d1bd0-329b-4a87-8d2f-cb62b8f2e921,Carlos Barron,Republican,48,lower,Carlos,Barron,Male,carlos.barron.house@coleg.gov,,,,https://i0.wp.com/coloradocommunitymedia.com/wp-content/uploads/2024/10/7A10C326-743A-4DF1-9625-6E709398C30F-JF-Services-Inc-Office-e1728345969755.jpg?resize=150%2C150&ssl=1,https://leg.colorado.gov/legislators/carlos-barron,https://ballotpedia.org/Carlos_Barron;https://en.wikipedia.org/wiki/Carlos_Barron_(politician);https://justfacts.votesmart.org/candidate/biography/217172/carlos-barron;https://leg.colorado.gov/legislators/carlos-barron;https://www.linkedin.com/in/representative-elect-carlos-barron-1664695a,,,,,,,RepCarlosBarron,,,,
ocd-person/0ddf3b75-c450-419e-8235-553157770e49,Cathy Kipp,Democratic,14,upper,Cathy,Kipp,Female,cathy.kipp.senate@coleg.gov,,,,"https://leg.colorado.gov/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBLzFTQXc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--0c9240ecbd4ae088cff97b227aa60c5b2bf6ac83/Kipp,%20Cathy.jpg",https://leg.colorado.gov/legislators/cathy-kipp,https://ballotpedia.org/Cathy_Kipp;https://en.wikipedia.org/wiki/Cathy_Kipp;https://justfacts.votesmart.org/candidate/biography/21982/cathy-kipp;https://leg.colorado.gov/legislators;https://leg.colorado.gov/legislators/cathy-kipp;https://www.linkedin.com/in/cathy-kipp-009a3541,,,,,,,cathy_kipp,,senatorcathykipp,SenatorCathyKipp,
ocd-person/a34a6b10-12d9-4109-86d1-76c311463333,Cecelia Espenoza,Democratic,4,lower,Cecelia,Espenoza,Female,cecelia.espenoza.house@coleg.gov,,1958-07-28,,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/CeceliaEspenoza24.jpg,https://leg.colorado.gov/legislators/cecelia-espenoza,https://ballotpedia.org/Cecelia_Espenoza;https://en.wikipedia.org/wiki/Cecelia_Espenoza;https://justfacts.votesmart.org/candidate/biography/217129/cecelia-espenoza;https://leg.colorado.gov/legislators/cecelia-espenoza;https://www.linkedin.com/in/cecelia-espenoza,,,,,,,,,,,
ocd-person/faaae748-7c57-47df-bdf7-1811e0a61458,Chad Clifford,Democratic,37,lower,Chad,Clifford,Male,chad.clifford.house@coleg.gov,,,,,https://leg.colorado.gov/legislators/chad-clifford,https://ballotpedia.org/Chad_Clifford;https://en.wikipedia.org/wiki/Chad_Clifford;https://justfacts.votesmart.org/candidate/biography/214547/chad-clifford;https://leg.colorado.gov/legislators/chad-clifford;https://www.linkedin.com/in/chadclifford,,,,,,,,,,chadforcolorado,
ocd-person/f72691ec-a5a0-413b-a344-e452009551a2,Chris Kolker,Democratic,16,upper,Chris,Kolker,Male,chris.kolker.senate@coleg.gov,,,,"https://leg.colorado.gov/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBL2xTQXc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--56397ac18c5c7504955ce6730cdb98acc6f36205/Kolker,%20Chris.jpg",https://leg.colorado.gov/legislators/chris-kolker,https://ballotpedia.org/Chris_Kolker;https://en.wikipedia.org/wiki/Chris_Kolker;https://justfacts.votesmart.org/candidate/biography/181774/chris-kolker;https://leg.colorado.gov/legislators;https://leg.colorado.gov/legislators/chris-kolker;https://www.linkedin.com/in/christopher-kolker-7a07214,,,,,,,senatorkolker,,senatorchriskolker,KolkerforColorado,
ocd-person/0c428ee3-a327-4906-96c9-c46da7dfd7f1,Chris Richardson,Republican,56,lower,Chris,Richardson,Male,chris.richardson.house@coleg.gov,,1966-08-19,,https://i0.wp.com/coloradocommunitymedia.com/wp-content/uploads/2022/10/20221012-100004-Richardson20for20Facebook.jpg?resize=1200%2C782&ssl=1,https://leg.colorado.gov/legislators/chris-richardson,https://ballotpedia.org/Chris_Richardson_(Colorado);https://en.wikipedia.org/wiki/Chris_Richardson_(politician);https://justfacts.votesmart.org/candidate/biography/217179/chris-richardson;https://leg.colorado.gov/legislators/chris-richardson;https://www.linkedin.com/in/christopher-richardson-163a372,,,,,,,,,,,
ocd-person/715df6f2-cef6-4b88-b745-0207c8ffb4ff,Cleave Simpson,Republican,6,upper,Cleave,Simpson,Male,cleave.simpson.senate@coleg.gov,,,,"https://leg.colorado.gov/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBL3hTQXc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--7513585dd62fce02f81a3e6d3a1c44d08d397b9b/Simpson,%20Cleave.jpg",https://leg.colorado.gov/legislators/cleave-simpson,https://ballotpedia.org/Cleave_Simpson_Jr.;https://en.wikipedia.org/wiki/Cleave_Simpson;https://justfacts.votesmart.org/candidate/biography/191801/cleave-simpson;https://leg.colorado.gov/legislators;https://leg.colorado.gov/legislators/cleave-simpson;https://www.linkedin.com/in/cleave-simpson-48055038,,,,,,,SSenate35,,,simpsonforsenate6,
ocd-person/df050043-0b4f-4b51-8df0-ffd6cd6cd5b2,Dan Woog,Republican,19,lower,Dan,Woog,Male,dan.woog.house@coleg.gov,,1978-04-12,,https://leg.colorado.gov/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBNEZUQXc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--6bf3d084b17e200e01f2ade18431e32df8e43a60/Rep%20Woog%202026.jpg,https://leg.colorado.gov/legislators/dan-woog,https://ballotpedia.org/Dan_Woog;https://en.wikipedia.org/wiki/Dan_Woog;https://justfacts.votesmart.org/candidate/biography/191765/dan-woog;https://leg.colorado.gov/legislators;https://leg.colorado.gov/legislators/dan-woog;https://www.linkedin.com/in/dan-woog-9784b322,,,,,,,danielpwoog,,,representativedanwoog,
ocd-person/f38f9f4b-9d3a-4e79-a96f-fab94d553d89,Dusty Johnson,Republican,63,lower,Dusty,Johnson,Female,dustyforcolorado@gmail.com,,1995-03-07,,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/DustyJohnsonCO.jpg,https://leg.colorado.gov/legislators/dusty-johnson,https://ballotpedia.org/Dusty_Johnson_(Colorado);https://en.wikipedia.org/wiki/Dusty_A._Johnson;https://justfacts.votesmart.org/candidate/biography/217185/dusty-johnson;https://leg.colorado.gov/legislators/dusty-johnson;https://www.linkedin.com/in/dusty-a-johnson-30a7b58b,,,,,,,,,,,
ocd-person/4be512fb-5ebc-422c-a858-d250cb5568ad,Dylan Roberts,Democratic,8,upper,Dylan,Roberts,Male,dylan.roberts.senate@coleg.gov,,1989-07-17,,"https://leg.colorado.gov/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBOXhTQXc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--8f1c6929289275427225aba6c766440b456c3b1a/Roberts,%20Dylan.jpg",https://leg.colorado.gov/legislators/dylan-roberts,https://ballotpedia.org/Dylan_Roberts;https://en.wikipedia.org/wiki/Dylan_Roberts;https://justfacts.votesmart.org/candidate/biography/179465/dylan-roberts;https://leg.colorado.gov/legislators;https://leg.colorado.gov/legislators/dylan-roberts;https://www.linkedin.com/in/dylan-roberts-b214b933,,,,,,,Dylan_RobertsCO,,dylanroberts_co,DylanforColorado,
ocd-person/c02b7bf5-a583-43c0-b6d6-2e757c7d42b7,Eliza Hamrick,Democratic,61,lower,Eliza,Hamrick,Female,eliza.hamrick.house@coleg.gov,,,,"https://leg.colorado.gov/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBd3RUQXc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--291f32764a20e23b89e6ea44560dea6151853b61/Hamrick,Eliza-.jpg",https://leg.colorado.gov/legislators/eliza-hamrick,https://ballotpedia.org/Eliza_Hamrick;https://en.wikipedia.org/wiki/Eliza_Hamrick;https://justfacts.votesmart.org/candidate/biography/206235/eliza-hamrick;https://leg.colorado.gov/legislators;https://leg.colorado.gov/legislators/eliza-hamrick,,,,,,,eliza4colorado,,,eliza4colorado,
