id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/860fa95b-c737-43bd-948d-1dd6dc1b734e,Anita Bonds,Democratic,At-Large,legislature,Anita,Bonds,Female,abonds@dccouncil.gov,,,,https://dccouncil.gov/wp-content/uploads/2017/03/Anita-Bonds-Official-Portrait-Shot-002-75x75-c-default.jpg,https://dccouncil.gov/council/anita-bonds/;https://dccouncil.us/council/anita-bonds/,https://ballotpedia.org/Anita_Bonds;https://dccouncil.gov/council/anita-bonds;https://dccouncil.gov/council/anita-bonds/;https://dccouncil.us/council/anita-bonds;https://dccouncil.us/council/anita-bonds/;https://dccouncil.us/councilmembers;https://dccouncil.us/councilmembers/;https://en.wikipedia.org/wiki/Anita_Bonds;https://www.linkedin.com/in/anita-d-bonds-67343a84,,,,"1350 Pennsylvania Ave. NW Suite 404, Washington, DC 20004",202-724-8064,,AnitaBondsDC,,,anitabondsdc,
ocd-person/4e806a33-bba3-4484-95f8-d723769b99f1,Brianne Nadeau,Democratic,Ward 1,legislature,Brianne,Nadeau,Female,bnadeau@dccouncil.gov,,,,https://dccouncil.gov/wp-content/uploads/2017/03/Copy-of-IMG_0900_Fotor-scaled-75x75-c-default.jpg,https://brianneknadeau.com/;https://dccouncil.gov/council/brianne-nadeau/;https://dccouncil.us/council/brianne-nadeau/;https://www.brianneknadeau.com/,https://ballotpedia.org/Brianne_Nadeau;https://brianneknadeau.com;https://dccouncil.gov/council/brianne-nadeau;https://dccouncil.gov/council/brianne-nadeau/;https://dccouncil.us/council/brianne-nadeau;https://dccouncil.us/council/brianne-nadeau/;https://dccouncil.us/councilmembers;https://dccouncil.us/councilmembers/;https://en.wikipedia.org/wiki/Brianne_Nadeau;https://www.brianneknadeau.com;https://www.brianneknadeau.com/;https://www.linkedin.com/in/brianneknadeau,,,,"1350 Pennsylvania Ave. NW Suite 108, Washington, DC 20004",202-724-8181,,BrianneKNadeau,,,brianneknadeau.,
ocd-person/bf329860-076e-4d14-bed2-969d0d13dfec,Brooke Pinto,Democratic,Ward 2,legislature,Brooke,Pinto,Female,bpinto@dccouncil.gov,,,,https://dccouncil.gov/wp-content/uploads/2020/06/cmbphs-scaled-75x75-c-default.jpg,https://dccouncil.gov/council/ward-2-councilmember-brooke-pinto/;https://dccouncil.us/council/ward-2-councilmember-brooke-pinto/;https://www.brookepintodc.com/,https://ballotpedia.org/Brooke_Pinto;https://dccouncil.gov/council/ward-2-councilmember-brooke-pinto;https://dccouncil.gov/council/ward-2-councilmember-brooke-pinto/;https://dccouncil.us/council/ward-2-councilmember-brooke-pinto;https://dccouncil.us/council/ward-2-councilmember-brooke-pinto/;https://dccouncil.us/councilmembers;https://dccouncil.us/councilmembers/;https://www.brookepintodc.com;https://www.linkedin.com/in/brooke-pinto-09561344,,,,"1350 Pennsylvania Ave. NW Suite 106, Washington, DC 20004",202-724-8058,,,,,,
ocd-person/ab8e39c8-583e-4e9d-b481-0f43c21318ba,Charles Allen,Democratic,Ward 6,legislature,Charles,Allen,Male,callen@dccouncil.gov,,,,https://dccouncil.gov/wp-content/uploads/2017/06/C._Allen_small_1-75x75-c-default.jpg,https://dccouncil.gov/council/councilmember-allen/;https://dccouncil.us/council/councilmember-allen/;https://www.charlesallenward6.com/,"https://ballotpedia.org/Charles_Allen_(Washington_DC);https://dccouncil.gov/council/councilmember-allen;https://dccouncil.gov/council/councilmember-allen/;https://dccouncil.us/council/councilmember-allen;https://dccouncil.us/council/councilmember-allen/;https://dccouncil.us/councilmembers;https://dccouncil.us/councilmembers/;https://en.wikipedia.org/wiki/Charles_Allen_%28Washington,_D.C._politician%29;https://www.charlesallenward6.com",,,,"1350 Pennsylvania Ave. NW Suite 110, Washington, DC 20004",202-724-8072,,CMCharlesAllen,,,CMcharlesallen,
ocd-person/43dcb6c4-0eb1-48c7-965b-4979eb747b5b,Christina Henderson,Independent,At-Large,legislature,Christina,Henderson,Female,chenderson@dccouncil.gov,,,,https://dccouncil.gov/wp-content/uploads/2021/01/Headshot-Official-scaled-75x75-c-default.jpg,https://dccouncil.gov/council/at-large-councilmember-christina-henderson/;https://dccouncil.us/council/at-large-councilmember-christina-henderson/,https://ballotpedia.org/Christina_Henderson;https://dccouncil.gov/council/at-large-councilmember-christina-henderson;https://dccouncil.gov/council/at-large-councilmember-christina-henderson/;https://dccouncil.us/council/at-large-councilmember-christina-henderson;https://dccouncil.us/council/at-large-councilmember-christina-henderson/;https://dccouncil.us/councilmembers;https://dccouncil.us/councilmembers/;https://en.wikipedia.org/wiki/Christina_Henderson_(politician);https://www.christinahenderson.org;https://www.linkedin.com/in/christina-henderson-54093620,,,,"1350 Pennsylvania Ave. NW Suite 402, Washington, DC 20004",202-724-8105,,CMCHenderson,,,christinahendersondc,
ocd-person/5b179576-4f3f-453c-b40a-32917d38d751,Doni Crawford,Independent,At-Large,legislature,Doni,Crawford,Female,dcrawford@dccouncil.gov,,,,https://dccouncil.gov/wp-content/uploads/2026/01/Bio-Pic-scaled-125x125-c-default.jpeg,https://dccouncil.gov/council/at-large-councilmember-doni-crawford/,https://dccouncil.gov/council/at-large-councilmember-doni-crawford;https://dccouncil.gov/council/at-large-councilmember-doni-crawford/;https://en.wikipedia.org/wiki/Doni_Crawford;https://www.linkedin.com/in/donicrawford,,,,"1350 Pennsylvania Ave. NW Suite 506, Washington, DC 20004",202-724-7772,,,,,,
ocd-person/4fc6d65b-d6d2-46d7-bdea-48b5458576ab,Janeese Lewis George,Democratic,Ward 4,legislature,Janeese,Lewis George,Female,jlewisgeorge@dccouncil.gov,,1988-04-30,,https://dccouncil.gov/wp-content/uploads/2021/01/0EB064A9-D1C7-4387-945B-4DDD13AF8415-75x75-c-default.jpeg,https://dccouncil.gov/council/ward-4-councilmember-janeese-lewis-george/;https://dccouncil.us/council/ward-4-councilmember-janeese-lewis-george/;https://janeeseward4.com/,https://ballotpedia.org/Janeese_Lewis_George;https://dccouncil.gov/council/ward-4-councilmember-janeese-lewis-george;https://dccouncil.gov/council/ward-4-councilmember-janeese-lewis-george/;https://dccouncil.us/council/ward-4-councilmember-janeese-lewis-george;https://dccouncil.us/council/ward-4-councilmember-janeese-lewis-george/;https://dccouncil.us/councilmembers;https://dccouncil.us/councilmembers/;https://en.wikipedia.org/wiki/Janeese_Lewis_George;https://janeeseward4.com;https://janeeseward4.com/;https://www.linkedin.com/in/janeeselewis,,,,"1350 Pennsylvania Ave. NW Suite 105, Washington, DC 20004",202-724-8052,,,,,,
ocd-person/3451eb73-5042-4269-91b5-0287e527e72e,Matt Frumin,Democratic,Ward 3,legislature,Matt,Frumin,Male,mfrumin@dccouncil.gov,,,,https://dccouncil.gov/wp-content/uploads/2023/01/Headshot1-scaled-75x75-c-default.jpg,https://dccouncil.gov/council/ward-3-councilmember-matthew-frumin/,https://ballotpedia.org/Matthew_Frumin;https://dccouncil.gov/council/ward-3-councilmember-matthew-frumin;https://dccouncil.gov/council/ward-3-councilmember-matthew-frumin/;https://dccouncil.us/councilmembers;https://dccouncil.us/councilmembers/;https://en.wikipedia.org/wiki/Matthew_Frumin;https://www.linkedin.com/in/matthew-frumin-75990745,,,,"1350 Pennsylvania Ave. NW Suite 408, Washington, DC 20004",202-724-8062,,CMFrumin,,,cmfrumin,
ocd-person/e3b9567d-67ff-4cc1-89eb-1ed1af646393,Phil Mendelson,Democratic,Chairman,legislature,Phil,Mendelson,Male,pmendelson@dccouncil.gov,,1952-11-08,,https://dccouncil.gov/wp-content/uploads/2017/03/Photo-107-002-110x110-c-default.jpg,https://chairmanmendelson.com/;https://dccouncil.gov/council/phil-mendelson/;https://dccouncil.us/council/phil-mendelson/,https://ballotpedia.org/Phil_Mendelson;https://chairmanmendelson.com;https://chairmanmendelson.com/about-phil;https://dccouncil.gov/council/phil-mendelson;https://dccouncil.gov/council/phil-mendelson/;https://dccouncil.us/council/phil-mendelson;https://dccouncil.us/council/phil-mendelson/;https://dccouncil.us/councilmembers;https://dccouncil.us/councilmembers/;https://en.wikipedia.org/wiki/Phil_Mendelson,,,,"1350 Pennsylvania Ave. NW Suite 504, Washington, DC 20004",202-724-8032,,ChmnMendelson,,,ChairmanPhilMendelson,
ocd-person/07b9c384-a232-40d5-b445-61db9e4bb65b,Robert White,Democratic,At-Large,legislature,Robert,White,Male,rwhite@dccouncil.gov,,,,https://dccouncil.gov/wp-content/uploads/2017/06/CM-Robert-White-Headshot_Photo-credit-Sebastian-Vizcarra-scaled-75x75-c-default.jpg,https://dccouncil.gov/council/councilmember-robert-c-white-jr/;https://dccouncil.us/council/councilmember-robert-c-white-jr/;https://www.robertwhiteatlarge.com/,"https://ballotpedia.org/Robert_White_(District_of_Columbia);https://dccouncil.gov/council/councilmember-robert-c-white-jr;https://dccouncil.gov/council/councilmember-robert-c-white-jr/;https://dccouncil.us/council/councilmember-robert-c-white-jr;https://dccouncil.us/council/councilmember-robert-c-white-jr/;https://dccouncil.us/councilmembers;https://dccouncil.us/councilmembers/;https://en.wikipedia.org/wiki/Robert_White_(Washington,_D.C._politician);https://www.linkedin.com/in/robert-white-503b825;https://www.robertwhiteatlarge.com;https://www.robertwhiteatlarge.com/",,,,"1350 Pennsylvania Ave. NW Suite 107, Washington, DC 20004",202-724-8174,,,,,,
