id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/e9301c44-8042-4031-8ed0-4731c64a5a66,Alonna Berry,Democratic,20,lower,Alonna,Berry,Female,alonna.berry@delaware.gov,,,,https://housedems.delaware.gov/wp-content/blogs.dir/210/files/sites/210/2025/08/Untitled-design-1-710x710.png,https://housedems.delaware.gov/members/house-district-20/,https://ballotpedia.org/Alonna_Berry;https://en.wikipedia.org/wiki/Alonna_Berry;https://housedems.delaware.gov/members/house-district-20;https://justfacts.votesmart.org/candidate/biography/224727/alonna-berry;https://www.linkedin.com/in/alonna-b-468922186,,,,,,,,,repalonnaberry,RepAlonnaBerry,
ocd-person/8b5f6201-6c2f-4847-8d69-737ae776c44b,Brian Pettyjohn,Republican,19,upper,Brian,Pettyjohn,Male,brian.pettyjohn@delaware.gov,,1974-01-11,,https://senategop.delaware.gov/wp-content/blogs.dir/216/files/sites/216/2022/10/Pettyjohn_Brian_Member_Card-min-1.png,https://legis.delaware.gov/AssemblyMember/150/Pettyjohn;https://legis.delaware.gov/LegislatorDetail?personId=9;https://senategop.delaware.gov/members/senate-district-19/,https://ballotpedia.org/Brian_Pettyjohn;https://en.wikipedia.org/wiki/Brian_G._Pettyjohn;https://justfacts.votesmart.org/candidate/biography/143611/brian-pettyjohn;https://legis.delaware.gov/AssemblyMember/150/Pettyjohn;https://legis.delaware.gov/json/Senate/GetSenators;https://legis.delaware.gov/LegislatorDetail?personId=9;https://legis.delaware.gov/Senate;https://senategop.delaware.gov/members/senate-district-19;https://www.linkedin.com/in/brianpettyjohn,,,,,,,brianpettyjohn,,senatorpettyjohn,BrianGPettyjohn,
ocd-person/f35b571a-d734-4086-b358-ff21382d802f,Bryan Townsend,Democratic,11,upper,Bryan,Townsend,Male,bryan.townsend@delaware.gov,,1981-05-19,,https://senatedems.delaware.gov/wp-content/blogs.dir/219/files/sites/219/2022/09/Townsend-1-1-710x710.jpg,https://legis.delaware.gov/AssemblyMember/150/Townsend;https://legis.delaware.gov/LegislatorDetail?personId=13;https://senatedems.delaware.gov/members/senate-district-11/,https://ballotpedia.org/Bryan_Townsend;https://en.wikipedia.org/wiki/Bryan_Townsend_(American_politician);https://legis.delaware.gov/AssemblyMember/150/Townsend;https://legis.delaware.gov/json/Senate/GetSenators;https://legis.delaware.gov/LegislatorDetail?personId=13;https://legis.delaware.gov/Senate;https://senatedems.delaware.gov/members/senate-district-11,,,,,,,BryanTownsendDE,,,BryanTownsendDE,
ocd-person/11732933-9dce-46b4-8683-67e8449b315b,Bryan Shupe,Republican,36,lower,Bryan,Shupe,Male,bryan.shupe@delaware.gov,,,,https://housegop.delaware.gov/wp-content/blogs.dir/207/files/sites/207/2022/08/Shupe_Bryan_Member_Card.jpg,https://housegop.delaware.gov/members/house-district-36/;https://legis.delaware.gov/AssemblyMember/150/Shupe;https://legis.delaware.gov/LegislatorDetail?personId=13599,https://ballotpedia.org/Bryan_Shupe;https://en.wikipedia.org/wiki/Bryan_Shupe;https://housegop.delaware.gov/members/house-district-36;https://justfacts.votesmart.org/candidate/biography/184912/bryan-shupe;https://legis.delaware.gov/AssemblyMember/150/Shupe;https://legis.delaware.gov/House;https://legis.delaware.gov/json/House/GetRepresentatives;https://legis.delaware.gov/LegislatorDetail?personId=13599;https://www.linkedin.com/in/bryan-shupe-8706ba16,,,,,,,,,bryanshupedelaware,BryanShupeDelaware,
ocd-person/5a29dfb1-14b5-4535-b8ee-da8f432d0727,Bryant Richardson,Republican,21,upper,Bryant,Richardson,Male,bryant.richardson@delaware.gov,,,,https://senategop.delaware.gov/wp-content/blogs.dir/216/files/sites/216/2022/10/Richardson.Headshot.2023.Downsized-710x710.jpg,https://legis.delaware.gov/AssemblyMember/151/Richardson;https://legis.delaware.gov/LegislatorDetail?personId=10;https://senategop.delaware.gov/members/senat-district-21/,https://ballotpedia.org/Bryant_Richardson;https://en.wikipedia.org/wiki/Bryant_Richardson;https://justfacts.votesmart.org/candidate/biography/142575/bryant-richardson;https://legis.delaware.gov/AssemblyMember/151/Richardson;https://legis.delaware.gov/json/Senate/GetSenators;https://legis.delaware.gov/LegislatorDetail?personId=10;https://legis.delaware.gov/Senate;https://senategop.delaware.gov/members/senat-district-21;https://www.linkedin.com/in/bryant-richardson-83696b9,,,,,,,,,brichardson19973,,
ocd-person/4f6f337c-16e7-4d39-a503-6b4b36650d2d,Charles Postles,Republican,33,lower,Charles,Postles,Male,charles.postles@delaware.gov,,1949-07-30,,https://housegop.delaware.gov/wp-content/blogs.dir/207/files/sites/207/2022/08/Charlie_Postles_Member_Card_710x710.png,https://housegop.delaware.gov/members/house-district-33/;https://legis.delaware.gov/AssemblyMember/150/Postles;https://legis.delaware.gov/LegislatorDetail?personId=3133,"https://ballotpedia.org/Charles_S._Postles,_Jr.;https://en.wikipedia.org/wiki/Charles_Postles_Jr.;https://housegop.delaware.gov/members/house-district-33;https://justfacts.votesmart.org/candidate/biography/154268/charles-postles-jr;https://legis.delaware.gov/AssemblyMember/150/Postles;https://legis.delaware.gov/House;https://legis.delaware.gov/json/House/GetRepresentatives;https://legis.delaware.gov/LegislatorDetail?personId=3133",,,,,,,,,,Postles33rd,
ocd-person/933a1f48-bea2-43f7-9ccb-a793ac4ac71d,Claire Snyder-Hall,Democratic,14,lower,Claire,Snyder-Hall,Female,claire.snyder-hall@delaware.gov,,,,https://housedems.delaware.gov/wp-content/blogs.dir/210/files/sites/210/2024/11/image-3-710x710.jpg,https://housedems.delaware.gov/members/house-district-14/;https://legis.delaware.gov/AssemblyMember/153/SnyderHall,https://ballotpedia.org/Claire_Snyder-Hall;https://clairesnyderhall.com/bio;https://en.wikipedia.org/wiki/Claire_Snyder-Hall;https://housedems.delaware.gov/members/house-district-14;https://legis.delaware.gov/AssemblyMember/153/SnyderHall;https://www.linkedin.com/in/clairesnyderhall,,,,,,,,,,,
ocd-person/d187436c-b3d3-4512-9172-b7a868942fe4,Cyndie Romer,Democratic,25,lower,Cyndie,Romer,Female,cyndie.romer@delaware.gov,,,,https://housedems.delaware.gov/wp-content/blogs.dir/210/files/sites/210/2023/02/Romer.jpg,https://housedems.delaware.gov/members/house-district-25/;https://legis.delaware.gov/AssemblyMember/152/Romer;https://legis.delaware.gov/LegislatorDetail?personId=24310,https://ballotpedia.org/Cyndie_Romer;https://en.wikipedia.org/wiki/Cyndie_Romer;https://housedems.delaware.gov/members/house-district-25;https://legis.delaware.gov/AssemblyMember/152/Romer;https://legis.delaware.gov/json/House/GetRepresentatives;https://legis.delaware.gov/LegislatorDetail?personId=24310;https://www.linkedin.com/in/cyndie-romer-8a124b43,,,,,,,,,repcyndieromer,RepCyndieRomer,
ocd-person/2341b6b1-2501-4aae-908a-b83346da21eb,Dan Cruce,Democratic,1,upper,Dan,Cruce,Male,daniel.cruce@delaware.gov,,,,https://senatedems.delaware.gov/wp-content/blogs.dir/219/files/sites/219/2022/09/Cruce-Headshot-2025-710x710.jpg,https://senatedems.delaware.gov/members/senate-district-1/,https://ballotpedia.org/Dan_Cruce;https://en.wikipedia.org/wiki/Dan_Cruce;https://senatedems.delaware.gov/members/senate-district-1;https://www.linkedin.com/in/dancruce,,,,,,,,,cruceforsenate,SenDanCruce,
ocd-person/947a912f-49e7-4697-896e-fbcd1bcf41d3,Danny Short,Republican,39,lower,Danny,Short,Male,daniel.short@delaware.gov,,1961-07-11,,https://housegop.delaware.gov/wp-content/blogs.dir/207/files/sites/207/2022/08/Daniel_Short_Member_Card.jpg,https://housegop.delaware.gov/members/house-district-39/;https://legis.delaware.gov/AssemblyMember/150/DShort;https://legis.delaware.gov/LegislatorDetail?personId=89;https://legis.delaware.gov/legislature.nsf/bydistrict/representative39,https://ballotpedia.org/Daniel_Short;https://en.wikipedia.org/wiki/Daniel_Short;https://housegop.delaware.gov/members/house-district-39;https://justfacts.votesmart.org/candidate/biography/30692/danny-short;https://legis.delaware.gov/AssemblyMember/150/DShort;https://legis.delaware.gov/House;https://legis.delaware.gov/json/House/GetRepresentatives;https://legis.delaware.gov/LegislatorDetail?personId=89;https://legis.delaware.gov/legislature.nsf/bydistrict/representative39,,,,,,,,,,dannyshort39th,
