id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/6a3fae94-a613-49f5-acec-355e4a2722d8,Adam Anderson,Republican,57,lower,Adam,Anderson,Male,adam.anderson@flhouse.gov,,,,https://www.flhouse.gov/FileStores/Web/Imaging/Member/4885.jpg,https://myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4885&LegislativeTermId=90;https://www.flhouse.gov/Sections/Representatives/details.aspx?MemberId=4885;https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4885&LegislativeTermId=90,https://ballotpedia.org/Adam_Anderson;https://myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4885&LegislativeTermId=90;https://www.flhouse.gov/Sections/Representatives/details.aspx?MemberId=4885;https://www.linkedin.com/in/thedvisor;https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4885&LegislativeTermId=90,,,,"682 E. Klosterman Road Suite BB038, Tarpon Springs, FL 34689",727-382-8300,,,,,,
ocd-person/c94b1151-5034-482b-8d7b-f91f9bb5f951,Adam Botana,Republican,80,lower,Adam,Botana,Male,adam.botana@flhouse.gov,,1984-04-27,,https://www.flhouse.gov/FileStores/Web/Imaging/Member/4782.jpg,https://myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4782&LegislativeTermId=90;https://www.flhouse.gov/Sections/Representatives/custom/details.aspx?MemberId=4782&LegislativeTermId=91;https://www.flhouse.gov/Sections/Representatives/details.aspx?MemberId=4782;https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4782;https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4782&LegislativeTermId=89,https://ballotpedia.org/Adam_Botana;https://justfacts.votesmart.org/candidate/biography/194550/adam-botana;https://myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4782&LegislativeTermId=90;https://www.flhouse.gov/Sections/Representatives/custom/details.aspx?MemberId=4782&LegislativeTermId=91;https://www.flhouse.gov/Sections/Representatives/details.aspx?MemberId=4782;https://www.linkedin.com/in/adam-botana-73769625;https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4782;https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4782&LegislativeTermId=89,,,,"Sunshine Professional Center 9240 Bonita Beach Road SE, Suite 2215, Bonita Springs, FL 34135",239-317-8600,,,,,,
ocd-person/b2fce1a8-4ba6-483b-a534-fa48cc43ee7f,Alex Rizo,Republican,112,lower,Alex,Rizo,Male,alex.rizo@flhouse.gov,,,,https://www.flhouse.gov/FileStores/Web/Imaging/Member/4796.jpg,https://myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4796&LegislativeTermId=90;https://www.flhouse.gov/Sections/Representatives/custom/details.aspx?MemberId=4796;https://www.flhouse.gov/Sections/Representatives/details.aspx?MemberId=4796;https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4796,https://ballotpedia.org/Alex_Rizo;https://myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4796&LegislativeTermId=90;https://www.flhouse.gov/Sections/Representatives/custom/details.aspx?MemberId=4796;https://www.flhouse.gov/Sections/Representatives/details.aspx?MemberId=4796;https://www.linkedin.com/in/alex-rizo-jr-b260b761;https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4796,,,,"3798 W. 12th Ave. Suite A, Hialeah, FL 33012",305-364-3114,,,,,,
ocd-person/7f1e874f-ae8b-42a0-90d9-fe867cf9fb45,Alexis Calatayud,Republican,38,upper,Alexis,Calatayud,Female,calatayud.alexis.web@flsenate.gov,,,,https://flsenate.gov/PublishedContent/Senators/2022-2024/Photos/s38_5525.jpg,https://flsenate.gov/Senators/2022-2024/S38;https://www.flsenate.gov/Senators/S38,https://ballotpedia.org/Alexis_Calatayud;https://en.wikipedia.org/wiki/Alexis_Calatayud;https://flsenate.gov/Senators/2022-2024/S38;https://justfacts.votesmart.org/candidate/biography/209251/alexis-calatayud;https://www.flsenate.gov/Senators/S38;https://www.linkedin.com/in/alexis-calatayud-52a63b66,,,,"Kendall Campus 11011 SW 104th St., Suite 5101, Miami, FL 33176",305-596-3002,,,,,,
ocd-person/c26599eb-5ef8-44c3-93a6-77cf23a9567e,Allison Tant,Democratic,9,lower,Allison,Tant,Female,allison.tant@flhouse.gov,,,,https://www.flhouse.gov/FileStores/Web/Imaging/Member/4765.jpg,https://myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4765&LegislativeTermId=90;https://www.flhouse.gov/Sections/Representatives/custom/details.aspx?MemberId=4765;https://www.flhouse.gov/Sections/Representatives/details.aspx?MemberId=4765;https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4765;https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4765&LegislativeTermId=89,https://ballotpedia.org/Allison_Tant;https://myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4765&LegislativeTermId=90;https://www.flhouse.gov/Sections/Representatives/custom/details.aspx?MemberId=4765;https://www.flhouse.gov/Sections/Representatives/details.aspx?MemberId=4765;https://www.linkedin.com/in/allison-tant-b1b90b89;https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4765;https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4765&LegislativeTermId=89,,,,,,,,,,,
ocd-person/afd55a58-b8f6-4dd7-9d93-a2207b65e425,Ana Maria Rodriguez,Republican,40,upper,Ana Maria,Rodriguez,Female,rodriguez.anamaria.web@flsenate.gov,,1977-05-23,,https://flsenate.gov/PublishedContent/Senators/2022-2024/Photos/s40_5379.jpg,https://flsenate.gov/Senators/2022-2024/S40;https://www.flsenate.gov/Senators/S40,https://ballotpedia.org/Ana_Maria_Rodriguez;https://en.wikipedia.org/wiki/Ana_Maria_Rodriguez_(politician);https://flsenate.gov/Senators/2022-2024/S40;https://justfacts.votesmart.org/candidate/biography/184489/ana-rodriguez;https://www.flsenate.gov/Senators/S40;https://www.linkedin.com/in/ana-maria-rodriguez-2730436,,,,"Miami-Dade College, West Campus 3800 NW 115th Ave., Suite 1112, Doral, FL 33178",305-470-2552,,,,,,
ocd-person/66c3a112-3008-4332-a6b0-8990a7d992d5,Angie Nixon,Democratic,13,lower,Angie,Nixon,Female,angela.nixon@flhouse.gov,,,,https://www.flhouse.gov/FileStores/Web/Imaging/Member/4766.jpg,https://myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4766&LegislativeTermId=90;https://www.flhouse.gov/Sections/Representatives/custom/details.aspx?MemberId=4766;https://www.flhouse.gov/Sections/Representatives/details.aspx?MemberId=4766;https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4766;https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4766&LegislativeTermId=89,https://ballotpedia.org/Angela_Nixon;https://en.wikipedia.org/wiki/Angie_Nixon;https://myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4766&LegislativeTermId=90;https://www.flhouse.gov/Sections/Representatives/custom/details.aspx?MemberId=4766;https://www.flhouse.gov/Sections/Representatives/details.aspx?MemberId=4766;https://www.linkedin.com/in/angienixonfl;https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4766;https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4766&LegislativeTermId=89,,,,"3939 Roosevelt Blvd. Suite G-121, Jacksonville, FL 32205",904-667-0340,,,,,,
ocd-person/1f8e10ad-0047-4854-b696-38e15fda7afa,Anna Eskamani,Democratic,42,lower,Anna,Eskamani,Female,anna.eskamani@flhouse.gov,,1990-05-20,,https://www.flhouse.gov/FileStores/Web/Imaging/Member/4746.jpg,https://myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4746&LegislativeTermId=90;https://www.flhouse.gov/Sections/Representatives/details.aspx?MemberId=4746;https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4746;https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4746&LegislativeTermId=88,https://ballotpedia.org/Anna_Eskamani;https://en.wikipedia.org/wiki/Anna_Eskamani;https://justfacts.votesmart.org/candidate/biography/184399/anna-eskamani;https://myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4746&LegislativeTermId=90;https://www.flhouse.gov/Sections/Representatives/details.aspx?MemberId=4746;https://www.linkedin.com/in/annaveskamani;https://www.myfloridahouse.gov/Representatives;https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4746;https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4746&LegislativeTermId=88;https://www.myfloridahouse.gov/Sections/Representatives/representatives.aspx,,,,"1507 E. Concord St., Orlando, FL 32803",407-228-1451,,,,,,
ocd-person/ad877adf-e8f2-4f31-bdd2-38a6aaf74884,Anne Gerwig,Republican,93,lower,Anne,Gerwig,Female,anne.gerwig@flhouse.gov,,1963-12-04,,https://www.hlcpbc.org/wp-content/uploads/2021/01/Anne_Gerwig.jpg,https://www.flhouse.gov/Sections/Representatives/custom/details.aspx?MemberId=4925;https://www.flhouse.gov/Sections/Representatives/details.aspx?MemberId=4925;https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4925&LegislativeTermId=91,https://ballotpedia.org/Anne_Gerwig;https://justfacts.votesmart.org/candidate/142658/anne-gerwig;https://www.flhouse.gov/Sections/Representatives/custom/details.aspx?MemberId=4925;https://www.flhouse.gov/Sections/Representatives/details.aspx?MemberId=4925;https://www.linkedin.com/in/annegerwig;https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4925&LegislativeTermId=91,,,,"6685 Forest Hill Blvd. Suite 208, Greenacres, FL 33413",561-785-0630,,,,,,
ocd-person/2c62c9ae-8d1d-4dc3-a86a-fcc5dd7ba286,Ashley Gantt,Democratic,109,lower,Ashley,Gantt,Female,ashley.gantt@flhouse.gov,,1985-04-14,,https://www.flhouse.gov/FileStores/Web/Imaging/Member/4897.jpg,https://myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4897&LegislativeTermId=90;https://www.flhouse.gov/Sections/Representatives/custom/details.aspx?MemberId=4897;https://www.flhouse.gov/Sections/Representatives/details.aspx?MemberId=4897;https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4897&LegislativeTermId=90;https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4897&LegislativeTermId=91,https://ballotpedia.org/Ashley_Gantt;https://en.wikipedia.org/wiki/Ashley_Gantt;https://myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4897&LegislativeTermId=90;https://www.flhouse.gov/Sections/Representatives/custom/details.aspx?MemberId=4897;https://www.flhouse.gov/Sections/Representatives/details.aspx?MemberId=4897;https://www.linkedin.com/in/ashley-v-gantt-esq;https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4897&LegislativeTermId=90;https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4897&LegislativeTermId=91,,,,"5400 NW 22nd Ave. Suite 101, Building C, Miami, FL 33142",786-435-9410,,,,,,
