id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/938f2479-c51f-446a-87f0-76d4f07c61e5,Akbar Ali,Democratic,106,lower,Akbar,Ali,Male,akbar.ali@house.ga.gov,,2003-01-29,,,https://www.legis.ga.gov/members/house/5089,https://ballotpedia.org/Muhammad_Akbar_Ali;https://en.wikipedia.org/wiki/Akbar_Ali_(politician);https://www.legis.ga.gov/members/house/5089;https://www.linkedin.com/in/akbar-ali-427454240,,,,,,,,,,,
ocd-person/a5a0998b-3837-4c4e-a66b-a567dc2f9d77,Al Williams,Democratic,168,lower,Al,Williams,Male,al.williams@house.ga.gov,,1947-08-02,,https://www.legis.ga.gov/api/images/default-source/portraits/williams-al-230.jpg,https://www.house.ga.gov/Representatives/en-US/member.aspx?Member=230&Session=27;https://www.legis.ga.gov/members/house;https://www.legis.ga.gov/members/house/230;https://www.legis.ga.gov/members/house/230?session=1029;https://www.legis.ga.gov/members/house/230?session=1031,https://ballotpedia.org/Al_Williams_(Georgia_legislator);https://en.wikipedia.org/wiki/Al_Williams_(politician);https://justfacts.votesmart.org/candidate/biography/31449/al-williams;https://webservices.legis.ga.gov/GGAServices/Members/Service.svc?wsdl;https://www.house.ga.gov/Representatives/en-US/member.aspx?Member=230&Session=27;https://www.legis.ga.gov/api/members/detail/230?session=1029&chamber=1;https://www.legis.ga.gov/api/members/detail/230?session=1031&chamber=1;https://www.legis.ga.gov/api/members/list/1031;https://www.legis.ga.gov/members/house/230;https://www.legis.ga.gov/members/house/230?session=1029;https://www.linkedin.com/in/al-williams-9347343b,,,,"8216 E. Oglethorpe Highway, Midway, GA 31320",,,,,,,
ocd-person/bb48e87c-29db-4a4d-a278-fa299be2020e,Alan Powell,Republican,33,lower,Alan,Powell,Male,alan.powell@house.ga.gov,,1951-11-10,,https://www.legis.ga.gov/api/images/default-source/portraits/powell-alan-187.jpg,https://www.house.ga.gov/Representatives/en-US/member.aspx?Member=187&Session=27;https://www.legis.ga.gov/members/house;https://www.legis.ga.gov/members/house/187;https://www.legis.ga.gov/members/house/187?session=1029;https://www.legis.ga.gov/members/house/187?session=1031,https://ballotpedia.org/Alan_Powell;https://en.wikipedia.org/wiki/Alan_Powell_(politician);https://justfacts.votesmart.org/candidate/biography/7950/alan-powell;https://webservices.legis.ga.gov/GGAServices/Members/Service.svc?wsdl;https://www.house.ga.gov/Representatives/en-US/member.aspx?Member=187&Session=27;https://www.legis.ga.gov/api/members/detail/187?session=1029&chamber=1;https://www.legis.ga.gov/api/members/detail/187?session=1031&chamber=1;https://www.legis.ga.gov/api/members/list/1031;https://www.legis.ga.gov/members/house/187;https://www.legis.ga.gov/members/house/187?session=1029,,,,"3059 Ridge Road, Hartwell, GA 30643",706-206-6500,,,,,,
ocd-person/b001a55f-61fa-4e62-85fd-ac6c282f2711,Angela Moore,Democratic,91,lower,Angela,Moore,Female,angela.moore@house.ga.gov,,,,https://www.legis.ga.gov/api/images/default-source/portraits/moore-angela-5008.jpg,https://www.legis.ga.gov/members/house;https://www.legis.ga.gov/members/house/5008;https://www.legis.ga.gov/members/house/5008?session=1029;https://www.legis.ga.gov/members/house/5008?session=1031,https://ballotpedia.org/Angela_Moore_(Georgia);https://en.wikipedia.org/wiki/Angela_Moore;https://justfacts.votesmart.org/candidate/biography/105138/angela-moore;https://www.legis.ga.gov/api/members/detail/5008?session=1029&chamber=1;https://www.legis.ga.gov/api/members/detail/5008?session=1031&chamber=1;https://www.legis.ga.gov/api/members/list/1031;https://www.legis.ga.gov/members/house/5008;https://www.legis.ga.gov/members/house/5008?session=1029;https://www.linkedin.com/in/mooreforgeorgia,,,,"2724 Wesley Chapel Road Suite 361731, Decatur, GA 30034",678-824-5790,,,,,,
ocd-person/1d0deded-daaa-425b-b6aa-3612492dca5b,Angie O'Steen,Republican,169,lower,Angie,O'Steen,Female,angie.osteen@house.ga.gov,,,,https://angieosteen.com/wp-content/uploads/sites/109/2024/04/photo-mobile-1.jpg,https://www.legis.ga.gov/members/house/5084,https://ballotpedia.org/Angie_O%27Steen;https://en.wikipedia.org/wiki/Angie_O%27Steen;https://justfacts.votesmart.org/candidate/biography/215189/angela-osteen;https://www.legis.ga.gov/members/house/5084,,,,,,,,,,,
ocd-person/e16d6516-badc-4682-9e3a-84f30a44b060,Anne Westbrook,Democratic,163,lower,Anne,Westbrook,Female,anneallen.westbrook@house.ga.gov,,,,https://www.legis.ga.gov/api/images/default-source/portraits/westbrook-anne-allen-5054.jpg,https://www.legis.ga.gov/members/house;https://www.legis.ga.gov/members/house/5054;https://www.legis.ga.gov/members/house/5054?session=1031,https://ballotpedia.org/Anne_Westbrook;https://en.wikipedia.org/wiki/Anne_Allen_Westbrook;https://justfacts.votesmart.org/candidate/biography/190306/anne-westbrook;https://www.legis.ga.gov/api/members/detail/5054?session=1031&chamber=1;https://www.legis.ga.gov/api/members/list/1031;https://www.legis.ga.gov/members/house/5054;https://www.linkedin.com/in/anne-allen-westbrook-a707091,,,,,,,,,,,
ocd-person/3b3da57c-2f96-4a94-a7bc-eb6a814cc627,Arlene Beckles,Democratic,96,lower,Arlene,Beckles,Female,arlene.beckles@house.ga.gov,,1963-08-03,,https://bloximages.newyork1.vip.townnews.com/gwinnettdailypost.com/content/tncms/assets/v3/editorial/f/66/f663df0a-941b-11ec-92cf-a71cdde39cc5/621544040ce4c.image.jpg?crop=656%2C819%2C276%2C240,https://www.legis.ga.gov/members/house/5076,https://ballotpedia.org/Arlene_Beckles;https://en.wikipedia.org/wiki/Arlene_Beckles;https://justfacts.votesmart.org/candidate/biography/215260/arlene-beckles;https://www.legis.ga.gov/members/house/5076;https://www.linkedin.com/in/drarlenebecklespmp,,,,,,,,,,,
ocd-person/fd2717f1-6294-4601-a027-8fc41195372c,Ben Watson,Republican,1,upper,Ben,Watson,Male,ben.watson@senate.ga.gov,,1959-07-27,,https://www.legis.ga.gov/api/images/default-source/portraits/watson-ben-784.jpg,https://www.legis.ga.gov/members/senate;https://www.legis.ga.gov/members/senate/784;https://www.legis.ga.gov/members/senate/784?session=1029;https://www.legis.ga.gov/members/senate/784?session=1031;https://www.senate.ga.gov/SENATORS/en-US/member.aspx?Member=784&Session=27,https://ballotpedia.org/Ben_Watson;https://en.wikipedia.org/wiki/Ben_Watson_(politician);https://justfacts.votesmart.org/candidate/biography/122908/ben-watson;https://webservices.legis.ga.gov/GGAServices/Members/Service.svc?wsdl;https://www.legis.ga.gov/api/members/detail/784?session=1029&chamber=2;https://www.legis.ga.gov/api/members/detail/784?session=1031&chamber=2;https://www.legis.ga.gov/api/members/list/1031;https://www.legis.ga.gov/members/senate/784;https://www.legis.ga.gov/members/senate/784?session=1029;https://www.linkedin.com/in/benwatsonga;https://www.senate.ga.gov/SENATORS/en-US/member.aspx?Member=784&Session=27,,,,,,,,,,,
ocd-person/e4e40f68-0970-4392-b739-3c68f749bcdc,Beth Camp,Republican,135,lower,Beth,Camp,Female,beth.camp@house.ga.gov,,1974-01-10,,https://www.legis.ga.gov/api/images/default-source/portraits/camp-beth-5004.jpg,https://www.legis.ga.gov/members/house;https://www.legis.ga.gov/members/house/5004;https://www.legis.ga.gov/members/house/5004?session=1029;https://www.legis.ga.gov/members/house/5004?session=1031,https://ballotpedia.org/Beth_Camp;https://en.wikipedia.org/wiki/Beth_Camp;https://justfacts.votesmart.org/candidate/190404/beth-camp;https://www.legis.ga.gov/api/members/detail/5004?session=1029&chamber=1;https://www.legis.ga.gov/api/members/detail/5004?session=1031&chamber=1;https://www.legis.ga.gov/api/members/list/1031;https://www.legis.ga.gov/members/house/5004;https://www.legis.ga.gov/members/house/5004?session=1029;https://www.linkedin.com/in/beth-camp-62060113,,,,"1235 Strickland Road, Concord, GA 30206",,,,,,,
ocd-person/8b4b00cb-6f78-4b69-b788-796b19d94752,Bethany Ballard,Republican,147,lower,Bethany,Ballard,Female,bethany.ballard@house.ga.gov,,,,https://www.legis.ga.gov/api/images/default-source/portraits/ballard-bethany-5051.jpg,https://www.legis.ga.gov/members/house;https://www.legis.ga.gov/members/house/5051;https://www.legis.ga.gov/members/house/5051?session=1031,https://ballotpedia.org/Bethany_Ballard;https://en.wikipedia.org/wiki/Bethany_Ballard;https://justfacts.votesmart.org/candidate/biography/203507/bethany-ballard;https://www.legis.ga.gov/api/members/detail/5051?session=1031&chamber=1;https://www.legis.ga.gov/api/members/list/1031;https://www.legis.ga.gov/members/house/5051;https://www.linkedin.com/in/bethany-ballard-21a21313a,,,,,,,,,,,
