id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/0ce91900-de38-4ab2-a6fe-089b04b20b74,Adrian Tam,Democratic,24,lower,Adrian,Tam,Male,reptam@capitol.hawaii.gov,,1992-09-11,,http://www.capitol.hawaii.gov/MemberFiles/RepSenPhotos/Tam.jpg,https://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=132;https://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=132&year=2023,https://ballotpedia.org/Adrian_Tam;https://en.wikipedia.org/wiki/Adrian_Tam;https://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=132;https://www.capitol.hawaii.gov/members/legislators.aspx;https://www.linkedin.com/in/adrian-tam-7552205a,,,,,,,,,repadriantam,repadriantam,
ocd-person/cb860f85-2006-4d5b-b1a8-1c56c1def2d7,Amy Perruso,Democratic,46,lower,Amy,Perruso,Female,repperruso@capitol.hawaii.gov,,1968-11-05,,http://www.capitol.hawaii.gov/MemberFiles/RepSenPhotos/Perruso.jpg,https://capitol.hawaii.gov/memberpage.aspx?member=perruso&year=2019;https://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=109;https://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=109&year=2023;https://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=109&year=2024;https://www.capitol.hawaii.gov/memberpage.aspx?member=perruso&year=2021;https://www.capitol.hawaii.gov/memberpage.aspx?member=perruso&year=2022;https://www.representativeamyperruso.com/,https://ballotpedia.org/Amy_Perruso;https://capitol.hawaii.gov/memberpage.aspx?member=perruso&year=2019;https://capitol.hawaii.gov/members/legislators.aspx?chamber=H;https://en.wikipedia.org/wiki/Amy_Perruso;https://justfacts.votesmart.org/candidate/biography/172203/amy-perruso;https://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=109;https://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=109&year=2023;https://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=109&year=2024;https://www.capitol.hawaii.gov/memberpage.aspx?member=perruso&year=2021;https://www.capitol.hawaii.gov/memberpage.aspx?member=perruso&year=2022;https://www.capitol.hawaii.gov/members/legislators.aspx;https://www.linkedin.com/in/amy-perruso-1a03a280;https://www.representativeamyperruso.com,,,,,,,,,,representativeperruso,
ocd-person/442e3aac-61ca-4efe-bbb8-716654554597,Andrew Garrett,Democratic,22,lower,Andrew,Garrett,Male,repgarrett@capitol.hawaii.gov,,,,http://www.capitol.hawaii.gov/MemberFiles/RepSenPhotos/Garrett.jpg,https://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=256;https://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=256&year=2023;https://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=256&year=2024,https://ballotpedia.org/Andrew_Takuya_Garrett;https://en.wikipedia.org/wiki/Andrew_Takuya_Garrett;https://justfacts.votesmart.org/candidate/biography/183654/andrew-garrett;https://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=256;https://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=256&year=2023;https://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=256&year=2024;https://www.capitol.hawaii.gov/members/legislators.aspx,,,,,,,,,repgarrett,profile.php?id=100085131802111,
ocd-person/d31a4d99-d6f1-42f8-b902-b6bff3c667e8,Angus McKelvey,Democratic,6,upper,Angus,McKelvey,Male,senmckelvey@capitol.hawaii.gov,,1968-03-09,,http://www.capitol.hawaii.gov/MemberFiles/RepSenPhotos/mckelvey.jpg,https://capitol.hawaii.gov/memberpage.aspx?member=mckelvey&year=2019;https://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=241&year=2023;https://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=241&year=2024;https://www.capitol.hawaii.gov/memberpage.aspx?member=mckelvey&year=2021;https://www.capitol.hawaii.gov/memberpage.aspx?member=mckelvey&year=2022,https://ballotpedia.org/Angus_McKelvey;https://capitol.hawaii.gov/memberpage.aspx?member=mckelvey&year=2019;https://capitol.hawaii.gov/members/legislators.aspx?chamber=H;https://en.wikipedia.org/wiki/Angus_McKelvey;https://justfacts.votesmart.org/candidate/biography/67875/angus-mckelvey;https://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=241&year=2023;https://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=241&year=2024;https://www.capitol.hawaii.gov/memberpage.aspx?member=mckelvey&year=2021;https://www.capitol.hawaii.gov/memberpage.aspx?member=mckelvey&year=2022;https://www.capitol.hawaii.gov/members/legislators.aspx;https://www.linkedin.com/in/angus-mckelvey-5573b318;https://www.linkedin.com/in/angus-mckelvey-ba906023,,,,,,,,,,,
ocd-person/22139704-8a26-4f4a-8a03-989990c21f37,Brandon Elefante,Democratic,16,upper,Brandon,Elefante,Male,senelefante@capitol.hawaii.gov,,,,http://www.capitol.hawaii.gov/MemberFiles/RepSenPhotos/elefante.jpg,https://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=229;https://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=229&year=2023;https://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=229&year=2024,https://ballotpedia.org/Brandon_Elefante;https://en.wikipedia.org/wiki/Brandon_Elefante;https://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=229;https://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=229&year=2023;https://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=229&year=2024;https://www.capitol.hawaii.gov/members/legislators.aspx;https://www.linkedin.com/in/brandonelefante,,,,,,,,,senelefante,,
ocd-person/be1149eb-5b0c-48fb-b9f2-9bee875479cc,Brenton Awa,Republican,23,upper,Brenton,Awa,Male,senawa@capitol.hawaii.gov,,,,http://www.capitol.hawaii.gov/MemberFiles/RepSenPhotos/awa.jpg,https://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=225;https://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=225&year=2023;https://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=225&year=2024,https://ballotpedia.org/Brenton_Awa;https://en.wikipedia.org/wiki/Brenton_Awa;https://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=225;https://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=225&year=2024;https://www.capitol.hawaii.gov/members/legislators.aspx,,,,,,,,,,,
ocd-person/ca85a087-4a1f-450b-9386-11c13eb8c280,Carol Fukunaga,Democratic,11,upper,Carol,Fukunaga,Female,senfukunaga@capitol.hawaii.gov,,1947-12-12,,http://www.capitol.hawaii.gov/MemberFiles/RepSenPhotos/fukunaga.jpg,https://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=168&year=2023;https://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=168&year=2024,https://ballotpedia.org/Carol_Fukunaga;https://en.wikipedia.org/wiki/Carol_Fukunaga;https://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=168&year=2023;https://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=168&year=2024;https://www.capitol.hawaii.gov/members/legislators.aspx;https://www.linkedin.com/in/carol-fukunaga-0890a818,,,,,,,,,,,
ocd-person/3484e323-b1a2-4c41-ad9f-8153445f8cd4,Chris Lee,Democratic,25,upper,Chris,Lee,Male,senlee@capitol.hawaii.gov,,1981-01-28,,http://www.capitol.hawaii.gov/MemberFiles/RepSenPhotos/clee.jpg,https://capitol.hawaii.gov/memberpage.aspx?member=clee&year=2019;https://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=193;https://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=193&year=2023;https://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=193&year=2024;https://www.capitol.hawaii.gov/memberpage.aspx?member=senclee&year=2021;https://www.capitol.hawaii.gov/memberpage.aspx?member=senclee&year=2022,https://ballotpedia.org/Chris_Lee_(Hawaii);https://capitol.hawaii.gov/memberpage.aspx?member=clee&year=2019;https://capitol.hawaii.gov/members/legislators.aspx?chamber=H;https://en.wikipedia.org/wiki/Chris_Lee_(Hawaii_politician);https://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=193;https://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=193&year=2023;https://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=193&year=2024;https://www.capitol.hawaii.gov/memberpage.aspx?member=senclee&year=2021;https://www.capitol.hawaii.gov/memberpage.aspx?member=senclee&year=2022;https://www.capitol.hawaii.gov/members/legislators.aspx,,,,,,,,,,,
ocd-person/1a5995d1-114e-4e7e-a53f-d91017df2bc3,Chris Muraoka,Republican,45,lower,Chris,Muraoka,Male,repmuraoka@capitol.hawaii.gov,,,,https://assets.civicengine.com/uploads/candidate/headshot/827989/827989.jpg,https://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=307,https://ballotpedia.org/Chris_Muraoka;https://en.wikipedia.org/wiki/Chris_Muraoka;https://justfacts.votesmart.org/candidate/biography/218421/chris-muraoka;https://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=307;https://www.linkedin.com/in/christopher-muraoka-72a813a3,,,,,,,,,,,
ocd-person/6f62978c-5c1e-4a93-b182-caa7b97d45e0,Chris Todd,Democratic,3,lower,Chris,Todd,Male,reptodd@capitol.hawaii.gov,,,,http://www.capitol.hawaii.gov/MemberFiles/RepSenPhotos/Todd.jpg,https://capitol.hawaii.gov/memberpage.aspx?member=todd&year=2019;https://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=137;https://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=137&year=2023;https://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=137&year=2024;https://www.capitol.hawaii.gov/memberpage.aspx?member=todd&year=2021;https://www.capitol.hawaii.gov/memberpage.aspx?member=todd&year=2022,https://ballotpedia.org/Chris_Todd_(Hawaii);https://capitol.hawaii.gov/memberpage.aspx?member=todd&year=2019;https://capitol.hawaii.gov/members/legislators.aspx?chamber=H;https://en.wikipedia.org/wiki/Chris_Toshiro_Todd;https://justfacts.votesmart.org/candidate/biography/176063/chris-todd;https://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=137;https://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=137&year=2023;https://www.capitol.hawaii.gov/legislature/memberpage.aspx?member=137&year=2024;https://www.capitol.hawaii.gov/memberpage.aspx?member=todd&year=2021;https://www.capitol.hawaii.gov/memberpage.aspx?member=todd&year=2022;https://www.capitol.hawaii.gov/members/legislators.aspx;https://www.linkedin.com/in/chris-toshiro-todd-68059162,,,,,,,,,,staterepchristodd,
