id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/c29c02a4-8429-4846-bc19-817f545f3935,Adam Zabner,Democratic,90,lower,Adam,Zabner,Male,adam.zabner@legis.iowa.gov,,1999-05-24,,https://www.legis.iowa.gov/photo?action=getPhoto&ga=91&pid=33993,https://eepurl.com/ihe76H;https://www.legis.iowa.gov/legislators/legislator?ga=90&personID=33993;https://www.legis.iowa.gov/legislators/legislator?personID=33993,https://ballotpedia.org/Adam_Zabner;https://www.legis.iowa.gov/legislators/house;https://www.legis.iowa.gov/legislators/legislator?ga=90&personID=33993;https://www.legis.iowa.gov/legislators/legislator?personID=33993;https://www.linkedin.com/in/adam-zabner,,,,,,,,,,,
ocd-person/9788064e-fad9-4130-9084-69e829884d9c,Adrian Dickey,Republican,44,upper,Adrian,Dickey,Male,adrian.dickey@legis.iowa.gov,,1973-10-23,,https://www.legis.iowa.gov/photo?action=getPhoto&ga=91&pid=31094,https://iowasenaterepublicans.com/senators/adrian-dickey/;https://www.iowasenaterepublicans.com/senators/adrian-dickey/;https://www.legis.iowa.gov/legislators/legislator?ga=89&personID=31094;https://www.legis.iowa.gov/legislators/legislator?personID=31094,https://ballotpedia.org/Adrian_Dickey;https://en.wikipedia.org/wiki/Adrian_Dickey;https://iowasenaterepublicans.com/senators/adrian-dickey;https://www.legis.iowa.gov/legislators/legislator?ga=89&personID=31094;https://www.legis.iowa.gov/legislators/legislator?ga=90&personID=31094;https://www.legis.iowa.gov/legislators/legislator?personID=31094;https://www.legis.iowa.gov/legislators/senate;https://www.linkedin.com/in/adrian-dickey-20030a49,,,,,,,,,,,
ocd-person/e0883366-eaba-4dc1-9a66-4c35cb1d0290,Aime Wichtendahl,Democratic,80,lower,Aime,Wichtendahl,Female,aime.wichtendahl@legis.iowa.gov,,1979-12-31,,https://www.legis.iowa.gov/photo?action=getPhoto&ga=91&pid=37390,https://www.legis.iowa.gov/legislators/legislator?ga=91&personID=37390;https://www.legis.iowa.gov/legislators/legislator?personID=37390,https://ballotpedia.org/Aime_Wichtendahl;https://en.wikipedia.org/wiki/Aime_Wichtendahl;https://www.legis.iowa.gov/legislators/legislator?ga=91&personID=37390;https://www.legis.iowa.gov/legislators/legislator?personID=37390,,,,,,,,,,,
ocd-person/0ed1d7f1-1471-4055-b674-582bf19c28b3,Amy Nielsen,Democratic,85,lower,Amy,Nielsen,Female,amy.nielsen@legis.iowa.gov,,,,https://www.legis.iowa.gov/photo?action=getPhoto&ga=91&pid=18050,https://eepurl.com/gXNTL1;https://www.legis.iowa.gov/legislators/legislator?personID=18050,https://ballotpedia.org/Amy_Nielsen;https://en.wikipedia.org/wiki/Amy_Nielsen;https://www.legis.iowa.gov/legislators/house;https://www.legis.iowa.gov/legislators/legislator?ga=90&personID=18050;https://www.legis.iowa.gov/legislators/legislator?personID=18050;https://www.linkedin.com/in/amy-nielsen-150183b2,,,,,,,,,,,
ocd-person/8e969687-4903-4f3c-a76f-2e35a2232d09,Amy Sinclair,Republican,12,upper,Amy,Sinclair,Female,amy.sinclair@legis.iowa.gov,,,,https://www.legis.iowa.gov/photo?action=getPhoto&ga=91&pid=10729,https://www.iowasenaterepublicans.com/senators/amy-sinclair/;https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=10729;https://www.legis.iowa.gov/legislators/legislator?ga=89&personID=10729;https://www.legis.iowa.gov/legislators/legislator?ga=90&personID=10729;https://www.legis.iowa.gov/legislators/legislator?personID=10729,https://ballotpedia.org/Amy_Sinclair;https://en.wikipedia.org/wiki/Amy_Sinclair;https://iowasenaterepublicans.com/senators/amy-sinclair;https://justfacts.votesmart.org/candidate/biography/85793/amy-sinclair;https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=10729;https://www.legis.iowa.gov/legislators/legislator?ga=89&personID=10729;https://www.legis.iowa.gov/legislators/legislator?ga=90&personID=10729;https://www.legis.iowa.gov/legislators/legislator?personID=10729;https://www.legis.iowa.gov/legislators/senate;https://www.linkedin.com/in/amy-sinclair-20927670,,,,,,,,,,,
ocd-person/17e291e9-2484-4e94-a99f-0c12d6269349,Angel Ramirez,Democratic,78,lower,Angel,Ramirez,Female,angel.ramirez@legis.iowa.gov,,,,https://www.legis.iowa.gov/photo?action=getPhoto&ga=91&pid=6145,https://www.legis.iowa.gov/legislators/legislator?personID=6145,https://ballotpedia.org/Angel_Ramirez_(Iowa);https://en.wikipedia.org/wiki/Angel_Ramirez_(politician);https://www.legis.iowa.gov/legislators/legislator?personID=6145;https://www.linkedin.com/in/angelinaramirez,,,,,,,,,,,
ocd-person/f8bf5332-b8b7-4d55-8652-e9b883cae35e,Ann Meyer,Republican,8,lower,Ann,Meyer,Female,ann.meyer@legis.iowa.gov,,,,https://www.legis.iowa.gov/photo?action=getPhoto&ga=91&pid=27019,https://iowahouserepublicans.nationbuilder.com/reps;https://www.legis.iowa.gov/legislators/legislator/newsletter?id=27019&ga=90;https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=27019;https://www.legis.iowa.gov/legislators/legislator?ga=89&personID=27019;https://www.legis.iowa.gov/legislators/legislator?personID=27019,https://ballotpedia.org/Ann_Meyer;https://en.wikipedia.org/wiki/Ann_Meyer;https://justfacts.votesmart.org/candidate/biography/180183/ann-meyer;https://www.legis.iowa.gov/legislators/house;https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=27019;https://www.legis.iowa.gov/legislators/legislator?ga=89&personID=27019;https://www.legis.iowa.gov/legislators/legislator?ga=90&personID=27019;https://www.legis.iowa.gov/legislators/legislator?personID=27019,,,,,,,,,,,
ocd-person/79eacd35-8caf-466e-b75f-0d878dcf5221,Annette Sweeney,Republican,27,upper,Annette,Sweeney,Female,annette.sweeney@legis.iowa.gov,,1957-12-09,,https://www.legis.iowa.gov/photo?action=getPhoto&ga=91&pid=6585,https://www.iowasenaterepublicans.com/senators/annette-sweeney/;https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=6585;https://www.legis.iowa.gov/legislators/legislator?ga=89&personID=6585;https://www.legis.iowa.gov/legislators/legislator?personID=6585,https://ballotpedia.org/Annette_Sweeney;https://en.wikipedia.org/wiki/Annette_Sweeney;https://iowasenaterepublicans.com/senators/annette-sweeney;https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=6585;https://www.legis.iowa.gov/legislators/legislator?ga=89&personID=6585;https://www.legis.iowa.gov/legislators/legislator?ga=90&personID=6585;https://www.legis.iowa.gov/legislators/legislator?personID=6585;https://www.legis.iowa.gov/legislators/senate;https://www.linkedin.com/in/annette-sweeney-63813811,,,,,,,,,,,
ocd-person/57925a0b-3010-440d-a012-c8465535c13e,Art Staed,Democratic,40,upper,Art,Staed,Male,art.staed@legis.iowa.gov,,1949-04-21,,https://www.legis.iowa.gov/photo?action=getPhoto&ga=91&pid=10743,https://eepurl.com/gXSMIH;https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=10743;https://www.legis.iowa.gov/legislators/legislator?ga=89&personID=10743;https://www.legis.iowa.gov/legislators/legislator?personID=10743,https://ballotpedia.org/Art_Staed;https://en.wikipedia.org/wiki/Art_Staed;https://www.legis.iowa.gov/legislators/house;https://www.legis.iowa.gov/legislators/legislator?ga=88&personID=10743;https://www.legis.iowa.gov/legislators/legislator?ga=89&personID=10743;https://www.legis.iowa.gov/legislators/legislator?ga=90&personID=10743;https://www.legis.iowa.gov/legislators/legislator?personID=10743;https://www.linkedin.com/in/art-staed-a45a7991,,,,,,,,,,,
ocd-person/9aa42801-ba2e-4f2e-9448-cf5e6114fba7,Austin Baeth,Democratic,36,lower,Austin,Baeth,Male,austin.baeth@legis.iowa.gov,,1984-10-19,,https://www.legis.iowa.gov/photo?action=getPhoto&ga=91&pid=33976,https://eepurl.com/ihfkvT;https://www.legis.iowa.gov/legislators/legislator?ga=90&personID=33976;https://www.legis.iowa.gov/legislators/legislator?ga=91&personID=33976,https://ballotpedia.org/Austin_Baeth;https://en.wikipedia.org/wiki/Austin_Baeth;https://justfacts.votesmart.org/candidate/biography/203958/austin-baeth;https://www.legis.iowa.gov/legislators/house;https://www.legis.iowa.gov/legislators/legislator?ga=90&personID=33976;https://www.legis.iowa.gov/legislators/legislator?ga=91&personID=33976;https://www.linkedin.com/in/austin-baeth-0b0877a5,,,,,,,,,,,
