id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/a76e0c0e-81d3-4f3b-8cc8-b8360d3cecb4,Aarón Ortíz,Democratic,1,lower,Aarón,Ortíz,Male,district@repaaronortiz.com,,1991-06-18,,https://cdn.ilga.gov/assets/img/members/{D96B0DF9-0E06-487B-825C-AB0BE8C3CA1E}.jpg,https://ilga.gov/house/Rep.asp?GA=101&MemberID=2752;https://ilga.gov/house/Rep.asp?GA=102&MemberID=2953;https://ilga.gov/house/Rep.asp?GA=103&MemberID=3148;https://repaaronortiz.com/;https://www.ilga.gov/House/Members/Details/3358;https://www.ilga.gov/house/Rep.asp?GA=103&MemberID=3148;https://www.ilga.gov/house/Rep.asp?MemberID=3358,https://ballotpedia.org/Aaron_Ortiz;https://en.wikipedia.org/wiki/Aaron_Ortiz;https://ilga.gov/house/default.asp?GA=101;https://ilga.gov/house/default.asp?GA=102;https://ilga.gov/house/default.asp?GA=103;https://ilga.gov/house/Rep.asp?GA=101&MemberID=2752;https://ilga.gov/house/Rep.asp?GA=102&MemberID=2953;https://ilga.gov/house/Rep.asp?GA=103&MemberID=3148;https://justfacts.votesmart.org/candidate/biography/177124/aaron-ortiz;https://repaaronortiz.com;https://www.ilga.gov/House/Members/Details/3358;https://www.ilga.gov/house/Rep.asp?GA=103&MemberID=3148;https://www.ilga.gov/house/Rep.asp?MemberID=3358;https://www.linkedin.com/in/aaron-ortiz-18551067,,,,"4374 S. Archer Ave., Chicago, IL 60632",773-236-0117,,,,,,
ocd-person/4101db1f-a913-4d16-88fb-001f120bb092,Abdelnasser Rashid,Democratic,21,lower,Abdelnasser,Rashid,Male,office@reprashid.com,,1989-07-24,,https://cdn.ilga.gov/assets/img/members/{48E00B1D-C5BE-4210-A9A8-F68739D935D6}.jpg,https://ilga.gov/house/Rep.asp?GA=103&MemberID=3229;https://www.ilga.gov/House/Members/Details/3420;https://www.ilga.gov/house/Rep.asp?GA=103&MemberID=3229;https://www.ilga.gov/house/Rep.asp?MemberID=3420;https://www.reprashid.com/,https://ballotpedia.org/Abdelnasser_Rashid;https://en.wikipedia.org/wiki/Abdelnasser_Rashid;https://ilga.gov/house/default.asp?GA=103;https://ilga.gov/house/Rep.asp?GA=103&MemberID=3229;https://justfacts.votesmart.org/candidate/biography/204427/abdelnasser-rashid;https://www.ilga.gov/House/Members/Details/3420;https://www.ilga.gov/house/Rep.asp?GA=103&MemberID=3229;https://www.ilga.gov/house/Rep.asp?MemberID=3420;https://www.linkedin.com/in/abdelnasser-rashid-339aa63a;https://www.reprashid.com;https://www.reprashid.com/about,,,,"6901 W. Cermak Road, Berwyn, IL 60402",708-956-7563,,,,,,
ocd-person/9729745e-386d-4f4b-8d04-0e762dcd87b2,Adam Niemerg,Republican,102,lower,Adam,Niemerg,Male,niemerg@ilhousegop.org,,1984-03-17,,https://cdn.ilga.gov/assets/img/members/{EDDABDD8-51A3-413F-B2A0-FA5953D29598}.jpg,https://ilga.gov/house/Rep.asp?GA=102&MemberID=3001;https://ilga.gov/house/Rep.asp?GA=103&MemberID=3189;https://repniemerg.com/;https://www.ilga.gov/House/Members/Details/3392;https://www.ilga.gov/house/Rep.asp?GA=103&MemberID=3189;https://www.ilga.gov/house/Rep.asp?MemberID=3392,https://ballotpedia.org/Adam_Niemerg;https://en.wikipedia.org/wiki/Adam_Niemerg;https://ilga.gov/house/default.asp?GA=102;https://ilga.gov/house/default.asp?GA=103;https://ilga.gov/house/Rep.asp?GA=102&MemberID=3001;https://ilga.gov/house/Rep.asp?GA=103&MemberID=3189;https://justfacts.votesmart.org/candidate/188124/adam-niemerg;https://repniemerg.com;https://www.ilga.gov/House/Members/Details/3392;https://www.ilga.gov/house/Rep.asp?GA=103&MemberID=3189;https://www.ilga.gov/house/Rep.asp?MemberID=3392;https://www.linkedin.com/in/adam-niemerg-3b6682155,,,,"Room 23, 111 Sheriff St., Paris, IL 61944",217-712-2126,,,,,,
ocd-person/e4e9607b-dd1b-4c3d-b3a3-f09927800864,Adriane Johnson,Democratic,30,upper,Adriane,Johnson,Female,info@senatoradrianejohnson.com,,,,https://cdn.ilga.gov/assets/img/members/{991EBDF6-BC13-4260-A2B8-E10751629780}.jpg,https://ilga.gov/senate/Senator.asp?GA=102&MemberID=2980;https://ilga.gov/senate/Senator.asp?GA=103&MemberID=3170;https://www.ilga.gov/Senate/Members/Details/3378;https://www.ilga.gov/senate/Senator.asp?GA=103&MemberID=3170;https://www.ilga.gov/senate/Senator.asp?GA=104&MemberID=3378;https://www.senatoradrianejohnson.com/,https://ballotpedia.org/Adriane_Johnson;https://en.wikipedia.org/wiki/Adriane_Johnson;https://ilga.gov/senate/default.asp?GA=102;https://ilga.gov/senate/default.asp?GA=103;https://ilga.gov/senate/Senator.asp?GA=102&MemberID=2980;https://ilga.gov/senate/Senator.asp?GA=103&MemberID=3170;https://justfacts.votesmart.org/candidate/195711/adriane-johnson;https://www.ilga.gov/Senate/Members/Details/3378;https://www.ilga.gov/senate/Senator.asp?GA=103&MemberID=3170;https://www.ilga.gov/senate/Senator.asp?GA=104&MemberID=3378;https://www.linkedin.com/in/adrianeljohnson;https://www.senatoradrianejohnson.com,,,,"149 S. Genesee St., Waukegan, IL 60085",847-672-6201,,,,,,
ocd-person/b13c7ff5-806e-426d-afd5-181f53e9fed1,Amy Elik,Republican,111,lower,Amy,Elik,Female,elik@ilhousegop.org,,,,https://cdn.ilga.gov/assets/img/members/{D070CEE6-55DF-4D51-961B-CCA4A0E49A8C}.jpg,https://ilga.gov/house/Rep.asp?GA=102&MemberID=3002;https://ilga.gov/house/Rep.asp?GA=103&MemberID=3190;https://repelik.com/;https://www.ilga.gov/House/Members/Details/3393;https://www.ilga.gov/house/Rep.asp?GA=103&MemberID=3190;https://www.ilga.gov/house/Rep.asp?GA=104&MemberID=3393;https://www.ilga.gov/house/Rep.asp?MemberID=3393,https://ballotpedia.org/Amy_Elik;https://en.wikipedia.org/wiki/Amy_Elik;https://ilga.gov/house/default.asp?GA=102;https://ilga.gov/house/default.asp?GA=103;https://ilga.gov/house/Rep.asp?GA=102&MemberID=3002;https://ilga.gov/house/Rep.asp?GA=103&MemberID=3190;https://justfacts.votesmart.org/candidate/188117/amy-elik;https://repelik.com;https://www.ilga.gov/House/Members/Details/3393;https://www.ilga.gov/house/Rep.asp?GA=103&MemberID=3190;https://www.ilga.gov/house/Rep.asp?GA=104&MemberID=3393;https://www.ilga.gov/house/Rep.asp?MemberID=3393;https://www.linkedin.com/in/amy-elik-a6298615,,,,"192 Alton Square Mall Drive Suite C, Alton, IL 62002",618-433-8046,,,,,,
ocd-person/f8dc94db-66cf-4d5e-b1af-0b6307140524,Amy Grant,Republican,47,lower,Amy,Grant,Female,grant@ilhousegop.org,,,,https://cdn.ilga.gov/assets/img/members/{41DCC207-977E-45DC-BD10-A8AFDCEB673E}.jpg,https://ilga.gov/house/Rep.asp?GA=101&MemberID=2754;https://ilga.gov/house/Rep.asp?GA=102&MemberID=2955;https://ilga.gov/house/Rep.asp?GA=103&MemberID=3150;https://repgrant.com/;https://www.ilga.gov/House/Members/Details/3360;https://www.ilga.gov/house/Rep.asp?GA=103&MemberID=3150;https://www.ilga.gov/house/Rep.asp?GA=104&MemberID=3360;https://www.ilga.gov/house/Rep.asp?MemberID=3360,https://ballotpedia.org/Amy_Grant_(Illinois);https://en.wikipedia.org/wiki/Amy_Grant_(politician);https://ilga.gov/house/default.asp?GA=101;https://ilga.gov/house/default.asp?GA=102;https://ilga.gov/house/default.asp?GA=103;https://ilga.gov/house/Rep.asp?GA=101&MemberID=2754;https://ilga.gov/house/Rep.asp?GA=102&MemberID=2955;https://ilga.gov/house/Rep.asp?GA=103&MemberID=3150;https://justfacts.votesmart.org/candidate/biography/158519/amy-grant;https://repgrant.com;https://www.ilga.gov/House/Members/Details/3360;https://www.ilga.gov/house/Rep.asp?GA=103&MemberID=3150;https://www.ilga.gov/house/Rep.asp?GA=104&MemberID=3360;https://www.ilga.gov/house/Rep.asp?MemberID=3360;https://www.linkedin.com/in/amy-grant-87389932;https://www.linkedin.com/in/amy-l-grant-39917a65,,,,"416 E. Roosevelt Road Suite 104, Wheaton, IL 60187",331-218-4182,,,,,,
ocd-person/9def23d3-81e9-4baf-b0c8-eeb4e5587778,Andrew Chesney,Republican,45,upper,Andrew,Chesney,Male,chesney@ilsenategop.org,,1982-01-11,,https://cdn.ilga.gov/assets/img/members/{D79AFB6D-F47C-47F7-988D-A3E99A0100E5}.jpg,https://ilga.gov/house/Rep.asp?GA=103&MemberID=3157;https://ilga.gov/senate/Senator.asp?GA=103&MemberID=3215;https://senatorchesney.com/;https://www.ilga.gov/Senate/Members/Details/3410;https://www.ilga.gov/senate/Senator.asp?GA=103&MemberID=3215;https://www.ilga.gov/senate/Senator.asp?GA=104&MemberID=3410,https://ballotpedia.org/Andrew_Chesney;https://en.wikipedia.org/wiki/Andrew_Chesney;https://ilga.gov/house/default.asp?GA=103;https://ilga.gov/house/Rep.asp?GA=103&MemberID=3157;https://ilga.gov/senate/default.asp?GA=103;https://ilga.gov/senate/Senator.asp?GA=103&MemberID=3215;https://justfacts.votesmart.org/candidate/biography/177213/andrew-chesney;https://senatorchesney.com;https://www.ilga.gov/Senate/Members/Details/3410;https://www.ilga.gov/senate/Senator.asp?GA=103&MemberID=3215;https://www.ilga.gov/senate/Senator.asp?GA=104&MemberID=3410;https://www.linkedin.com/in/andrew-chesney-785328185,,,,"Stewart Centre 50 W. Douglas St., Suite 1001, Freeport, IL 61032",815-232-0774,,,,,,
ocd-person/8b2bc102-d62b-47b2-91d8-5f9b3a172cea,Angie Guerrero-Cuellar,Democratic,22,lower,Angie,Guerrero-Cuellar,Female,angieguerrerocuellar22@gmail.com,,,,https://cdn.ilga.gov/assets/img/members/{22FBB36E-8A65-4E83-81F1-A20247A6B8F2}.jpg,https://ilga.gov/house/Rep.asp?GA=102&MemberID=3011;https://ilga.gov/house/Rep.asp?GA=103&MemberID=3199;https://www.ilga.gov/House/Members/Details/3400;https://www.ilga.gov/house/Rep.asp?GA=103&MemberID=3199;https://www.ilga.gov/house/Rep.asp?GA=104&MemberID=3400;https://www.ilga.gov/house/Rep.asp?MemberID=3400,https://ballotpedia.org/Angelica_Guerrero-Cuellar;https://en.wikipedia.org/wiki/Angelica_Guerrero-Cuellar;https://ilga.gov/house/default.asp?GA=102;https://ilga.gov/house/default.asp?GA=103;https://ilga.gov/house/Rep.asp?GA=102&MemberID=3011;https://ilga.gov/house/Rep.asp?GA=103&MemberID=3199;https://justfacts.votesmart.org/candidate/biography/195857/angie-guerrero-cuellar;https://www.ilga.gov/House/Members/Details/3400;https://www.ilga.gov/house/Rep.asp?GA=103&MemberID=3199;https://www.ilga.gov/house/Rep.asp?GA=104&MemberID=3400;https://www.ilga.gov/house/Rep.asp?MemberID=3400;https://www.linkedin.com/in/angelica-guerrero-chicago,,,,"6500 S. Pulaski Road, Chicago, IL 60629",773-581-8000,,,,,,
ocd-person/02f2799d-4633-48e9-b5ab-379d48e70b40,Ann Williams,Democratic,11,lower,Ann,Williams,Female,ann@repannwilliams.com,,1968-04-28,,https://cdn.ilga.gov/assets/img/members/{C45B418C-4848-4467-ADC2-739B2D1E4418}.jpg,https://ilga.gov/house/Rep.asp?GA=101&MemberID=2595;https://ilga.gov/house/Rep.asp?GA=102&MemberID=2837;https://ilga.gov/house/Rep.asp?GA=103&MemberID=3054;https://www.ilga.gov/House/Members/Details/3286;https://www.ilga.gov/house/Rep.asp?GA=103&MemberID=3054;https://www.ilga.gov/house/rep.asp?MemberID=3286;https://www.repannwilliams.com/,https://ballotpedia.org/Ann_M._Williams;https://en.wikipedia.org/wiki/Ann_Williams_(politician);https://ilga.gov/house/default.asp?GA=101;https://ilga.gov/house/default.asp?GA=102;https://ilga.gov/house/default.asp?GA=103;https://ilga.gov/house/Rep.asp?GA=101&MemberID=2595;https://ilga.gov/house/Rep.asp?GA=102&MemberID=2837;https://ilga.gov/house/Rep.asp?GA=103&MemberID=3054;https://justfacts.votesmart.org/candidate/biography/116611/ann-williams;https://www.ilga.gov/House/Members/Details/3286;https://www.ilga.gov/house/Rep.asp?GA=103&MemberID=3054;https://www.ilga.gov/house/rep.asp?MemberID=3286;https://www.linkedin.com/in/ann-m-williams-a209588;https://www.repannwilliams.com;https://www.repannwilliams.com/,,,,"3505 N. Ashland Ave. Unit B, Chicago, IL 60657",773-880-9082,,,,,,
ocd-person/f38a2b8a-b0e4-4e7d-92cf-7855d42e9c2d,Anna Moeller,Democratic,43,lower,Anna,Moeller,Female,staterepmoeller@gmail.com,,,,https://cdn.ilga.gov/assets/img/members/{DCE9D682-0582-49BD-AD67-98C2502D89C2}.jpg,https://ilga.gov/house/Rep.asp?GA=101&MemberID=2647;https://ilga.gov/house/Rep.asp?GA=102&MemberID=2876;https://ilga.gov/house/Rep.asp?GA=103&MemberID=3085;https://staterepmoeller.com/;https://www.ilga.gov/House/Members/Details/3308;https://www.ilga.gov/house/Rep.asp?GA=103&MemberID=3085;https://www.ilga.gov/house/Rep.asp?MemberID=3308,https://ballotpedia.org/Anna_Moeller;https://en.wikipedia.org/wiki/Anna_Moeller;https://ilga.gov/house/default.asp?GA=101;https://ilga.gov/house/default.asp?GA=102;https://ilga.gov/house/default.asp?GA=103;https://ilga.gov/house/Rep.asp?GA=101&MemberID=2647;https://ilga.gov/house/Rep.asp?GA=102&MemberID=2876;https://ilga.gov/house/Rep.asp?GA=103&MemberID=3085;https://justfacts.votesmart.org/candidate/biography/130766/anna-moeller;https://staterepmoeller.com;https://www.ilga.gov/House/Members/Details/3308;https://www.ilga.gov/house/Rep.asp?GA=103&MemberID=3085;https://www.ilga.gov/house/Rep.asp?MemberID=3308;https://www.linkedin.com/in/anna-moeller-173b898,,,,"164 Division St. Suite 103, Elgin, IL 60120",847-841-7130,,,,,,
