id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/052c229e-ad06-4b61-abec-4e64858b3a3b,Abi Boatman,Democratic,86,lower,Abi,Boatman,Female,abi.boatman@house.ks.gov,,,,https://www.kslegislature.gov/static/li_pics/rep_boatman_abi_1.jpg,https://www.kslegislature.gov/legislators/rep_boatman_abi_1/;https://www.kslegislature.gov/li/b2025_26/members/rep_boatman_abi_1/,https://ballotpedia.org/Elle_Abigail_Boatman;https://en.wikipedia.org/wiki/Abi_Boatman;https://justfacts.votesmart.org/candidate/biography/233185/abi-boatman;https://www.kslegislature.gov/legislators/rep_boatman_abi_1;https://www.kslegislature.gov/li/b2025_26/members/rep_boatman_abi_1;https://www.linkedin.com/in/elle-boatman-a8737589,,,,,,,,,,,
ocd-person/c1802270-0126-4be5-b7e7-1a9a472f5fd7,Adam Smith,Republican,120,lower,Adam,Smith,Male,adam.smith@house.ks.gov,,,,https://www.kslegislature.gov/static/li_pics/rep_smith_adam_1.jpg,https://www.kslegislature.gov/legislators/rep_smith_adam_1/;https://www.kslegislature.gov/li/b2025_26/members/rep_smith_adam_1/;https://www.kslegislature.org/li/b2019_20/members/rep_smith_adam_1/;https://www.kslegislature.org/li/b2021_22/members/rep_smith_adam_1/;https://www.kslegislature.org/li/b2023_24/members/rep_smith_adam_1/,https://ballotpedia.org/Adam_Smith_(Kansas);https://en.wikipedia.org/wiki/Adam_Smith_(Kansas_politician);https://justfacts.votesmart.org/candidate/biography/116224/adam-smith;https://www.kslegislature.gov/legislators/rep_smith_adam_1;https://www.kslegislature.gov/li/b2025_26/members/rep_smith_adam_1;https://www.kslegislature.org/li/api/v11/rev-1/members/rep_smith_adam_1;https://www.kslegislature.org/li/api/v11/rev-1/members/rep_smith_adam_1/;https://www.kslegislature.org/li/b2023_24/members/rep_smith_adam_1;https://www.kslegislature.org/li/b2023_24/members/rep_smith_adam_1/;https://www.linkedin.com/in/adam-smith-1b487ab9,,,,,,,,,,,
ocd-person/2c46aedb-f7a4-4f9a-bade-5ae192acc2a3,Adam Thomas,Republican,23,upper,Adam,Thomas,Male,adam.thomas@senate.ks.gov,,,,https://www.kslegislature.gov/static/li_pics/sen_thomas_adam_1.jpg,https://www.kslegislature.gov/li/b2025_26/members/sen_thomas_adam_1/;https://www.kslegislature.gov/senators/sen_thomas_adam_1/;https://www.kslegislature.org/li/b2019_20/members/rep_thomas_adam_1/;https://www.kslegislature.org/li/b2021_22/members/rep_thomas_adam_1/;https://www.kslegislature.org/li/b2023_24/members/rep_thomas_adam_1/,https://ballotpedia.org/Adam_Thomas;https://en.wikipedia.org/wiki/Adam_Thomas_(politician);https://justfacts.votesmart.org/candidate/biography/183536/adam-thomas;https://www.kslegislature.gov/li/b2025_26/members/sen_thomas_adam_1;https://www.kslegislature.gov/senators/sen_thomas_adam_1;https://www.kslegislature.org/li/api/v11/rev-1/members/rep_thomas_adam_1;https://www.kslegislature.org/li/api/v11/rev-1/members/rep_thomas_adam_1/;https://www.kslegislature.org/li/b2023_24/members/rep_thomas_adam_1;https://www.kslegislature.org/li/b2023_24/members/rep_thomas_adam_1/,,,,,,,,,,,
ocd-person/d7dd1de1-73e2-438a-bf25-c70e12ede30d,Adam Turk,Republican,117,lower,Adam,Turk,Male,adam.turk@house.ks.gov,,,,https://www.kslegislature.gov/static/li_pics/rep_turk_adam_1.jpg,https://www.kslegislature.gov/legislators/rep_turk_adam_1/;https://www.kslegislature.gov/li/b2025_26/members/rep_turk_adam_1/;https://www.kslegislature.org/li/b2023_24/members/rep_turk_adam_1/,https://ballotpedia.org/Adam_Turk;https://en.wikipedia.org/wiki/Adam_Turk;https://www.kslegislature.gov/legislators/rep_turk_adam_1;https://www.kslegislature.gov/li/b2025_26/members/rep_turk_adam_1;https://www.kslegislature.org/li/api/v11/rev-1/members/rep_turk_adam_1;https://www.kslegislature.org/li/api/v11/rev-1/members/rep_turk_adam_1/;https://www.kslegislature.org/li/b2023_24/members/rep_turk_adam_1;https://www.kslegislature.org/li/b2023_24/members/rep_turk_adam_1/;https://www.linkedin.com/in/adam-turk-1432007,,,,,,,,,,,
ocd-person/f3a06f5c-fe9a-42c9-ad04-82e1532b6979,Alexis Simmons,Democratic,58,lower,Alexis,Simmons,Female,alexis.simmons@house.ks.gov,,,,https://www.kslegislature.gov/static/li_pics/rep_simmons_alexis_1.jpg,https://www.kslegislature.gov/legislators/rep_simmons_alexis_1/;https://www.kslegislature.gov/li/b2025_26/members/rep_simmons_alexis_1/,https://ballotpedia.org/Alexis_Simmons;https://en.wikipedia.org/wiki/Alexis_Simmons;https://justfacts.votesmart.org/candidate/218242/alexis-simmons;https://www.kslegislature.gov/legislators/rep_simmons_alexis_1;https://www.kslegislature.gov/li/b2025_26/members/rep_simmons_alexis_1;https://www.linkedin.com/in/alexis-marguerite-simmons;https://www.simmonsforkansas.org/about,,,,,,,,,,,
ocd-person/47445ee6-4c28-496c-b5a2-2f666fc62d46,Allen Reavis,Republican,63,lower,Allen,Reavis,Male,allen.reavis@house.ks.gov,,,,https://www.atchisoncountyks.org/ImageRepository/Document?documentID=2708,https://www.kslegislature.gov/legislators/rep_reavis_allen_1/;https://www.kslegislature.gov/li/b2025_26/members/rep_reavis_allen_1/,https://allenreavis.com/meet-allen;https://ballotpedia.org/Allen_Reavis;https://en.wikipedia.org/wiki/Allen_Reavis;https://justfacts.votesmart.org/candidate/biography/219378/allen-reavis;https://www.kslegislature.gov/legislators/rep_reavis_allen_1;https://www.kslegislature.gov/li/b2025_26/members/rep_reavis_allen_1;https://www.linkedin.com/in/allen-reavis-4a261b227,,,,,,,,,,,
ocd-person/372f4e97-d36e-41c3-aae3-fd69da828ee5,Angel Roeser,Republican,67,lower,Angel,Roeser,Female,angel.roeser@house.ks.gov,,,,https://www.kslegislature.gov/static/li_pics/rep_roeser_angelina_1.jpg,https://www.kslegislature.gov/legislators/rep_roeser_angelina_1/;https://www.kslegislature.gov/li/b2025_26/members/rep_roeser_angelina_1/,https://ballotpedia.org/Angel_Roeser;https://en.wikipedia.org/wiki/Angelina_Roeser;https://www.kslegislature.gov/legislators/rep_roeser_angelina_1;https://www.kslegislature.gov/li/b2025_26/members/rep_roeser_angelina_1;https://www.linkedin.com/in/angel-roeser-manhattanks,,,,,,,,,,,
ocd-person/a587476a-1201-4d9f-b8b7-ac6f74b3f6ce,Angela Martinez,Democratic,103,lower,Angela,Martinez,Female,angela.martinez@house.ks.gov,,,,https://www.kslegislature.gov/static/li_pics/rep_martinez_angela_1.jpg,https://www.kslegislature.gov/legislators/rep_martinez_angela_1/;https://www.kslegislature.gov/li/b2025_26/members/rep_martinez_angela_1/;https://www.kslegislature.org/li/b2023_24/members/rep_martinez_angela_1/,https://ballotpedia.org/Angela_Martinez;https://en.wikipedia.org/wiki/Angela_Martinez;https://www.kslegislature.gov/legislators/rep_martinez_angela_1;https://www.kslegislature.gov/li/b2025_26/members/rep_martinez_angela_1;https://www.kslegislature.org/li/api/v11/rev-1/members/rep_martinez_angela_1;https://www.kslegislature.org/li/api/v11/rev-1/members/rep_martinez_angela_1/;https://www.kslegislature.org/li/b2023_24/members/rep_martinez_angela_1;https://www.kslegislature.org/li/b2023_24/members/rep_martinez_angela_1/;https://www.linkedin.com/in/angela-martinez-5b06832a,,,,,,,,,,,
ocd-person/e0cddd71-639c-4b74-8dea-bc189418034d,Angela Stiens,Republican,39,lower,Angela,Stiens,Female,angela.stiens@house.ks.gov,,,,https://www.kslegislature.gov/static/li_pics/rep_stiens_angela_1.jpg,https://www.kslegislature.gov/legislators/rep_stiens_angela_1/;https://www.kslegislature.gov/li/b2025_26/members/rep_stiens_angela_1/;https://www.kslegislature.org/li/b2023_24/members/rep_stiens_angela_1/,https://ballotpedia.org/Angela_Stiens;https://en.wikipedia.org/wiki/Angela_Stiens;https://justfacts.votesmart.org/candidate/biography/216236/angela-stiens;https://www.kslegislature.gov/legislators/rep_stiens_angela_1;https://www.kslegislature.gov/li/b2025_26/members/rep_stiens_angela_1;https://www.kslegislature.org/li/b2023_24/members/rep_stiens_angela_1;https://www.linkedin.com/in/angela-stiens-34022649,,,,,,,,,,,
ocd-person/4544fc4e-fff8-4bbe-bc29-4e28c6be3179,Avery Anderson,Republican,72,lower,Avery,Anderson,Male,avery.anderson@house.ks.gov,,,,https://www.kslegislature.gov/static/li_pics/rep_anderson_avery_1.jpg,https://www.kslegislature.gov/legislators/rep_anderson_avery_1/;https://www.kslegislature.gov/li/b2025_26/members/rep_anderson_avery_1/;https://www.kslegislature.org/li/b2021_22/members/rep_anderson_avery_1/;https://www.kslegislature.org/li/b2023_24/members/rep_anderson_avery_1/,https://ballotpedia.org/Avery_Anderson_(Kansas);https://en.wikipedia.org/wiki/Avery_Anderson;https://www.kslegislature.gov/legislators/rep_anderson_avery_1;https://www.kslegislature.gov/li/b2025_26/members/rep_anderson_avery_1;https://www.kslegislature.org/li/api/v11/rev-1/members/rep_anderson_avery_1;https://www.kslegislature.org/li/api/v11/rev-1/members/rep_anderson_avery_1/;https://www.kslegislature.org/li/b2023_24/members/rep_anderson_avery_1;https://www.kslegislature.org/li/b2023_24/members/rep_anderson_avery_1/;https://www.linkedin.com/in/avery-anderson-689766199,,,,,,,,,,,
