id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/e46eb488-2e34-4f33-840f-917496473c64,Aaron Reed,Republican,7,upper,Aaron,Reed,Male,aaron.reed@kylegislature.gov,,1977-07-20,,https://gunleash.com/wp-content/uploads/2023/11/Aaron_Reed.jpg,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=107,https://ballotpedia.org/Aaron_Reed;https://en.wikipedia.org/wiki/Aaron_Reed;https://justfacts.votesmart.org/candidate/biography/201476/aaron-reed;https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=107,,,,"1016 Mount Vernon Drive Suite 3, Shelbyville, KY 40065",502-233-3689,,,,,,
ocd-person/1439bad2-f18b-49e2-94ca-21f2b563dfdd,Aaron Thompson,Republican,98,lower,Aaron,Thompson,Male,aaron.thompson@kylegislature.gov,,1991-05-31,,https://content.campaignpartner.net/images/126420/Headshot.jpg,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=98,https://ballotpedia.org/Aaron_Thompson_(Kentucky);https://en.wikipedia.org/wiki/Aaron_Thompson_(politician);https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=98;https://www.linkedin.com/in/aaron-thompson-092b5854,,,,,,,,,,,
ocd-person/e7f7a316-4eb0-4be9-adf9-e7067b20dcfc,Adam Bowling,Republican,87,lower,Adam,Bowling,Male,adam.bowling@kylegislature.gov,,1982-02-04,,https://legislature.ky.gov/Legislators%20Thumbnail%20Images/house87.jpg,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=87,https://ballotpedia.org/Adam_Bowling;https://en.wikipedia.org/wiki/Adam_Bowling;https://legislature.ky.gov/Legislators/house-of-representatives;https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=87;https://www.linkedin.com/in/adam-bowling-3090094b,,,,,,,ABowlingKY,,,,
ocd-person/1ce736fd-c1ca-4366-a235-9509fdb2dcaf,Adam Moore,Democratic,45,lower,Adam,Moore,Male,adam.moore@kylegislature.gov,,1984-11-30,,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/AdamMoore2024.jpg,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=45,https://ballotpedia.org/Adam_Moore_(Kentucky);https://en.wikipedia.org/wiki/Adam_Moore_(politician);https://justfacts.votesmart.org/candidate/214186/adam-moore;https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=45;https://www.linkedin.com/in/adam-moore-1a398629,,,,,,,,,,,
ocd-person/943724d5-5e02-4d0f-bd79-a74e30f18d1a,Adrielle Camuel,Democratic,93,lower,Adrielle,Camuel,Female,adrielle.camuel@kylegislature.gov,,1972-05-26,,https://legislature.ky.gov/Legislators%20Thumbnail%20Images/house93.jpg,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=93,https://ballotpedia.org/Adrielle_Camuel;https://camuel4ky.com/about;https://en.wikipedia.org/wiki/Adrielle_Camuel;https://legislature.ky.gov/Legislators/house-of-representatives;https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=93,,,,,,,camuelforky,,,,
ocd-person/dfaa3769-decc-4c1c-9c0b-7195153ab6c8,Al Gentry,Democratic,46,lower,Al,Gentry,Male,al.gentry@kylegislature.gov,,1964-10-12,,https://legislature.ky.gov/Legislators%20Thumbnail%20Images/house46.jpg,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=46,https://ballotpedia.org/Alan_Gentry;https://en.wikipedia.org/wiki/Al_Gentry_(politician);https://legislature.ky.gov/Legislators/house-of-representatives;https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=46,,,,,,,kyalgentry,,,,
ocd-person/7c03bd44-8541-49b0-9794-a9e606c292ce,Amanda Bledsoe,Republican,12,upper,Amanda,Bledsoe,Female,amanda.maysbledsoe@kylegislature.gov,,1978-02-15,,https://legislature.ky.gov/Legislators%20Thumbnail%20Images/senate112.jpg,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=112,https://amandamaysbledsoe.com/about;https://ballotpedia.org/Amanda_Mays_Bledsoe;https://en.wikipedia.org/wiki/Amanda_Mays_Bledsoe;https://justfacts.votesmart.org/candidate/biography/159716/amanda-bledsoe;https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=112;https://legislature.ky.gov/Legislators/senate;https://www.linkedin.com/in/amanda-mays-bledsoe-a4008259,,,,,,,amandambledsoe,,,,
ocd-person/f7bb262c-026f-4af2-9e17-939692c96e89,Amy Neighbors,Republican,21,lower,Amy,Neighbors,Female,amy.neighbors@kylegislature.gov,,1975-11-12,,https://legislature.ky.gov/Legislators%20Thumbnail%20Images/house21.jpg,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=21,https://ballotpedia.org/Amy_Neighbors;https://en.wikipedia.org/wiki/Amy_Neighbors;https://justfacts.votesmart.org/candidate/biography/201514/amy-neighbors;https://legislature.ky.gov/Legislators/house-of-representatives;https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=21;https://www.linkedin.com/in/amy-neighbors-59377b20,,,,,,,aneigh,,,,
ocd-person/2b9ac6b5-8979-40b1-b2d1-8241b93061a7,Anne Donworth,Democratic,76,lower,Anne,Donworth,Female,anne.donworth@kylegislature.gov,,1983-05-16,,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/AnneDonworth.jpeg,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=76,https://ballotpedia.org/Anne_Donworth;https://en.wikipedia.org/wiki/Anne_Donworth;https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=76;https://www.linkedin.com/in/anne-donworth-51958112,,,,,,,,,,,
ocd-person/6bc2a8c3-3370-4586-b0b7-a5028f336d12,Ashley Laferty,Democratic,95,lower,Ashley,Laferty,Female,ashley.tackettlaferty@kylegislature.gov,,1979-05-10,,https://legislature.ky.gov/Legislators%20Thumbnail%20Images/house95.jpg,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=95,https://ballotpedia.org/Ashley_Tackett_Laferty;https://en.wikipedia.org/wiki/Ashley_Tackett_Laferty;https://legislature.ky.gov/Legislators/house-of-representatives;https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=95;https://www.kirkandcrum.com/meet-our-attorneys/ashley-t-laferty;https://www.kirklawfirm.net/our-attorneys/ashley-tackett-laferty,,,,,,,,,,,
ocd-person/c8a9f2cf-9a79-45f6-94df-346b546e1d9b,Beverly Chester-Burton,Democratic,44,lower,Beverly,Chester-Burton,Female,beverly.chesterburton@kylegislature.gov,,1961-10-03,,https://legislature.ky.gov/Legislators%20Thumbnail%20Images/house44.jpg,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=44,https://ballotpedia.org/Beverly_Chester-Burton;https://en.wikipedia.org/wiki/Beverly_Chester-Burton;https://legislature.ky.gov/Legislators/house-of-representatives;https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=44,,,,,,,,,,,
ocd-person/91eec267-436a-49a5-9d41-b6b2632d0a51,Bill Wesley,Republican,91,lower,Bill,Wesley,Male,bill.wesley@kylegislature.gov,,1971-10-26,,https://legislature.ky.gov/Legislators%20Thumbnail%20Images/house91.jpg,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=91,https://ballotpedia.org/Billy_Wesley;https://en.wikipedia.org/wiki/Bill_Wesley;https://justfacts.votesmart.org/candidate/189608/bill-wesley;https://legislature.ky.gov/Legislators/house-of-representatives;https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=91,,,,,,,,,,,
ocd-person/22e056d2-728a-425a-a0a1-19e0e5cc59cb,Bobby McCool,Republican,97,lower,Bobby,McCool,Male,bobby.mccool@kylegislature.gov,,1959-05-07,,https://legislature.ky.gov/Legislators%20Thumbnail%20Images/house97.jpg,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=97,https://ballotpedia.org/Bobby_McCool;https://en.wikipedia.org/wiki/Bobby_McCool_(politician);https://legislature.ky.gov/Legislators/house-of-representatives;https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=97;https://www.linkedin.com/in/bobby-mccool-0a8a4b34,,,,,,,,,,,
ocd-person/209d5334-d4a2-45f3-b910-0cd52f96dd4e,Brandon Smith,Republican,30,upper,Brandon,Smith,Male,brandon.smith@kylegislature.gov,,1967-06-14,,https://legislature.ky.gov/Legislators%20Thumbnail%20Images/senate130.jpg,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=130,https://ballotpedia.org/Brandon_Smith_(Kentucky);https://en.wikipedia.org/wiki/Brandon_Smith_%28politician%29;https://justfacts.votesmart.org/candidate/34928/brandon-smith;https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=130;https://legislature.ky.gov/Legislators/senate,,,,,,,Smithkysenate,,,,
ocd-person/257271f3-68b1-4481-94e5-f98300493413,Brandon Storm,Republican,21,upper,Brandon,Storm,Male,brandon.storm@kylegislature.gov,,1976-05-14,,https://legislature.ky.gov/Legislators%20Thumbnail%20Images/senate121.jpg,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=121,https://ballotpedia.org/Brandon_Storm;https://en.wikipedia.org/wiki/Brandon_J._Storm;https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=121;https://legislature.ky.gov/Legislators/senate;https://www.linkedin.com/in/brandon-storm-0a801b30,,,,,,,,,,,
ocd-person/70d58905-dd36-4e9a-b281-639600e6b945,Candy Massaroni,Republican,50,lower,Candy,Massaroni,Female,candy.massaroni@kylegislature.gov,,1980-07-30,,https://legislature.ky.gov/Legislators%20Thumbnail%20Images/house50.jpg,https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=50,https://ballotpedia.org/Candy_Massaroni;https://en.wikipedia.org/wiki/Candy_Massaroni;https://legislature.ky.gov/Legislators/house-of-representatives;https://legislature.ky.gov/Legislators/Pages/Legislator-Profile.aspx?DistrictNumber=50,,,,,,,,,,,
