id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/0d1a7b74-9ed8-4d8c-a1fc-f2caafc3d364,Adam Bass,Republican,36,upper,Adam,Bass,Male,sen36@legis.la.gov,,,,https://senate.la.gov/SenPics/Sen36.jpg,https://senate.la.gov/smembers?ID=36,https://ballotpedia.org/Adam_Bass;https://en.wikipedia.org/wiki/Adam_Bass_(politician);https://senate.la.gov/smembers?ID=36;https://www.linkedin.com/in/adam-bass-6b633b23,,,,"2123 Shed Road Suite 5, Bossier City, LA 71111",318-741-2812,,,,,,
ocd-person/5d1fade2-4678-406c-b4ed-657baed1db2b,Adrian Fisher,Democratic,16,lower,Adrian,Fisher,Male,hse016@legis.la.gov,,,,https://house.louisiana.gov/H_Reps/RepPics20/rep16.jpg,https://house.louisiana.gov/H_Reps/members.aspx?ID=16;https://house.louisiana.gov/H_Reps/members?ID=16,https://ballotpedia.org/Adrian_Fisher;https://en.wikipedia.org/wiki/Adrian_Fisher_(Louisiana_politician);https://house.louisiana.gov/H_Reps/H_Reps_FullInfo;https://house.louisiana.gov/H_Reps/members.aspx?ID=16;https://house.louisiana.gov/H_Reps/members?ID=16,,,,,,,,,,,
ocd-person/3937cef1-8c62-428c-8837-aa6a6a8b60e7,Aimee Freeman,Democratic,98,lower,Aimee,Freeman,Female,hse098@legis.la.gov,,,,https://house.louisiana.gov/H_Reps/RepPics20/rep98.jpg,https://house.louisiana.gov/H_Reps/members.aspx?ID=98;https://house.louisiana.gov/H_Reps/members?ID=98,https://ballotpedia.org/Aimee_Adatto_Freeman;https://en.wikipedia.org/wiki/Aimee_Adatto_Freeman;https://house.louisiana.gov/H_Reps/H_Reps_FullInfo;https://house.louisiana.gov/H_Reps/members.aspx?ID=98;https://house.louisiana.gov/H_Reps/members?ID=98;https://www.aimeefreemanconsulting.com;https://www.linkedin.com/in/aimeeafreeeman,,,,"200 Broadway St. Suite 212, New Orleans, LA 70118",504-861-1614,,,,,,
ocd-person/5032448a-7275-4a02-8dc1-d251cdde8ad9,Alan Seabaugh,Republican,31,upper,Alan,Seabaugh,Male,sen31@legis.la.gov,,1967-05-20,,https://senate.la.gov/SenPics/Sen31.jpg,https://house.louisiana.gov/H_Reps/members.aspx?ID=5;https://senate.la.gov/smembers?ID=31,https://ballotpedia.org/Alan_Seabaugh;https://en.wikipedia.org/wiki/Alan_Seabaugh;https://house.louisiana.gov/H_Reps/H_Reps_FullInfo;https://house.louisiana.gov/H_Reps/members.aspx?ID=5;https://justfacts.votesmart.org/candidate/biography/93616/alan-seabaugh;https://senate.la.gov/smembers?ID=31;https://www.seabaughlaw.com/attorneys/seabaugh,,,,"515 S. Capitol St., Many, LA 71449",318-676-7990,,,,,,
ocd-person/967fa557-fcdc-4a75-a13e-dabf05b85905,Alonzo Knox,Democratic,93,lower,Alonzo,Knox,Male,hse093@legis.la.gov,,,,https://house.louisiana.gov/H_Reps/RepPics20/rep93.jpg,https://house.louisiana.gov/H_Reps/members.aspx?ID=93;https://house.louisiana.gov/H_Reps/members?ID=93,https://ballotpedia.org/Alonzo_Knox;https://en.wikipedia.org/wiki/Alonzo_Knox;https://house.louisiana.gov/H_Reps/H_Reps_FullInfo;https://house.louisiana.gov/H_Reps/members.aspx?ID=93;https://house.louisiana.gov/H_Reps/members?ID=93;https://www.linkedin.com/in/alonzo-knox-48aa731a,,,,"1441 Canal St. Suite 417, New Orleans, LA 70112",504-568-3101,504-568-3104,,,,,
ocd-person/a6a9544c-d12b-44cc-a52d-f2ec0e01f556,Annie Spell,Republican,45,lower,Annie,Spell,Female,hse045@legis.la.gov,,,,,https://house.louisiana.gov/H_Reps/members?ID=45,https://ballotpedia.org/Annie_Spell;https://en.wikipedia.org/wiki/Annie_Spell;https://house.louisiana.gov/H_Reps/members?ID=45;https://justfacts.votesmart.org/candidate/biography/221862/annie-spell,,,,"1438 S. College Road, Lafayette, LA 70503",,,,,,,
ocd-person/bd179bf7-f90d-4e3a-baea-a590c3002586,Barbara Freiberg,Republican,70,lower,Barbara,Freiberg,Female,hse070@legis.la.gov,,,,https://house.louisiana.gov/H_Reps/RepPics20/rep70.jpg,https://house.louisiana.gov/H_Reps/members.aspx?ID=70;https://house.louisiana.gov/H_Reps/members?ID=70,https://ballotpedia.org/Barbara_Freiberg;https://house.louisiana.gov/H_Reps/H_Reps_FullInfo;https://house.louisiana.gov/H_Reps/members.aspx?ID=70;https://house.louisiana.gov/H_Reps/members?ID=70;https://justfacts.votesmart.org/candidate/biography/177824/barbara-freiberg;https://www.linkedin.com/in/barbara-freiberg-62a9b719,,,,"5800 One Perkins Place Suite 7A, Baton Rouge, LA 70808",225-763-3500,,,,,,
ocd-person/ad514eed-2832-4ae3-a0c5-62d8f2721297,Barbara Carpenter,Democratic,63,lower,Barbara,Carpenter,Female,carpenterb@legis.la.gov,,,,https://house.louisiana.gov/H_Reps/RepPics20/rep63.jpg,https://house.louisiana.gov/H_Reps/members.aspx?ID=63;https://house.louisiana.gov/H_Reps/members?ID=63,https://ballotpedia.org/Barbara_Carpenter_(Louisiana);https://en.wikipedia.org/wiki/Barbara_West_Carpenter;https://house.louisiana.gov/H_Reps/H_Reps_FullInfo;https://house.louisiana.gov/H_Reps/members.aspx?ID=63;https://house.louisiana.gov/H_Reps/members?ID=63;https://justfacts.votesmart.org/candidate/biography/165563/barbara-carpenter,,,,"1975 Harding Blvd., Baton Rouge, LA 70807",225-771-5674,,,,,,
ocd-person/cbe53992-3b3c-4ec0-a94a-58ddf96e6edd,Beryl Amedée,Republican,51,lower,Beryl,Amedée,Female,amedeeb@legis.la.gov,,1964-10-14,,https://house.louisiana.gov/H_Reps/RepPics20/rep51.jpg,https://house.louisiana.gov/H_Reps/members.aspx?ID=51;https://house.louisiana.gov/H_Reps/members?ID=51,https://ballotpedia.org/Beryl_Amedee;https://en.wikipedia.org/wiki/Beryl_Amedee;https://house.louisiana.gov/H_Reps/H_Reps_FullInfo;https://house.louisiana.gov/H_Reps/members.aspx?ID=51;https://house.louisiana.gov/H_Reps/members?ID=51;https://justfacts.votesmart.org/candidate/biography/149301/beryl-amedee,,,,"5417 W. Main St., Houma, LA 70360",985-858-2967,,,,,,
ocd-person/5d15439d-4139-448a-8f61-25ab54e68b19,Beth Billings,Republican,56,lower,Beth,Billings,Female,hse056@legis.la.gov,,,,https://house.louisiana.gov/H_Reps/RepPics/rep56.jpg,https://house.louisiana.gov/H_Reps/members?ID=56,https://ballotpedia.org/Beth_Billings;https://en.wikipedia.org/wiki/Beth_Anne_Billings;https://house.louisiana.gov/H_Reps/members?ID=56;https://www.linkedin.com/in/beth-billings-70047,,,,"104 Campus Drive East Suite 201, Destrehan, LA 70047",985-764-0203,,,,,,
ocd-person/b6e8a5cf-ec5c-494b-b9ff-efa0fb92e1c1,Beth Mizell,Republican,12,upper,Beth,Mizell,Female,mizellb@legis.la.gov,,,,https://senate.la.gov/SenatorPics/Sen12.jpg,https://senate.la.gov/smembers.aspx?ID=12;https://senate.la.gov/smembers?ID=12,https://ballotpedia.org/Beth_Mizell;https://en.wikipedia.org/wiki/Beth_Mizell;https://justfacts.votesmart.org/candidate/biography/134643/beth-mizell;https://senate.la.gov/Senators_FullInfo;https://senate.la.gov/smembers.aspx?ID=12;https://senate.la.gov/smembers?ID=12,,,,"1051 Main St., Franklinton, LA 70438",985-839-3936,,,,,,
ocd-person/20547e38-711f-4012-9217-b739f4450b91,Bill Wheat,Republican,37,upper,Bill,Wheat,Male,sen37@legis.la.gov,,,,https://senate.la.gov/SenPics/Sen37.jpg,https://senate.la.gov/smembers?ID=37,https://ballotpedia.org/William_Wheat_Jr.;https://en.wikipedia.org/wiki/Bill_Wheat;https://senate.la.gov/smembers?ID=37;https://www.linkedin.com/in/william-wheat-21506737,,,,,,,,,,,
ocd-person/8574f94d-93ed-49b0-a5f6-aa1832b5542a,Blake Miguez,Republican,22,upper,Blake,Miguez,Male,sen22@legis.la.gov,,,,https://senate.la.gov/SenPics/Sen22.jpg,https://house.louisiana.gov/H_Reps/members.aspx?ID=49;https://senate.la.gov/smembers?ID=22,https://ballotpedia.org/Blake_Miguez;https://en.wikipedia.org/wiki/Blake_Miguez;https://house.louisiana.gov/H_Reps/H_Reps_FullInfo;https://house.louisiana.gov/H_Reps/members.aspx?ID=49;https://justfacts.votesmart.org/candidate/biography/156101/blake-miguez;https://senate.la.gov/smembers?ID=22;https://www.linkedin.com/in/blake-miguez-764b14123,,,,"1101 E. Admiral Doyle Drive Suite 301-8, New Iberia, LA 70560",337-373-9400,,,,,,
ocd-person/7dac3861-2ffb-45ba-b690-a8e199eb2acd,Bob Hensgens,Republican,26,upper,Bob,Hensgens,Male,sen26@legis.la.gov,,1955-01-26,,https://senate.la.gov/SenatorPics/Sen26.jpg,https://senate.la.gov/smembers.aspx?ID=26;https://senate.la.gov/smembers?ID=26,https://ballotpedia.org/Bob_Hensgens;https://en.wikipedia.org/wiki/Bob_Hensgens;https://senate.la.gov/Senators_FullInfo;https://senate.la.gov/smembers.aspx?ID=26;https://senate.la.gov/smembers?ID=26;https://www.linkedin.com/in/bob-hensgens-7430a91a,,,,"122 N. State St. Suite 100, Abbeville, LA 70510",337-740-6425,,,,,,
ocd-person/cfe19d33-7048-4fb7-9d56-0fa0f5f985f5,Bob Owen,Republican,1,upper,Bob,Owen,Male,sen01@legis.la.gov,,,,https://senate.la.gov/SenPics/Sen1.jpg,https://senate.la.gov/smembers?ID=1,https://ballotpedia.org/Robert_Owen_(Louisiana);https://en.wikipedia.org/wiki/Bob_Owen;https://senate.la.gov/smembers?ID=1,,,,"250 Bouscaren St. Suite 201, Slidell, LA 70458",985-639-0400,,,,,,
ocd-person/92439b80-4646-445b-939f-5414e309f183,Brach Myers,Republican,23,upper,Brach,Myers,Male,sen23@legis.la.gov,,,,https://house.louisiana.gov/H_Reps/RepPics/rep45.jpg,https://house.louisiana.gov/H_Reps/members?ID=45;https://senate.la.gov/smembers?ID=23,https://ballotpedia.org/Brach_Myers;https://brachmyers.com/meet-brach;https://en.wikipedia.org/wiki/Brach_Myers;https://house.louisiana.gov/H_Reps/members?ID=45;https://senate.la.gov/smembers?ID=23;https://www.linkedin.com/in/brach-myers-2113465a,,,,"1438 South College Road, Lafayette, LA 70503",,,,,,,
ocd-person/9ffd05e6-a127-4896-b60e-fc2722fa8779,Brett Geymann,Republican,35,lower,Brett,Geymann,Male,hse035@legis.la.gov,,1961-12-08,,https://house.louisiana.gov/H_Reps/RepPics20/rep35.jpg,https://house.louisiana.gov/H_Reps/members.aspx?ID=35;https://house.louisiana.gov/H_Reps/members?ID=35,https://ballotpedia.org/Brett_Geymann;https://house.louisiana.gov/H_Reps/H_Reps_FullInfo;https://house.louisiana.gov/H_Reps/members.aspx?ID=35;https://house.louisiana.gov/H_Reps/members?ID=35,,,,,,,,,,,
ocd-person/96385d4e-bfae-4929-9845-502fd2ed2cc7,Brian Glorioso,Republican,90,lower,Brian,Glorioso,Male,hse090@legis.la.gov,,1974-04-20,,https://house.louisiana.gov/H_Reps/RepPics/rep90.jpg,https://house.louisiana.gov/H_Reps/members?ID=90,https://ballotpedia.org/Brian_Glorioso;https://en.wikipedia.org/wiki/Brian_Glorioso;https://house.louisiana.gov/H_Reps/members?ID=90;https://www.linkedin.com/in/brian-glorioso-54673635,,,,"1301 Brownswitch Road Suite C, Slidell, LA 70461",,,,,,,
ocd-person/90b6f6c3-9620-4fbb-8c23-f8ab7b163de7,Bryan Fontenot,Republican,55,lower,Bryan,Fontenot,Male,hse055@legis.la.gov,,,,https://house.louisiana.gov/H_Reps/RepPics20/rep55.jpg,https://house.louisiana.gov/H_Reps/members.aspx?ID=55;https://house.louisiana.gov/H_Reps/members?ID=55,https://ballotpedia.org/Bryan_Fontenot;https://en.wikipedia.org/wiki/Bryan_Fontenot;https://house.louisiana.gov/H_Reps/H_Reps_FullInfo;https://house.louisiana.gov/H_Reps/members.aspx?ID=55;https://house.louisiana.gov/H_Reps/members?ID=55;https://justfacts.votesmart.org/candidate/biography/186988/bryan-fontenot,,,,"406 W. 3rd St. Suite 107, Thibodaux, LA 70301",985-447-0999,,,,,,
ocd-person/20def39d-ba5c-45d7-ba6c-5cf43590d4b0,Denise Marcelle,Democratic,61,lower,Denise,Marcelle,Female,marcelled@legis.la.gov,,,,https://house.louisiana.gov/H_Reps/RepPics/rep61.jpg,https://house.louisiana.gov/H_Reps/members.aspx?ID=61;https://house.louisiana.gov/H_Reps/members?ID=61,https://ballotpedia.org/C._Denise_Marcelle;https://en.wikipedia.org/wiki/C._Denise_Marcelle;https://house.louisiana.gov/H_Reps/H_Reps_FullInfo;https://house.louisiana.gov/H_Reps/members.aspx?ID=61;https://house.louisiana.gov/H_Reps/members?ID=61;https://www.linkedin.com/in/c-denise-marcelle-7bb85a32,,,,"1824 N. Acadian Thruway West, Baton Rouge, LA 70802",225-359-9362,,,,,,
ocd-person/871d5c01-9710-46f4-aeba-b321bdf11e30,Travis Johnson,Democratic,21,lower,Travis,Johnson,Male,hse021@legis.la.gov,,,,https://house.louisiana.gov/H_Reps/RepPics20/rep21.jpg,https://house.louisiana.gov/H_Reps/members.aspx?ID=21;https://house.louisiana.gov/H_Reps/members?ID=21,https://ballotpedia.org/C._Travis_Johnson;https://en.wikipedia.org/wiki/C._Travis_Johnson;https://house.louisiana.gov/H_Reps/H_Reps_FullInfo;https://house.louisiana.gov/H_Reps/members.aspx?ID=21;https://house.louisiana.gov/H_Reps/members?ID=21;https://www.linkedin.com/in/c-travis-johnson-1b8119a,,,,"200 Advocate Row Suite D, Vidalia, LA 71373",225-308-4269,,,,,,
ocd-person/75f165af-66d1-464e-99b0-4176b8636501,Caleb Kleinpeter,Republican,17,upper,Caleb,Kleinpeter,Male,sen17@legis.la.gov,,,,https://senate.la.gov/SenatorPics/Sen17.jpg,https://senate.la.gov/smembers.aspx?ID=17;https://senate.la.gov/smembers?ID=17,https://ballotpedia.org/Caleb_Kleinpeter;https://en.wikipedia.org/wiki/Caleb_Kleinpeter;https://senate.la.gov/Senators_FullInfo;https://senate.la.gov/smembers.aspx?ID=17;https://senate.la.gov/smembers?ID=17;https://www.linkedin.com/in/caleb-kleinpeter-1484a3177,,,,"3741 Highway 1, Port Allen, LA 70767",225-246-8838,,,,,,
ocd-person/85a96a1b-a8a0-4ddd-acd7-9452b48f5ace,Candace Newell,Democratic,99,lower,Candace,Newell,Female,hse099@legis.la.gov,,,,https://house.louisiana.gov/H_Reps/RepPics20/rep99.jpg,https://house.louisiana.gov/H_Reps/members.aspx?ID=99;https://house.louisiana.gov/H_Reps/members?ID=99,https://ballotpedia.org/Candace_Newell;https://en.wikipedia.org/wiki/Candace_Newell;https://house.louisiana.gov/H_Reps/H_Reps_FullInfo;https://house.louisiana.gov/H_Reps/members.aspx?ID=99;https://house.louisiana.gov/H_Reps/members?ID=99;https://www.linkedin.com/in/candace-n-newell-8456a517,,,,"New Orleans Lake Front Airport Terminal Building 6001 Stars and Stripes, Suite 149, New Orleans, LA 70126",504-240-3435,,,,,,
ocd-person/a31429da-4cde-4dbe-9510-af2dfa8ab2ed,Chad Boyer,Republican,46,lower,Chad,Boyer,Male,hse046@legis.la.gov,,,,https://house.louisiana.gov/H_Reps/RepPics/rep46.jpg,https://house.louisiana.gov/H_Reps/members?ID=46,https://ballotpedia.org/Chad_Boyer;https://en.wikipedia.org/wiki/Chad_Michael_Boyer;https://house.louisiana.gov/H_Reps/members?ID=46;https://justfacts.votesmart.org/candidate/biography/212537/chad-boyer;https://www.congressweb.com/LCUL/legislators/info/mbr_id/3336;https://www.linkedin.com/in/chad-boyer-78a57460,,,,"110 N. Main St., Breaux Bridge, LA 70517",337-332-3331,,,,,,
ocd-person/75101b55-81b9-465a-8ec6-297fa75cdd07,Chance Henry,Republican,42,lower,Chance,Henry,Male,hse042@legis.la.gov,,,,https://house.louisiana.gov/H_Reps/RepPics/rep42.jpg,https://house.louisiana.gov/H_Reps/members?ID=42,https://ballotpedia.org/Chance_Henry;https://chancehenry.com/meet-chance;https://en.wikipedia.org/wiki/Chance_Keith_Henry;https://house.louisiana.gov/H_Reps/members?ID=42;https://justfacts.votesmart.org/candidate/biography/212506/chance-henry;https://www.linkedin.com/in/chance-henry-92ab4534,,,,"563 Court House Circle, Crowley, LA 70526",337-384-8999,,,,,,
ocd-person/2a4d4c31-ee06-4f32-a67b-c55db60502e4,Chuck Owen,Republican,30,lower,Chuck,Owen,Male,hse030@legis.la.gov,,,,https://house.louisiana.gov/H_Reps/RepPics20/rep30.jpg,https://house.louisiana.gov/H_Reps/members.aspx?ID=30;https://house.louisiana.gov/H_Reps/members?ID=30,https://ballotpedia.org/Charles_(Chuck)_Owen;https://en.wikipedia.org/wiki/Charles_Owen_(politician);https://house.louisiana.gov/H_Reps/H_Reps_FullInfo;https://house.louisiana.gov/H_Reps/members.aspx?ID=30;https://house.louisiana.gov/H_Reps/members?ID=30;https://www.linkedin.com/in/chuck-owen-9015724,,,,"6673 Evans St., Rosepine, LA 70659",337-460-8726,,,,,,
