id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/c3d23eba-caa6-4d2a-bbd2-5b8b2ca184ae,Aaron Saunders,Democratic,7th Hampden,lower,Aaron,Saunders,Male,aaron.saunders@mahouse.gov,,,,https://malegislature.gov/Legislators/Profile/170/ALS1.jpg,https://malegislature.gov/Legislators/Profile/ALS1,https://ballotpedia.org/Aaron_Saunders;https://en.wikipedia.org/wiki/Aaron_Saunders;https://justfacts.votesmart.org/candidate/biography/154132/aaron-saunders;https://malegislature.gov/api/GeneralCourts/193/LegislativeMembers;https://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/;https://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/ALS1;https://malegislature.gov/Legislators/Profile/ALS1;https://www.linkedin.com/in/a-saunders-,,,,,,,,,,,
ocd-person/4183f327-e2a6-4b1a-9d23-161da1b5e261,Aaron Michlewitz,Democratic,3rd Suffolk,lower,Aaron,Michlewitz,Male,aaron.m.michlewitz@mahouse.gov,,1978-06-07,,https://malegislature.gov/Legislators/Profile/170/AMM1.jpg,https://malegislature.gov/Legislators/Profile/AMM1,https://ballotpedia.org/Aaron_Michlewitz;https://en.wikipedia.org/wiki/Aaron_Michlewitz;https://justfacts.votesmart.org/candidate/biography/115768/aaron-michlewitz;https://malegislature.gov/api/GeneralCourts/192/LegislativeMembers;https://malegislature.gov/api/GeneralCourts/192/LegislativeMembers/;https://malegislature.gov/api/GeneralCourts/192/LegislativeMembers/AMM1;https://malegislature.gov/api/GeneralCourts/193/LegislativeMembers;https://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/;https://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/AMM1;https://malegislature.gov/Legislators/Profile/AMM1;https://www.linkedin.com/in/aaron-michlewitz-4a74177,,,,,,,,,,,
ocd-person/d2a82a0d-fbd1-4448-be2d-b786a7e11168,Adam Gómez,Democratic,Hampden,upper,Adam,Gómez,Male,adam.gomez@masenate.gov,,,,https://malegislature.gov/Legislators/Profile/170/A_G0.jpg,https://malegislature.gov/Legislators/Profile/A_G0,https://adamgomezma.com;https://ballotpedia.org/Adam_Gomez;https://en.wikipedia.org/wiki/Adam_Gomez;https://justfacts.votesmart.org/candidate/194698/adam-gomez;https://justfacts.votesmart.org/candidate/biography/194698/adam-gomez;https://malegislature.gov/api/GeneralCourts/192/LegislativeMembers;https://malegislature.gov/api/GeneralCourts/192/LegislativeMembers/;https://malegislature.gov/api/GeneralCourts/192/LegislativeMembers/A_G0;https://malegislature.gov/api/GeneralCourts/193/LegislativeMembers;https://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/;https://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/A_G0;https://malegislature.gov/Legislators/Profile/A_G0;https://www.linkedin.com/in/adam-gomez-sr-2a5770b4;https://www.linkedin.com/in/adamgomezsr,,,,,,,,,,,
ocd-person/804c5518-7fdf-43c9-ba24-f2c24eb3b0ab,Adam Scanlon,Democratic,14th Bristol,lower,Adam,Scanlon,Male,adam.scanlon@mahouse.gov,,,,https://malegislature.gov/Legislators/Profile/170/AJS1.jpg,https://malegislature.gov/Legislators/Profile/AJS1,https://ballotpedia.org/Adam_Scanlon;https://en.wikipedia.org/wiki/Adam_Scanlon;https://malegislature.gov/api/GeneralCourts/192/LegislativeMembers;https://malegislature.gov/api/GeneralCourts/192/LegislativeMembers/;https://malegislature.gov/api/GeneralCourts/192/LegislativeMembers/AJS1;https://malegislature.gov/api/GeneralCourts/193/LegislativeMembers;https://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/;https://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/AJS1;https://malegislature.gov/Legislators/Profile/AJS1,,,,,,,,,,,
ocd-person/f8772f1e-29f7-42e2-8a8c-ab4005153b05,Adrian Madaro,Democratic,1st Suffolk,lower,Adrian,Madaro,Male,adrian.madaro@mahouse.gov,,1988-11-02,,https://malegislature.gov/Legislators/Profile/170/ACM1.jpg,https://malegislature.gov/Legislators/Profile/ACM1,https://ballotpedia.org/Adrian_Madaro;https://en.wikipedia.org/wiki/Adrian_Madaro;https://justfacts.votesmart.org/candidate/biography/156167/adrian-madaro;https://malegislature.gov/api/GeneralCourts/192/LegislativeMembers;https://malegislature.gov/api/GeneralCourts/192/LegislativeMembers/;https://malegislature.gov/api/GeneralCourts/192/LegislativeMembers/ACM1;https://malegislature.gov/api/GeneralCourts/193/LegislativeMembers;https://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/;https://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/ACM1;https://malegislature.gov/Legislators/Profile/ACM1;https://www.linkedin.com/in/adrian-madaro-92421684,,,,,,,,,,,
ocd-person/300d40b3-9479-43c0-99d3-18f94e1110cc,Adrianne Ramos,Democratic,14th Essex,lower,Adrianne,Ramos,Female,adrianne.ramos@mahouse.gov,,,,https://malegislature.gov/Legislators/Profile/170/APR1.jpg,https://malegislature.gov/Legislators/Profile/APR1,https://ballotpedia.org/Adrianne_Ramos;https://en.wikipedia.org/wiki/Adrianne_Ramos;https://justfacts.votesmart.org/candidate/biography/209566/adrianne-ramos;https://malegislature.gov/api/GeneralCourts/193/LegislativeMembers;https://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/;https://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/APR1;https://malegislature.gov/Legislators/Profile/APR1;https://princelobel.com/professional/adrianne-ramos;https://www.linkedin.com/in/adrianne-ramos,,,,,,,,,,,
ocd-person/6e81dcb7-4a04-4a88-b5f2-728a3336cf9d,Alan Silvia,Democratic,7th Bristol,lower,Alan,Silvia,Male,alan.silvia@mahouse.gov,,1951-10-11,,https://malegislature.gov/Legislators/Profile/170/A_S1.jpg,https://malegislature.gov/Legislators/Profile/A_S1,https://ballotpedia.org/Alan_Silvia;https://en.wikipedia.org/wiki/Alan_Silvia;https://justfacts.votesmart.org/candidate/biography/124984/alan-silvia;https://malegislature.gov/api/GeneralCourts/192/LegislativeMembers;https://malegislature.gov/api/GeneralCourts/192/LegislativeMembers/;https://malegislature.gov/api/GeneralCourts/192/LegislativeMembers/A_S1;https://malegislature.gov/api/GeneralCourts/193/LegislativeMembers;https://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/;https://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/A_S1;https://malegislature.gov/Legislators/Profile/A_S1;https://www.linkedin.com/in/alan-silvia-97b5ba18,,,,"Room 237, 1 Government Center, Fall River, MA 02723",774-526-1122,,,,,,
ocd-person/2a9569a0-feaf-431d-8a8d-012d8ebccbf8,Alice Peisch,Democratic,14th Norfolk,lower,Alice,Peisch,Female,alice.peisch@mahouse.gov,,1954-10-04,,https://malegislature.gov/Legislators/Profile/170/AHP1.jpg,https://malegislature.gov/Legislators/Profile/AHP1;https://www.alicepeisch.org,https://ballotpedia.org/Alice_Peisch;https://en.wikipedia.org/wiki/Alice_Peisch;https://justfacts.votesmart.org/candidate/biography/35864/alice-peisch;https://malegislature.gov/api/GeneralCourts/192/LegislativeMembers;https://malegislature.gov/api/GeneralCourts/192/LegislativeMembers/;https://malegislature.gov/api/GeneralCourts/192/LegislativeMembers/AHP1;https://malegislature.gov/api/GeneralCourts/193/LegislativeMembers;https://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/;https://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/AHP1;https://malegislature.gov/Legislators/Profile/AHP1;https://www.alicepeisch.org;https://www.linkedin.com/in/alice-peisch-0311038,,,,,,,,,,,
ocd-person/bed31f9a-e759-41a5-80b6-8b6bb9a64762,Alyson Sullivan-Almeida,Republican,7th Plymouth,lower,Alyson,Sullivan-Almeida,Female,alyson.sullivan@mahouse.gov,,1988-02-07,,https://malegislature.gov/Legislators/Profile/170/AMS2.jpg,https://malegislature.gov/Legislators/Profile/AMS2,https://ballotpedia.org/Alyson_Sullivan;https://en.wikipedia.org/wiki/Alyson_Sullivan;https://justfacts.votesmart.org/candidate/biography/184824/alyson-sullivan;https://malegislature.gov/api/GeneralCourts/192/LegislativeMembers;https://malegislature.gov/api/GeneralCourts/192/LegislativeMembers/;https://malegislature.gov/api/GeneralCourts/192/LegislativeMembers/AMS2;https://malegislature.gov/api/GeneralCourts/193/LegislativeMembers;https://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/;https://malegislature.gov/api/GeneralCourts/193/LegislativeMembers/AMS2;https://malegislature.gov/Legislators/Profile/AMS2;https://www.linkedin.com/in/alyson-sullivan-441480112;https://www.linkedin.com/in/alyson-sullivan-almeida-441480112,,,,,,,,,,,
ocd-person/adb7ebb2-480f-4215-859e-3a1194e9a598,Amy Sangiolo,Democratic,11th Middlesex,lower,Amy,Sangiolo,Female,amy.sangiolo@mahouse.gov,,,,https://malegislature.gov/Legislators/Profile/170/AMS3.jpg,https://malegislature.gov/Legislators/Profile/AMS3,https://ballotpedia.org/Amy_Sangiolo;https://en.wikipedia.org/wiki/Amy_Mah_Sangiolo;https://justfacts.votesmart.org/candidate/biography/78003/amy-mah-sangiolo;https://malegislature.gov/Legislators/Profile/AMS3;https://www.linkedin.com/in/amymahsangiolo,,,,,,,,,,,
