id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/5037901c-64bd-472c-a440-a440841cbb13,Aaron Kaufman,Democratic,18,lower,Aaron,Kaufman,Male,aaron.kaufman@house.maryland.gov,,1987-02-15,,https://mgaleg.maryland.gov/2023RS/images/kaufman01.jpg,https://mgaleg.maryland.gov/mgawebsite/Members/Details/kaufman01,https://ballotpedia.org/Aaron_Kaufman;https://en.wikipedia.org/wiki/Aaron_Kaufman_(politician);https://mgaleg.maryland.gov/mgawebsite/Members/Details/kaufman01;https://www.linkedin.com/in/aaron-kaufman-b9399150,,,,,,,,,,,
ocd-person/a1a2b050-266e-4d44-9463-be3a02e16e41,Adrian Boafo,Democratic,23,lower,Adrian,Boafo,Male,adrian.boafo@house.maryland.gov,,1994-05-10,,https://mgaleg.maryland.gov/2026RS/images/boafo01.jpg,https://mgaleg.maryland.gov/mgawebsite/Members/Details/boafo01;https://msa.maryland.gov/msa/mdmanual/06hse/html/msa18393.html,https://ballotpedia.org/Adrian_Boafo;https://en.wikipedia.org/wiki/Adrian_Boafo;https://justfacts.votesmart.org/candidate/198705/adrian-boafo;https://mgaleg.maryland.gov/mgawebsite/Members/Details/boafo01;https://msa.maryland.gov/msa/mdmanual/06hse/html/msa18393.html;https://www.linkedin.com/in/adrian-boafo,,,,,,,,,,,
ocd-person/4bf0680f-fd5c-48a1-b6d3-73672f71048a,Adrienne Jones,Democratic,10,lower,Adrienne,Jones,Female,adrienne.jones@house.maryland.gov,,1954-11-20,,http://mgaleg.maryland.gov/2019RS/images/jones.jpg,https://mgaleg.maryland.gov/mgawebsite/Members/Details/jones;https://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=jones&stab=01;https://msa.maryland.gov/msa/mdmanual/06hse/html/msa02630.html;https://www.mdspeakerjones.com/,https://ballotpedia.org/Adrienne_Jones;https://en.wikipedia.org/wiki/Adrienne_A._Jones;https://justfacts.votesmart.org/candidate/biography/2029/adrienne-jones;https://mgaleg.maryland.gov/mgawebsite/Members/Details/jones;https://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=jones&stab=01;https://msa.maryland.gov/msa/mdmanual/06hse/html/msa02630.html;https://www.linkedin.com/in/adrienne-jones-b8331259;https://www.mdspeakerjones.com,,,,"2 W. Rolling Crossroads Suite 112, Catonsville, MD 21228",410-455-5330,,,,,,
ocd-person/311ecab9-74b4-4c0f-849b-c077dfbb291f,Aletheia McCaskill,Democratic,44B,lower,Aletheia,McCaskill,Female,aletheia.mccaskill@house.maryland.gov,,1971-09-30,,https://mgaleg.maryland.gov/2023RS/images/mccaskill01.jpg,https://mgaleg.maryland.gov/mgawebsite/Members/Details/mccaskill01,https://ballotpedia.org/Aletheia_McCaskill;https://en.wikipedia.org/wiki/Aletheia_McCaskill;https://justfacts.votesmart.org/candidate/181455/aletheia-mccaskill;https://mgaleg.maryland.gov/mgawebsite/Members/Details/mccaskill01,,,,,,,,,,,
ocd-person/0ddc9257-e4a4-4414-b21d-3467c8285806,Alonzo Washington,Democratic,22,upper,Alonzo,Washington,Male,alonzo.washington@senate.maryland.gov,,1983-09-02,,https://mgaleg.maryland.gov/2023RS/images/washington02.jpg,https://mgaleg.maryland.gov/mgawebsite/Members/Details/washington%20a;https://mgaleg.maryland.gov/mgawebsite/Members/Details/washington02;https://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=washington%20a&stab=01;https://msa.maryland.gov/msa/mdmanual/05sen/html/msa16423.html;https://msa.maryland.gov/msa/mdmanual/06hse/html/msa16423.html,https://ballotpedia.org/Alonzo_Washington;https://en.wikipedia.org/wiki/Alonzo_T._Washington;https://justfacts.votesmart.org/candidate/biography/144463/alonzo-washington;https://mgaleg.maryland.gov/mgawebsite/Members/Details/washington%20a;https://mgaleg.maryland.gov/mgawebsite/Members/Details/washington02;https://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=washington%20a&stab=01;https://msa.maryland.gov/msa/mdmanual/05sen/html/msa16423.html;https://msa.maryland.gov/msa/mdmanual/06hse/html/msa16423.html;https://www.linkedin.com/in/alonzo-washington-02869a18,,,,,,,,,,,
ocd-person/ecb19095-2750-4bef-bb87-1f646818a9b1,Andre Johnson,Democratic,34A,lower,Andre,Johnson,Male,andre.johnson@house.maryland.gov,,1971-06-19,,https://msa.maryland.gov/msa/mdmanual/36loc/ha/leg/images/1198-1-09406b.jpg,https://mgaleg.maryland.gov/mgawebsite/Members/Details/johnson02;https://msa.maryland.gov/msa/mdmanual/06hse/html/msa17954.html,https://ballotpedia.org/Andre_Johnson;https://en.wikipedia.org/wiki/Andre_Johnson_Jr.;https://mgaleg.maryland.gov/mgawebsite/Members/Details/johnson02;https://msa.maryland.gov/msa/mdmanual/06hse/html/msa17954.html;https://www.linkedin.com/in/andre-johnson-5a2910191,,,,,,,,,,,
ocd-person/7636786f-1db3-4094-8527-e339576314d6,Andrea Harrison,Democratic,24,lower,Andrea,Harrison,Female,andreafletcher.harrison@house.maryland.gov,,1963-09-20,,http://mgaleg.maryland.gov/2019RS/images/harrison01.jpg,https://mgaleg.maryland.gov/mgawebsite/Members/Details/harrison01;https://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=harrison01&stab=01,https://ballotpedia.org/Andrea_Harrison;https://en.wikipedia.org/wiki/Andrea_Harrison;https://mgaleg.maryland.gov/mgawebsite/Members/Details/harrison01;https://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=harrison01&stab=01;https://www.linkedin.com/in/andrea-harrison-5a5059135,,,,,,,,,,,
ocd-person/7c57193f-f7af-4f7b-9b5f-cf17a7f51f25,Andrew Pruski,Democratic,33A,lower,Andrew,Pruski,Male,andrew.pruski@house.maryland.gov,,1978-11-11,,https://mgaleg.maryland.gov/2023RS/images/pruski01.jpg,https://mgaleg.maryland.gov/mgawebsite/Members/Details/pruski01,https://ballotpedia.org/Andrew_Pruski;https://en.wikipedia.org/wiki/Andrew_Pruski;https://justfacts.votesmart.org/candidate/biography/159409/andrew-pruski;https://mgaleg.maryland.gov/mgawebsite/Members/Details/pruski01;https://www.linkedin.com/in/andrew-pruski-3521a56,,,,,,,,,,,
ocd-person/7bcb723d-68c2-4826-acab-0437aa27471f,Anne Healey,Democratic,22,lower,Anne,Healey,Female,anne.healey@house.maryland.gov,,1951-01-02,,https://mgaleg.maryland.gov/2025RS/images/healey.jpg,https://mgaleg.maryland.gov/mgawebsite/Members/Details/healey;https://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=healey&stab=01;https://msa.maryland.gov/msa/mdmanual/06hse/html/msa12238.html,https://ballotpedia.org/Anne_Healey;https://en.wikipedia.org/wiki/Anne_Healey;https://justfacts.votesmart.org/candidate/biography/6158/anne-healey;https://mgaleg.maryland.gov/mgawebsite/Members/Details/healey;https://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=healey&stab=01;https://msa.maryland.gov/msa/mdmanual/06hse/html/msa12238.html,,,,,,,,,,,
ocd-person/88aa2d42-9bca-4df7-b961-1516d5c1f73a,Anne Kaiser,Democratic,14,lower,Anne,Kaiser,Female,anne.kaiser@house.maryland.gov,,1968-02-10,,http://mgaleg.maryland.gov/2016RS/images/kaiser.jpg,https://mgaleg.maryland.gov/mgawebsite/Members/Details/kaiser;https://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=kaiser&stab=01;https://msa.maryland.gov/msa/mdmanual/06hse/html/msa13987.html,https://ballotpedia.org/Anne_Kaiser;https://en.wikipedia.org/wiki/Anne_Kaiser;https://justfacts.votesmart.org/candidate/biography/36115/anne-kaiser;https://mgaleg.maryland.gov/mgawebsite/Members/Details/kaiser;https://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=kaiser&stab=01;https://msa.maryland.gov/msa/mdmanual/06hse/html/msa13987.html;https://www.linkedin.com/in/anne-kaiser-17b540,,,,,,,,,,,
