id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/906cd606-c6ff-41e5-87a6-e038b711fa61,Aaron Dana,Independent,Passamaquoddy Tribe,lower,Aaron,Dana,Male,aaron.dana@legislature.maine.gov,,,,https://legislature.maine.gov/house/house/Repository/MemberProfiles/27852f04-e612-46a5-9727-1bbd1d5e48e0_DANA.jpg,https://legislature.maine.gov/house/house/MemberProfiles/Details/1507,https://en.wikipedia.org/wiki/Aaron_M._Dana;https://legislature.maine.gov/house/house/MemberProfiles/Details/1507;https://www.linkedin.com/in/aaron-dana-77810185,,,,,,,,,,,
ocd-person/b6cdaab7-6aec-4c65-a239-e18c6e839fbc,Abden Simmons,Republican,45,lower,Abden,Simmons,Male,abden.simmons@legislature.maine.gov,,,,https://legislature.maine.gov/house/house/Repository/MemberProfiles/75e9b804-f745-4f44-9817-146eb1a8c378_simmas[1].jpg,https://legislature.maine.gov/house/house/MemberProfiles/Details/144;https://mainehousegop.org/members/simmons-abden/;https://www.maine.gov/legis/house/hsebios/simmas.htm,https://ballotpedia.org/Abden_Simmons;https://en.wikipedia.org/wiki/Abden_Simmons;https://legislature.maine.gov/house/house/MemberProfiles/Details/144;https://legislature.maine.gov/house/house/MemberProfiles/ListAlpha;https://mainehousegop.org/members/simmons-abden;https://www.maine.gov/legis/house/hsebios/simmas.htm,,,,,,,,,,,
ocd-person/513edd6e-0d85-4ad6-8852-577cd5c0ee02,Abigail Griffin,Republican,34,lower,Abigail,Griffin,Female,abigail.griffin@legislature.maine.gov,,,,https://legislature.maine.gov/house/house/Repository/MemberProfiles/fa129957-8083-482b-93f5-318d0cfc0718_griffin.jpg,https://legislature.maine.gov/house/house/MemberProfiles/Details/1369;https://mainehousegop.org/members/griffin-abigail/,https://ballotpedia.org/Abigail_Griffin;https://justfacts.votesmart.org/candidate/biography/181260/abigail-griffin;https://legislature.maine.gov/house/house/MemberProfiles/Details/1369;https://legislature.maine.gov/house/house/MemberProfiles/ListAlpha;https://mainehousegop.org/members/griffin-abigail,,,,,,,,,,,
ocd-person/dff0e200-fd8c-4ada-ac3d-e014a529dd59,Adam Lee,Democratic,89,lower,Adam,Lee,Male,adam.lee@legislature.maine.gov,,,,https://legislature.maine.gov/house/house/Repository/MemberProfiles/cc770c67-4f1f-4e24-a168-4a359d33b108_ALEE.jpg,https://legislature.maine.gov/house/house/MemberProfiles/Details/1491;https://legislature.maine.gov/housedems/lee;https://legislature.maine.gov/housedems/lee/index.html;https://www.maine.gov/housedems/lee,https://ballotpedia.org/Adam_Lee;https://legislature.maine.gov/house/house/MemberProfiles/Details/1491;https://legislature.maine.gov/house/house/MemberProfiles/ListAlpha;https://legislature.maine.gov/housedems/lee;https://legislature.maine.gov/housedems/lee/index.html;https://tmbf-law.com/adam-r-lee;https://www.linkedin.com/in/adam-r-lee-57901216;https://www.maine.gov/housedems/lee,,,,,,,,,,,
ocd-person/4bc2b129-52c1-4dfd-99af-dd38f620183a,Alicia Collins,Republican,61,lower,Alicia,Collins,Female,alicia.collins@legislature.maine.gov,,,,https://aliciaformaine.com/images/d8140e2917dbb338d1ef9980ee0d0557.png,https://legislature.maine.gov/house/house/MemberProfiles/Details/3119,https://ballotpedia.org/Alicia_Collins_(Maine);https://en.wikipedia.org/wiki/Alicia_Collins;https://legislature.maine.gov/house/house/MemberProfiles/Details/3119,,,,,,,,,,,
ocd-person/82b51bea-5f96-46d6-bbcf-4d973f701b27,Allison Hepler,Democratic,49,lower,Allison,Hepler,Female,allison.hepler@legislature.maine.gov,,,,https://legislature.maine.gov/house/house/Repository/MemberProfiles/a75da791-060e-45cd-b1bd-95bc7c00c6e8_hepler.jpg,https://legislature.maine.gov/house/house/MemberProfiles/Details/1353,https://ballotpedia.org/Allison_Hepler;https://justfacts.votesmart.org/candidate/biography/170132/allison-hepler;https://legislature.maine.gov/house/house/MemberProfiles/Details/1353;https://legislature.maine.gov/house/house/MemberProfiles/ListAlpha;https://www.linkedin.com/in/allison-hepler-989b09115,,,,,,,,,,,
ocd-person/1e7a6a8f-7160-4bee-80d1-b1dc47b3db4f,Amanda Collamore,Republican,68,lower,Amanda,Collamore,Female,amanda.collamore@legislature.maine.gov,,,,https://legislature.maine.gov/house/house/Repository/MemberProfiles/24f65326-81e9-48f3-a7cc-a5dc8e7d74e6_Collamore.jpg,https://legislature.maine.gov/house/house/MemberProfiles/Details/1432;https://mainehousegop.org/members/collamore-amanda/,https://ballotpedia.org/Amanda_Collamore;https://en.wikipedia.org/wiki/Amanda_Collamore;https://justfacts.votesmart.org/candidate/biography/192608/amanda-collamore;https://legislature.maine.gov/house/house/MemberProfiles/Details/1432;https://legislature.maine.gov/house/house/MemberProfiles/ListAlpha;https://mainehousegop.org/members/collamore-amanda;https://www.linkedin.com/in/amanda-collamore-191a32b6,,,,,,,,,,,
ocd-person/8f61f208-cf99-489a-aa36-847438b0ed60,Ambureen Rana,Democratic,21,lower,Ambureen,Rana,X,ambureen.rana@legislature.maine.gov,,,,https://legislature.maine.gov/house/house/Repository/MemberProfiles/1f89f046-4256-4341-9236-68c67e6efd77_ARANA.jpg,http://www.maine.gov/housedems/rana;https://legislature.maine.gov/house/house/MemberProfiles/Details/1464,http://www.maine.gov/housedems/rana;https://ballotpedia.org/Ambureen_Rana;https://en.wikipedia.org/wiki/Ambureen_Rana;https://justfacts.votesmart.org/candidate/biography/181257/ambureen-rana;https://legislature.maine.gov/house/house/MemberProfiles/Details/1464;https://legislature.maine.gov/house/house/MemberProfiles/ListAlpha;https://rana.mainecandidate.com;https://www.congressweb.com/aam/legislators/info/mbr_id/3454;https://www.linkedin.com/in/ambureen-rana-93586a64,,,,,,,,,,,
ocd-person/20082672-8aa7-4d49-bad7-fe5a92d1720d,Amy Arata,Republican,104,lower,Amy,Arata,Female,amy.arata@legislature.maine.gov,,,,https://legislature.maine.gov/house/house/Repository/MemberProfiles/73657768-20f5-4692-8934-16f6b9a3cacd_arata.jpg,https://legislature.maine.gov/house/house/MemberProfiles/Details/1356;https://mainehousegop.org/members/arata-amy/,https://ballotpedia.org/Amy_Arata;https://en.wikipedia.org/wiki/Amy_Arata;https://justfacts.votesmart.org/candidate/biography/176845/amy-arata;https://legislature.maine.gov/house/house/MemberProfiles/Details/1356;https://legislature.maine.gov/house/house/MemberProfiles/ListAlpha;https://mainehousegop.org/members/arata-amy;https://www.linkedin.com/in/amy-arata-a76b8340,,,,,,,,,,,
ocd-person/d9825f86-280b-4b70-9a6e-2bb7f02e239a,Amy Kuhn,Democratic,111,lower,Amy,Kuhn,Female,amy.kuhn@legislature.maine.gov,,,,https://legislature.maine.gov/house/house/Repository/MemberProfiles/a99f9866-50ae-4e3a-8eee-10a3e0d00dce_AKUHN.jpg,https://legislature.maine.gov/house/house/MemberProfiles/Details/1474;https://legislature.maine.gov/housedems/kuhn;https://legislature.maine.gov/housedems/kuhn/index.html;https://www.maine.gov/housedems/kuhn,https://ballotpedia.org/Amy_Kuhn;https://en.wikipedia.org/wiki/Amy_Kuhn;https://legislature.maine.gov/house/house/MemberProfiles/Details/1474;https://legislature.maine.gov/house/house/MemberProfiles/ListAlpha;https://legislature.maine.gov/housedems/kuhn;https://legislature.maine.gov/housedems/kuhn/index.html;https://www.falmouthme.org/people/amy-kuhn;https://www.linkedin.com/in/amy-donovan-kuhn-847bb149;https://www.maine.gov/housedems/kuhn,,,,,,,,,,,
ocd-person/42c79801-802e-4f3d-8917-f3f956766e50,Amy Roeder,Democratic,23,lower,Amy,Roeder,Female,amy.roeder@legislature.maine.gov,,,,https://legislature.maine.gov/house/house/Repository/MemberProfiles/3265b5dc-e744-46e5-8ff5-317b5e4842ae_RoederNEW.jpg,https://legislature.maine.gov/house/house/MemberProfiles/Details/1437;https://legislature.maine.gov/housedems/roedera/index.html;https://www.maine.gov/housedems/roedera,https://ballotpedia.org/Amy_Roeder;https://en.wikipedia.org/wiki/Amy_Roeder;https://legislature.maine.gov/house/house/MemberProfiles/Details/1437;https://legislature.maine.gov/house/house/MemberProfiles/ListAlpha;https://legislature.maine.gov/housedems/roedera/index.html;https://www.linkedin.com/in/amyroeder;https://www.maine.gov/housedems/roedera,,,,,,,,,,,
