id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/09493dc0-a224-4cf6-a859-1384ffeda8a0,Aisha Gomez,Democratic-Farmer-Labor,62A,lower,Aisha,Gomez,Female,rep.aisha.gomez@house.mn.gov,,1981-07-22,,https://www.house.mn.gov/hinfo/memberimgls94/62A.gif?v=112221,https://www.house.mn.gov/members/profile/15531,https://ballotpedia.org/Aisha_Gomez;https://en.wikipedia.org/wiki/Aisha_Gomez;https://justfacts.votesmart.org/candidate/biography/183855/aisha-gomez;https://www.house.leg.state.mn.us/members/hmem.asp;https://www.house.mn.gov/members/profile/15531;https://www.linkedin.com/in/aisha-gomez-7011bb4a,,,,,,,,,,,
ocd-person/1a50d8e6-64c4-4c8f-87ee-dedde17c1c2c,Alex Falconer,Democratic-Farmer-Labor,49A,lower,Alex,Falconer,Male,rep.alex.falconer@house.mn.gov,,1980-08-30,,https://www.house.mn.gov/hinfo/memberimgls94/49A.gif?v=112221,https://www.house.mn.gov/members/profile/15630,https://ballotpedia.org/Alex_Falconer;https://en.wikipedia.org/wiki/Alex_Falconer_(American_politician);https://justfacts.votesmart.org/candidate/218820/alex-falconer;https://www.house.mn.gov/members/profile/15630;https://www.linkedin.com/in/alexanderfalconer,,,,,,,,,,,
ocd-person/c5f2a744-0a3e-481f-9224-e4d5a58b9c9d,Alice Mann,Democratic-Farmer-Labor,50,upper,Alice,Mann,Female,sen.alice.mann@senate.mn,,,,https://www.senate.mn/graphics/50Mann.jpg,https://www.senate.mn/members/member_bio.html?mem_id=1270,https://ballotpedia.org/Alice_Mann;https://en.wikipedia.org/wiki/Alice_Mann_(politician);https://justfacts.votesmart.org/candidate/biography/183826/alice-mann;https://www.senate.mn/api/members;https://www.senate.mn/members/member_bio.html?mem_id=1270,,,,,,,,,,,
ocd-person/5604b347-d9b5-40b6-844d-8bc5246283d3,Liish Kozlowski,Democratic-Farmer-Labor,8B,lower,Liish,Kozlowski,X,rep.alicia.kozlowski@house.mn.gov,,1988-01-12,,https://www.house.mn.gov/hinfo/memberimgls94/08B.gif?v=112221,https://www.house.mn.gov/members/profile/15595,https://ballotpedia.org/Alicia_Kozlowski;https://en.wikipedia.org/wiki/Alicia_Kozlowski;https://justfacts.votesmart.org/candidate/207774/liish-kozlowski;https://www.house.leg.state.mn.us/members/hmem.asp;https://www.house.mn.gov/members/profile/15595;https://www.linkedin.com/in/aliciakozlowski,,,,,,,,,,,
ocd-person/8300aa36-f818-4ae8-ad31-f9373e396e08,Amanda Hemmingsen-Jaeger,Democratic-Farmer-Labor,47,upper,Amanda,Hemmingsen-Jaeger,Female,sen.amanda.hemmingsen.jaeger@mnsenate.gov,,,,https://www.senate.mn/graphics/47Hemmingsen-Jaeger.jpg,https://www.house.mn.gov/members/profile/15620;https://www.senate.mn/members/member_bio.html?mem_id=1278,https://ballotpedia.org/Amanda_Hemmingsen-Jaeger;https://en.wikipedia.org/wiki/Amanda_Hemmingsen-Jaeger;https://justfacts.votesmart.org/candidate/biography/208047/amanda-hemmingsen-jaeger;https://www.house.leg.state.mn.us/members/hmem.asp;https://www.house.mn.gov/members/profile/15620;https://www.linkedin.com/in/amanda-hemmingsen-jaeger-b881a067;https://www.senate.mn/members/member_bio.html?mem_id=1278,,,,,,,,,,,
ocd-person/aabdca28-85ec-41e4-be90-726acaaa0cff,Andrew Mathews,Republican,27,upper,Andrew,Mathews,Male,sen.andrew.mathews@senate.mn,,,,https://www.senate.mn/graphics/15Mathews.jpg,https://www.senate.mn/members/member_bio.html?mem_id=1222,https://ballotpedia.org/Andrew_Mathews;https://en.wikipedia.org/wiki/Andrew_Mathews_(politician);https://justfacts.votesmart.org/candidate/biography/171355/andrew-mathews;https://www.linkedin.com/in/andrew-mathews-37619919;https://www.senate.mn/api/members;https://www.senate.mn/members/index.php;https://www.senate.mn/members/list.csv;https://www.senate.mn/members/member_bio.html?mem_id=1222,,,,,,,,,,,
ocd-person/bba68b5b-90ac-4465-bdd2-fdf23c33b87a,Andrew Myers,Republican,45A,lower,Andrew,Myers,Male,rep.andrew.myers@house.mn.gov,,1979-05-18,,https://www.house.mn.gov/hinfo/memberimgls94/45A.gif?v=112221,https://www.house.mn.gov/members/profile/15618,https://ballotpedia.org/Andrew_Myers;https://ballotpedia.org/Andrew_Myers_(Minnesota);https://en.wikipedia.org/wiki/Andrew_Myers_(Minnesota_politician);https://justfacts.votesmart.org/candidate/biography/194131/andrew-myers;https://www.house.leg.state.mn.us/members/hmem.asp;https://www.house.mn.gov/members/profile/15618;https://www.linkedin.com/in/andrew-myers-ab33a87,,,,,,,,,,,
ocd-person/3e1cd4f3-2c37-4531-b2cb-ca875c82d773,Andrew Lang,Republican,16,upper,Andrew,Lang,Male,sen.andrew.lang@senate.mn,,,,https://www.senate.mn/graphics/16Lang.jpg,https://www.senate.mn/members/member_bio.html?mem_id=1223,https://ballotpedia.org/Andrew_Lang;https://en.wikipedia.org/wiki/Andrew_Lang_(Minnesota_politician);https://justfacts.votesmart.org/candidate/biography/171360/andrew-lang;https://www.senate.mn/api/members;https://www.senate.mn/members/index.php;https://www.senate.mn/members/list.csv;https://www.senate.mn/members/member_bio.html?mem_id=1223,,,,,,,,,,,
ocd-person/41cf59c9-a2c3-442d-85f1-7d6ec8de1a97,Andy Smith,Democratic-Farmer-Labor,25B,lower,Andy,Smith,Male,rep.andy.smith@house.mn.gov,,1991-05-24,,https://www.house.mn.gov/hinfo/memberimgls94/25B.gif?v=112221,https://www.house.mn.gov/members/profile/15606,https://ballotpedia.org/Andrew_Smith_(Minnesota_House_District_25B_candidate);https://ballotpedia.org/Andy_Smith_(Minnesota);https://en.wikipedia.org/wiki/Andy_Smith_(Minnesota_politician);https://justfacts.votesmart.org/candidate/biography/208017/andrew-smith;https://www.house.leg.state.mn.us/members/hmem.asp;https://www.house.mn.gov/members/profile/15606,,,,,,,,,,,
ocd-person/ec588921-873b-4335-8fa1-2e3485008d3e,Ann Rest,Democratic-Farmer-Labor,43,upper,Ann,Rest,Female,sen.ann.rest@senate.mn,,1942-04-24,,https://www.senate.mn/graphics/43Rest.jpg,https://www.senate.mn/members/member_bio.html?mem_id=1051,https://ballotpedia.org/Ann_Rest;https://en.wikipedia.org/wiki/Ann_Rest;https://justfacts.votesmart.org/candidate/biography/3841/ann-rest;https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwiH-o_buqH8AhVcDkQIHf27BTUQFnoECBwQAQ&url=https%3A%2F%2Fwww.lrl.mn.gov%2Flegdb%2Ffulldetail%3Fid%3D10558&usg=AOvVaw1C1mauRjiid2O4kS3-BNW-;https://www.linkedin.com/in/ann-rest-02760516;https://www.senate.mn/api/members;https://www.senate.mn/members/index.php;https://www.senate.mn/members/list.csv;https://www.senate.mn/members/member_bio.html?mem_id=1051,,,,,,,,,,,
