id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/ba6eb394-0402-49ba-9917-c5618d8a1589,Aaron Crossley,Democratic,29,lower,Aaron,Crossley,Male,aaron.crossley@house.mo.gov,,,,https://house.mo.gov/MemberPhoto.aspx?id=2366,https://house.mo.gov/MemberDetails.aspx?district=29;https://house.mo.gov/MemberDetails.aspx?year=2023&code=R&district=029;https://house.mo.gov/MemberDetails.aspx?year=2023&code=R&district=29,https://ballotpedia.org/Aaron_Crossley;https://en.wikipedia.org/wiki/Aaron_Crossley;https://house.mo.gov/memberdetails.aspx?district=029;https://house.mo.gov/MemberDetails.aspx?district=29;https://house.mo.gov/MemberDetails.aspx?year=2023&code=R&district=029;https://house.mo.gov/MemberDetails.aspx?year=2023&code=R&district=29;https://justfacts.votesmart.org/candidate/biography/205695/aaron-crossley;https://www.linkedin.com/in/aaron-crossley,,,,,,,,,,,
ocd-person/f436aa10-c006-4128-9748-050bf50c4e21,Adam Schnelting,Republican,23,upper,Adam,Schnelting,Male,adam.schnelting@senate.mo.gov,,,,https://house.mo.gov/MemberPhoto.aspx?id=2087,https://house.mo.gov/MemberDetails.aspx?district=069;https://house.mo.gov/MemberDetails.aspx?year=2021&code=R&district=104;https://house.mo.gov/MemberDetails.aspx?year=2023&code=R&district=069;https://www.house.mo.gov/MemberDetails.aspx?district=104;https://www.senate.mo.gov/Senators/Member/23;https://www.senate.mo.gov/Senators/Member?id=6375,https://ballotpedia.org/Adam_Schnelting;https://en.wikipedia.org/wiki/Adam_Schnelting;https://house.mo.gov/MemberDetails.aspx?district=069;https://house.mo.gov/MemberDetails.aspx?year=2021&code=R&district=104;https://house.mo.gov/MemberDetails.aspx?year=2023&code=R&district=069;https://house.mo.gov/MemberGridCluster.aspx;https://justfacts.votesmart.org/candidate/biography/169769/adam-schnelting;https://www.house.mo.gov/MemberDetails.aspx?district=104;https://www.senate.mo.gov/Senators/Member/23;https://www.senate.mo.gov/Senators/Member?id=6375,,,,,,,,,,,
ocd-person/f2e657d5-999a-4d77-98e3-b06a7c3771f4,Adrian Plank,Democratic,47,lower,Adrian,Plank,Male,adrian.plank@house.mo.gov,,,,https://house.mo.gov/MemberPhoto.aspx?id=2395,https://house.mo.gov/MemberDetails.aspx?district=047;https://house.mo.gov/MemberDetails.aspx?year=2023&code=R&district=047,https://ballotpedia.org/Adrian_Plank;https://en.wikipedia.org/wiki/Adrian_Plank;https://house.mo.gov/MemberDetails.aspx?district=047;https://house.mo.gov/MemberDetails.aspx?district=047&;https://house.mo.gov/MemberDetails.aspx?year=2023&code=R&district=047;https://justfacts.votesmart.org/candidate/biography/183217/adrian-plank;https://www.adrianplank.com/bio;https://www.linkedin.com/in/adrian-plank-936487123,,,,,,,,,,,
ocd-person/b11b5a8d-08e8-4cf3-802c-42a842102cfa,Alex Riley,Republican,134,lower,Alex,Riley,Male,alex.riley@house.mo.gov,,,,https://house.mo.gov/MemberPhoto.aspx?id=2232,https://house.mo.gov/MemberDetails.aspx?district=134;https://house.mo.gov/MemberDetails.aspx?year=2021&code=R&district=134;https://house.mo.gov/MemberDetails.aspx?year=2023&code=R&district=134,https://ballotpedia.org/Alex_Riley;https://en.wikipedia.org/wiki/Alex_Riley_(politician);https://house.mo.gov/MemberDetails.aspx?district=134;https://house.mo.gov/memberdetails.aspx?district=134;https://house.mo.gov/MemberDetails.aspx?year=2021&code=R&district=134;https://house.mo.gov/MemberDetails.aspx?year=2023&code=R&district=134;https://justfacts.votesmart.org/candidate/biography/193401/alex-riley;https://www.linkedin.com/in/alex-riley-69334570,,,,,,,,,,,
ocd-person/048bc29f-0bab-4fa1-8a1e-647b0eba4dcd,Angela Mosley,Democratic,13,upper,Angela,Mosley,Female,angela.mosley@senate.mo.gov,,,,https://www.senate.mo.gov/21web/wp-content/uploads/2020/12/Mosley2021-200x300.jpg,https://www.senate.mo.gov/mem13;https://www.senate.mo.gov/Senators/Member/13;https://www.senate.mo.gov/Senators/Member?id=20,https://ballotpedia.org/Angela_Mosley;https://en.wikipedia.org/wiki/Angela_Mosley;https://www.senate.mo.gov/mem13;https://www.senate.mo.gov/senators-listing;https://www.senate.mo.gov/senators-listing/;https://www.senate.mo.gov/Senators/Member/13;https://www.senate.mo.gov/Senators/Member?id=20,,,,,,,,,,,
ocd-person/fff43ce1-d209-4556-ba74-32f9ba46d3c0,Ann Kelley,Republican,127,lower,Ann,Kelley,Female,ann.kelley@house.mo.gov,,,,https://house.mo.gov/MemberPhoto.aspx?id=2051,https://house.mo.gov/memberdetails.aspx?district=127;https://house.mo.gov/MemberDetails.aspx?year=2021&code=R&district=127;https://house.mo.gov/MemberDetails.aspx?year=2023&code=R&district=127;https://www.house.mo.gov/MemberDetails.aspx?district=127,https://ballotpedia.org/Ann_Kelley;https://en.wikipedia.org/wiki/Ann_Kelley_(politician);https://house.mo.gov/memberdetails.aspx?district=127;https://house.mo.gov/MemberDetails.aspx?year=2021&code=R&district=127;https://house.mo.gov/MemberDetails.aspx?year=2023&code=R&district=127;https://house.mo.gov/MemberGridCluster.aspx;https://justfacts.votesmart.org/candidate/biography/183349/ann-kelley;https://www.house.mo.gov/MemberDetails.aspx?district=127,,,,,,,,,,,
ocd-person/a5cc5083-e44a-4379-b4db-74c4a930821b,Anthony Ealy,Democratic,36,lower,Anthony,Ealy,Male,anthony.ealy@house.mo.gov,,,,https://house.mo.gov/MemberPhoto.aspx?id=2384,https://house.mo.gov/MemberDetails.aspx?district=36;https://house.mo.gov/MemberDetails.aspx?year=2023&code=R&district=036;https://house.mo.gov/MemberDetails.aspx?year=2023&code=R&district=36,https://ballotpedia.org/Anthony_Ealy;https://house.mo.gov/MemberDetails.aspx?district=36;https://house.mo.gov/MemberDetails.aspx?year=2023&code=R&district=036;https://house.mo.gov/MemberDetails.aspx?year=2023&code=R&district=36;https://justfacts.votesmart.org/candidate/biography/205703/anthony-ealy;https://www.linkedin.com/in/anthonyealyjr,,,,,,,,,,,
ocd-person/1ff1dec0-c449-4ff8-aa22-0830817c2070,Ashley Aune,Democratic,14,lower,Ashley,Aune,Female,ashley.aune@house.mo.gov,,,,https://house.mo.gov/MemberPhoto.aspx?id=2210,https://house.mo.gov/MemberDetails.aspx?district=014;https://house.mo.gov/MemberDetails.aspx?year=2021&code=R&district=014;https://house.mo.gov/MemberDetails.aspx?year=2023&code=R&district=014,https://ballotpedia.org/Ashley_Aune;https://en.wikipedia.org/wiki/Ashley_Aune;https://house.mo.gov/MemberDetails.aspx?district=014;https://house.mo.gov/MemberDetails.aspx?year=2021&code=R&district=014;https://house.mo.gov/MemberDetails.aspx?year=2023&code=R&district=014;https://justfacts.votesmart.org/candidate/biography/193275/ashley-aune;https://www.linkedin.com/in/theashleyaune,,,,,,,,,,,
ocd-person/de8806cc-fa03-4745-ae1e-198c56492f9a,Barbara Washington,Democratic,9,upper,Barbara,Washington,Female,barbara.washington@senate.mo.gov,,,,,https://www.house.mo.gov/MemberDetails.aspx?district=23;https://www.senate.mo.gov/mem09;https://www.senate.mo.gov/Senators/Member/09;https://www.senate.mo.gov/Senators/Member?id=31,https://ballotpedia.org/Barbara_Anne_Washington;https://en.wikipedia.org/wiki/Barbara_Washington;https://house.mo.gov/MemberGridCluster.aspx;https://justfacts.votesmart.org/candidate/biography/176775/barbara-washington;https://www.house.mo.gov/MemberDetails.aspx?district=23;https://www.linkedin.com/in/barbara-washington-1582259;https://www.senate.mo.gov/mem09;https://www.senate.mo.gov/senators-listing;https://www.senate.mo.gov/senators-listing/;https://www.senate.mo.gov/Senators/Member/09;https://www.senate.mo.gov/Senators/Member?id=31,,,,,,,,,,,
ocd-person/54f9145f-2529-448e-8238-b00d049a782c,Barry Hovis,Republican,146,lower,Barry,Hovis,Male,barry.hovis@house.mo.gov,,,,https://house.mo.gov/MemberPhoto.aspx?id=2129,https://house.mo.gov/MemberDetails.aspx?district=146;https://house.mo.gov/MemberDetails.aspx?year=2021&code=R&district=146;https://house.mo.gov/MemberDetails.aspx?year=2023&code=R&district=146;https://www.house.mo.gov/MemberDetails.aspx?district=146,https://en.wikipedia.org/wiki/Barry_Hovis;https://house.mo.gov/MemberDetails.aspx?district=146;https://house.mo.gov/MemberDetails.aspx?year=2021&code=R&district=146;https://house.mo.gov/MemberDetails.aspx?year=2023&code=R&district=146;https://house.mo.gov/MemberGridCluster.aspx;https://justfacts.votesmart.org/candidate/biography/183414/barry-hovis;https://www.friendsofbarryhovis.com/meet-barry;https://www.house.mo.gov/MemberDetails.aspx?district=146;https://www.linkedin.com/in/barry-hovis-492603166,,,,,,,,,,,
