id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/c012fed5-c753-4a01-9c3c-9924d178c24d,Albert Butler,Democratic,37,upper,Albert,Butler,Male,abutler@senate.ms.gov,,,,https://billstatus.ls.state.ms.us/members/senate/butler.jpg,https://billstatus.ls.state.ms.us/members/senate/butler.xml;https://billstatus.ls.state.ms.us/members/senate/butler_(36th).xml,https://ballotpedia.org/Albert_Butler;https://billstatus.ls.state.ms.us/members/senate/butler.xml;https://billstatus.ls.state.ms.us/members/senate/butler_(36th).xml;https://billstatus.ls.state.ms.us/members/ss_membs.xml;https://en.wikipedia.org/wiki/Albert_Butler;https://justfacts.votesmart.org/candidate/biography/69811/albert-butler;https://www.linkedin.com/in/albert-butler-06b5402b,,,,,,,,,,,
ocd-person/80fca1ba-017c-4941-990c-a5e2ff34aea0,Andy Berry,Republican,35,upper,Andy,Berry,Male,aberry@senate.ms.gov,,,,https://billstatus.ls.state.ms.us/members/senate/Berry.jpg,https://billstatus.ls.state.ms.us/members/senate/berry.xml,https://ballotpedia.org/Andy_Berry;https://billstatus.ls.state.ms.us/members/senate/berry.xml;https://www.linkedin.com/in/andy-berry-031945130,,,,,,,,,,,
ocd-person/95d25b69-8eb7-44cd-a789-54351e17970c,Andy Boyd,Republican,37,lower,Andy,Boyd,Male,aboyd@house.ms.gov,,1957-06-26,,http://billstatus.ls.state.ms.us/members/house/boyd_(37).jpg,https://billstatus.ls.state.ms.us/members/house/boyd_(37).xml;https://billstatus.ls.state.ms.us/members/house/boyd_(37th).xml,https://ballotpedia.org/Andy_Boyd;https://billstatus.ls.state.ms.us/members/house/boyd_(37).xml;https://billstatus.ls.state.ms.us/members/house/boyd_(37th).xml;https://billstatus.ls.state.ms.us/members/hr_membs.xml;https://en.wikipedia.org/wiki/Andy_Boyd;https://justfacts.votesmart.org/candidate/evaluations/211082/andy-boyd,,,,,,,,,,,
ocd-person/4004cf9a-6d23-4323-b158-00f22078d2b4,Angela Hill,Republican,40,upper,Angela,Hill,Female,ahill@senate.ms.gov,,1965-08-14,,http://billstatus.ls.state.ms.us/members/senate/hill.jpg,https://billstatus.ls.state.ms.us/members/senate/hill.xml,https://ballotpedia.org/Angela_Hill;https://billstatus.ls.state.ms.us/members/senate/hill.xml;https://billstatus.ls.state.ms.us/members/ss_membs.xml;https://en.wikipedia.org/wiki/Angela_Burks_Hill;https://justfacts.votesmart.org/candidate/biography/130344/angela-hill;https://www.linkedin.com/in/angela-hill-0870a6a7,,,,,,,,,,,
ocd-person/83f9f72e-ec2d-4351-a227-d8a6aec18eed,Angela Cockerham,Independent,96,lower,Angela,Cockerham,Female,acockerham@house.ms.gov,,1976-08-20,,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Angela_Cockerham.jpg,https://billstatus.ls.state.ms.us/members/house/cockerham.xml,https://ballotpedia.org/Angela_Cockerham;https://billstatus.ls.state.ms.us/members/house/cockerham.xml;https://billstatus.ls.state.ms.us/members/hr_membs.xml;https://en.wikipedia.org/wiki/Angela_Cockerham;https://justfacts.votesmart.org/candidate/biography/56520/angela-cockerham;https://www.linkedin.com/in/angela-cockerham-498938102,,,,,,,,,,,
ocd-person/74d0c9b2-58a2-41a7-b2a0-582924a45adf,Angela Turner-Ford,Democratic,16,upper,Angela,Turner-Ford,Female,aturner@senate.ms.gov,,1971-07-02,,http://billstatus.ls.state.ms.us/members/senate/turner-ford.jpg,https://billstatus.ls.state.ms.us/members/senate/turner-ford.xml,https://ballotpedia.org/Angela_Turner-Ford;https://billstatus.ls.state.ms.us/members/senate/turner-ford.xml;https://billstatus.ls.state.ms.us/members/ss_membs.xml;https://en.wikipedia.org/wiki/Angela_Turner-Ford;https://justfacts.votesmart.org/candidate/biography/144220/angela-turner-ford;https://www.linkedin.com/in/angela-turner-ford-b06b27128;https://www.linkedin.com/in/turner-ford-angela-a64ba4124,,,,,,,,,,,
ocd-person/3b2b3cb2-3ef8-400d-b395-6b0895ea7631,Bradford Blackmon,Democratic,21,upper,Bradford,Blackmon,Male,bblackmon@senate.ms.gov,,,,https://billstatus.ls.state.ms.us/members/senate/blackmon.jpg,https://billstatus.ls.state.ms.us/members/senate/blackmon.xml,https://ballotpedia.org/Bradford_Blackmon;https://billstatus.ls.state.ms.us/members/senate/blackmon.xml;https://billstatus.ls.state.ms.us/members/ss_membs.xml;https://blackmonlawfirm.com/attorneys/bradfordblackmon;https://www.linkedin.com/in/bradford-blackmon-a90752b4,,,,,,,,,,,
ocd-person/5f65f3a3-db2a-4573-a5c8-59b6cc0dbf40,Bart Williams,Republican,15,upper,Bart,Williams,Male,bwilliams@senate.ms.gov,,1966-10-26,,http://billstatus.ls.state.ms.us/members/senate/williams.jpg,https://billstatus.ls.state.ms.us/members/senate/williams.xml,https://ballotpedia.org/Bart_Williams_(Mississippi);https://billstatus.ls.state.ms.us/members/senate/williams.xml;https://billstatus.ls.state.ms.us/members/ss_membs.xml;https://en.wikipedia.org/wiki/Bart_Williams_(politician);https://www.linkedin.com/in/bart-williams-17740a69,,,,,,,,,,,
ocd-person/4b865b47-4811-4437-be08-0f3bf10d461c,Becky Currie,Republican,92,lower,Becky,Currie,Female,bcurrie@house.ms.gov,,1957-05-02,,http://billstatus.ls.state.ms.us/members/house/currie.jpg,https://billstatus.ls.state.ms.us/members/house/currie.xml,https://ballotpedia.org/Becky_Currie;https://billstatus.ls.state.ms.us/members/house/currie.xml;https://billstatus.ls.state.ms.us/members/hr_membs.xml;https://en.wikipedia.org/wiki/Becky_Currie;https://justfacts.votesmart.org/candidate/biography/69911/becky-currie;https://www.linkedin.com/in/becky-currie-04336282,,,,,,,,,,,
ocd-person/ba13036f-790b-4745-b008-eeb74f1c86a1,Ben Suber,Republican,8,upper,Ben,Suber,Male,bsuber@senate.ms.gov,,,,http://billstatus.ls.state.ms.us/members/senate/suber.jpg,https://billstatus.ls.state.ms.us/members/senate/suber.xml,https://ballotpedia.org/Benjamin_Suber;https://billstatus.ls.state.ms.us/members/senate/suber.xml;https://billstatus.ls.state.ms.us/members/ss_membs.xml;https://en.wikipedia.org/wiki/Benjamin_Suber;https://justfacts.votesmart.org/candidate/biography/186540/benjamin-suber,,,,,,,,,,,
