id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/837ec59b-a7db-41dc-9e9f-a7a83b462213,Reece Pyrtle,Republican,65,lower,Reece,Pyrtle,Male,reece.pyrtle@ncleg.gov,,,,https://www.ncleg.gov/Members/MemberImage/H/787/Low,https://www.ncleg.gov/Members/Biography/H/787;https://www.ncleg.gov/Members/Committees/H/787;https://www.ncleg.gov/Members/IntroducedBills/H/787;https://www.ncleg.gov/Members/Votes/H/787,"https://ballotpedia.org/A._Reece_Pyrtle,_Jr.;https://en.wikipedia.org/wiki/Reece_Pyrtle;https://justfacts.votesmart.org/candidate/198983/reece-pyrtle-jr;https://www.linkedin.com/in/reece-pyrtle-b6902514;https://www.ncleg.gov/Members/Biography/H/787;https://www.ncleg.gov/Members/MemberTable/H",,,,,,,,,,,
ocd-person/559521af-e5f9-43c3-a75e-de9b242d364f,Abe Jones,Democratic,38,lower,Abe,Jones,Male,abe.jones@ncleg.gov,,1952-03-07,,https://www.ncleg.gov/Members/MemberImage/H/780/Low,https://www.ncleg.gov/Members/Biography/H/780;https://www.ncleg.gov/Members/Committees/H/780;https://www.ncleg.gov/Members/IntroducedBills/H/780;https://www.ncleg.gov/Members/Votes/H/780,https://ballotpedia.org/Abraham_P._Jones_(North_Carolina);https://en.wikipedia.org/wiki/Abe_Jones_(politician);https://www.linkedin.com/in/abe-jones-429364101;https://www.linkedin.com/in/abe-jones-50525543;https://www.ncleg.gov/Members/Biography/H/780;https://www.ncleg.gov/Members/MemberTable/H,,,,,,,repabejones,,,,
ocd-person/9f9d7fb9-9981-412d-b3e2-45c7f67d189a,Aisha Dew,Democratic,107,lower,Aisha,Dew,Female,aisha.dew@ncleg.gov,,,,"https://static.wixstatic.com/media/382708_03a01c002bae45c2a4dd4b665892e242~mv2.png/v1/fill/w_369,h_369,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/aisha%20dew%20updated%20headshot.png",https://www.ncleg.gov/Members/Biography/H/836,https://ballotpedia.org/Aisha_Dew;https://www.ncleg.gov/Members/Biography/H/836,,,,,,,,,,,
ocd-person/6ca8b8ee-96ed-4b21-94cf-d67e49f9c1c8,Alan Branson,Republican,59,lower,Alan,Branson,Male,alan.branson@ncleg.gov,,1951-12-06,,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/alan_branson.jpg,https://www.ncleg.gov/Members/Biography/H/821,https://ballotpedia.org/Alan_Branson;https://en.wikipedia.org/wiki/Alan_Branson;https://www.linkedin.com/in/jerry-branson-19a17a85;https://www.ncleg.gov/Members/Biography/H/821,,,,,,,,,,,
ocd-person/95a533af-7933-4992-aea6-dfdc626b7ca6,Allen Buansi,Democratic,56,lower,Allen,Buansi,Male,allen.buansi@ncleg.gov,,,,https://www.ncleg.gov/Members/MemberImage/H/790/Low,https://www.ncleg.gov/Members/Biography/H/790;https://www.ncleg.gov/Members/Committees/H/790;https://www.ncleg.gov/Members/IntroducedBills/H/790;https://www.ncleg.gov/Members/Votes/H/790,https://ballotpedia.org/Allen_Buansi;https://en.wikipedia.org/wiki/Allen_Buansi;https://www.linkedin.com/in/allen-buansi-57426b10;https://www.ncleg.gov/Members/Biography/H/790;https://www.ncleg.gov/Members/MemberTable/H,,,,,,,,,,,
ocd-person/fc3772c1-d98a-4325-a6c8-96b9da492ed6,Allen Chesser,Republican,25,lower,Allen,Chesser,Male,allen.chesser@ncleg.gov,,,,https://www.ncleg.gov/Members/MemberImage/H/799/Low,https://www.ncleg.gov/Members/Biography/H/799;https://www.ncleg.gov/Members/Committees/H/799;https://www.ncleg.gov/Members/IntroducedBills/H/799;https://www.ncleg.gov/Members/Votes/H/799,https://allenchesser.com/about-1;https://ballotpedia.org/Allen_Chesser_II;https://en.wikipedia.org/wiki/Allen_Chesser;https://justfacts.votesmart.org/candidate/biography/178273/allen-chesser-ii;https://www.linkedin.com/in/allen-chesser-3224b7a8;https://www.ncleg.gov/Members/Biography/H/799;https://www.ncleg.gov/Members/MemberTable/H,,,,,,,,,,,
ocd-person/785927b3-34ca-4a2d-bc1c-df4cc8e16c47,Allison Dahle,Democratic,11,lower,Allison,Dahle,Female,allison.dahle@ncleg.gov,,1964-03-25,,https://www.ncleg.gov/Members/MemberImage/H/740/Low,https://www.ncleg.gov/Members/Biography/H/740;https://www.ncleg.gov/Members/Committees/H/740;https://www.ncleg.gov/Members/IntroducedBills/H/740;https://www.ncleg.gov/Members/Votes/H/740,https://ballotpedia.org/Allison_Dahle;https://en.wikipedia.org/wiki/Allison_Dahle;https://justfacts.votesmart.org/candidate/biography/178368/allison-dahle;https://www.linkedin.com/in/allison-dahle-a186154;https://www.ncleg.gov/Members/Biography/H/740;https://www.ncleg.gov/Members/MemberTable/H,,,,,,,,,,,
ocd-person/5f309927-de7a-4fd4-930b-a369dd10fec8,Amanda Cook,Democratic,60,lower,Amanda,Cook,Female,amanda.cook@ncleg.gov,,1982-11-02,,,https://www.ncleg.gov/Members/Biography/H/1002,https://ballotpedia.org/Amanda_Cook_(North_Carolina);https://en.wikipedia.org/wiki/Amanda_Cook_(politician);https://www.linkedin.com/in/amanda-cook-8159725;https://www.ncleg.gov/Members/Biography/H/1002,,,,,,,,,,,
ocd-person/628fc48c-a48b-4128-87f1-2391ab795e0a,Amber Baker,Democratic,72,lower,Amber,Baker,Female,amber.baker@ncleg.gov,,,,https://www.ncleg.gov/Members/MemberImage/H/782/Low,https://www.ncleg.gov/Members/Biography/H/782;https://www.ncleg.gov/Members/Committees/H/782;https://www.ncleg.gov/Members/IntroducedBills/H/782;https://www.ncleg.gov/Members/Votes/H/782,https://ballotpedia.org/Amber_Baker_(North_Carolina);https://en.wikipedia.org/wiki/Amber_Baker;https://www.linkedin.com/in/amber-baker-phd-406b9727;https://www.ncleg.gov/Members/Biography/H/782;https://www.ncleg.gov/Members/MemberTable/H,,,,,,,,,,,
ocd-person/46275779-8191-48be-8b0b-8373376fa23d,Amos Quick,Democratic,58,lower,Amos,Quick,Male,amos.quick@ncleg.gov,,1968-08-14,,https://www.ncleg.gov/Members/MemberImage/H/725/Low,https://www.ncleg.gov/Members/Biography/H/725;https://www.ncleg.gov/Members/Committees/H/725;https://www.ncleg.gov/Members/IntroducedBills/H/725;https://www.ncleg.gov/Members/Votes/H/725,https://ballotpedia.org/Amos_Quick;https://en.wikipedia.org/wiki/Amos_Quick;https://justfacts.votesmart.org/candidate/biography/166622/amos-quick-iii;https://www.linkedin.com/in/amos-quick-8505a81b;https://www.ncleg.gov/Members/Biography/H/725;https://www.ncleg.gov/Members/MemberTable/H,,,,,,,,,,,
