id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/3735ca02-1a6a-4f2f-b13b-1a5118d78ae2,Adam Goldwyn,Democratic,11,lower,Adam,Goldwyn,Male,,,,,https://www.ndsu.edu/sites/default/files/styles/content_profile_full_medium/public/fileadmin/english.ndsu.edu/IMG_7188.JPG.webp?itok=Fwkfn24a&cb=44eb361c,,https://sites.google.com/view/adamgoldwyn/home;https://www.linkedin.com/in/adam-goldwyn-a66b09291,,,,,,,,,,,
ocd-person/9c0f35c1-03de-443e-97bd-5cdf77581897,Alisa Mitskog,Democratic,25,lower,Alisa,Mitskog,Female,amitskog@ndlegis.gov,,,,https://www.ndlegis.gov/sites/default/files/styles/member_list_photo/public/person/photo/amitskog2023_3.jpg?itok=vwMWQ-Ou,https://ndlegis.gov/biography/alisa-mitskog;https://www.legis.nd.gov/assembly/65-2017/members/house/representative-alisa-mitskog;https://www.legis.nd.gov/assembly/66-2019/members/house/representative-alisa-mitskog;https://www.legis.nd.gov/assembly/67-2021/members/house/representative-alisa-mitskog;https://www.ndlegis.gov/biography/alisa-mitskog,https://ballotpedia.org/Alisa_Mitskog;https://en.wikipedia.org/wiki/Alisa_Mitskog;https://ndlegis.gov/biography/alisa-mitskog;https://www.legis.nd.gov/assembly/65-2017/members/house/representative-alisa-mitskog;https://www.legis.nd.gov/assembly/66-2019/members/house/representative-alisa-mitskog;https://www.legis.nd.gov/assembly/67-2021/members/house/representative-alisa-mitskog;https://www.legis.nd.gov/assembly/67-2021/members/members-by-district;https://www.linkedin.com/in/alisa-mitskog-289b4719;https://www.ndlegis.gov/assembly/68-2023/regular/members?combine=&field_legis_chamber_target_id=All&field_legis_district_target_id=All&field_legislator_party_target_id=All&page=5;https://www.ndlegis.gov/assembly/68-2023/regular/members?page=5;https://www.ndlegis.gov/biography/alisa-mitskog,,,,,,,,,,,
ocd-person/6fbb2691-956f-4427-8927-66309b08ed68,Andrew Marschall,Republican,16,lower,Andrew,Marschall,Male,amarschall@ndlegis.gov,,1962-12-17,,https://www.ndlegis.gov/sites/default/files/styles/member_list_photo/public/person/photo/amarschall2023.jpg?itok=hxGY-yV_,https://ndlegis.gov/biography/andrew-marschall;https://www.legis.nd.gov/assembly/65-2017/members/house/representative-andrew-marschall;https://www.legis.nd.gov/assembly/66-2019/members/house/representative-andrew-marschall;https://www.legis.nd.gov/assembly/67-2021/members/house/representative-andrew-marschall;https://www.ndlegis.gov/biography/andrew-marschall,https://ballotpedia.org/Andrew_Marschall;https://en.wikipedia.org/wiki/Andrew_Marschall;https://justfacts.votesmart.org/candidate/biography/121163/andrew-marschall;https://ndlegis.gov/biography/andrew-marschall;https://www.legis.nd.gov/assembly/65-2017/members/house/representative-andrew-marschall;https://www.legis.nd.gov/assembly/66-2019/members/house/representative-andrew-marschall;https://www.legis.nd.gov/assembly/67-2021/members/house/representative-andrew-marschall;https://www.legis.nd.gov/assembly/67-2021/members/members-by-district;https://www.linkedin.com/in/andrew-marschall-56126450;https://www.ndlegis.gov/assembly/68-2023/regular/members?combine=&field_legis_chamber_target_id=All&field_legis_district_target_id=All&field_legislator_party_target_id=All&page=4;https://www.ndlegis.gov/assembly/68-2023/regular/members?page=4;https://www.ndlegis.gov/biography/andrew-marschall,,,,,,,,,,,
ocd-person/c40382fd-ce08-46af-8649-afd1f5e04091,Anna Novak,Republican,33,lower,Anna,Novak,Female,anovak@ndlegis.gov,,,,https://www.ndlegis.gov/sites/default/files/styles/member_list_photo/public/person/photo/anovak2023.jpg?itok=EptvTScj,https://ndlegis.gov/biography/anna-s-novak;https://www.ndlegis.gov/biography/anna-s-novak,https://ballotpedia.org/Anna_Novak;https://en.wikipedia.org/wiki/Anna_Novak;https://ndlegis.gov/biography/anna-s-novak;https://www.ndlegis.gov/assembly/68-2023/regular/members?combine=&field_legis_chamber_target_id=All&field_legis_district_target_id=All&field_legislator_party_target_id=All&page=5;https://www.ndlegis.gov/assembly/68-2023/regular/members?page=5;https://www.ndlegis.gov/biography/anna-s-novak,,,,,,,,,,,
ocd-person/860892bd-92d1-4a30-a5e6-3b5f2359e9df,Austen Schauer,Republican,13,lower,Austen,Schauer,Male,aschauer@ndlegis.gov,,,,https://www.ndlegis.gov/sites/default/files/styles/member_list_photo/public/person/photo/aschauer2023.jpg?itok=nn6aFXan,https://ndlegis.gov/biography/austen-schauer;https://www.legis.nd.gov/assembly/66-2019/members/house/representative-austen-schauer;https://www.legis.nd.gov/assembly/67-2021/members/house/representative-austen-schauer;https://www.ndlegis.gov/biography/austen-schauer,https://ballotpedia.org/Austen_Schauer;https://en.wikipedia.org/wiki/Austen_Schauer;https://justfacts.votesmart.org/candidate/biography/181378/austen-schauer;https://ndlegis.gov/biography/austen-schauer;https://www.legis.nd.gov/assembly/66-2019/members/house/representative-austen-schauer;https://www.legis.nd.gov/assembly/67-2021/members/house/representative-austen-schauer;https://www.legis.nd.gov/assembly/67-2021/members/members-by-district;https://www.linkedin.com/in/austen-schauer-a9a0b544;https://www.ndlegis.gov/assembly/68-2023/regular/members?combine=&field_legis_chamber_target_id=All&field_legis_district_target_id=All&field_legislator_party_target_id=All&page=7;https://www.ndlegis.gov/assembly/68-2023/regular/members?page=7;https://www.ndlegis.gov/biography/austen-schauer,,,,,,,,,,,
ocd-person/7b99ceee-cc27-4b30-96f9-b29845bacdf8,Austin Foss,Democratic,44,lower,Austin,Foss,Male,afoss@ndlegis.gov,,,,https://demnpl.com/wp-content/uploads/2024/05/Austin-Foss-1225x1500.png,https://ndlegis.gov/biography/austin-foss,https://ballotpedia.org/Austin_Foss;https://en.wikipedia.org/wiki/Austin_Foss;https://justfacts.votesmart.org/candidate/216717/austin-foss;https://ndlegis.gov/biography/austin-foss;https://www.linkedin.com/in/austin-foss-38599b124,,,,,,,,,,,
ocd-person/9335be7e-11ff-4577-af89-e61195143354,Ben Koppelman,Republican,16,lower,Ben,Koppelman,Male,bkoppelman@ndlegis.gov,,1980-01-02,,https://www.ndlegis.gov/sites/default/files/styles/member_list_photo/public/person/photo/bkoppelman2023.jpg?itok=esaQXglY,https://ndlegis.gov/biography/ben-koppelman;https://www.legis.nd.gov/assembly/65-2017/members/house/representative-ben-koppelman;https://www.legis.nd.gov/assembly/66-2019/members/house/representative-ben-koppelman;https://www.legis.nd.gov/assembly/67-2021/members/house/representative-ben-koppelman;https://www.ndlegis.gov/biography/ben-koppelman,https://ballotpedia.org/Ben_Koppelman;https://en.wikipedia.org/wiki/Ben_Koppelman;https://justfacts.votesmart.org/candidate/biography/139357/ben-koppelman;https://ndlegis.gov/biography/ben-koppelman;https://www.legis.nd.gov/assembly/65-2017/members/house/representative-ben-koppelman;https://www.legis.nd.gov/assembly/66-2019/members/house/representative-ben-koppelman;https://www.legis.nd.gov/assembly/67-2021/members/house/representative-ben-koppelman;https://www.legis.nd.gov/assembly/67-2021/members/members-by-district;https://www.ndlegis.gov/assembly/68-2023/regular/members?combine=&field_legis_chamber_target_id=All&field_legis_district_target_id=All&field_legislator_party_target_id=All&page=4;https://www.ndlegis.gov/assembly/68-2023/regular/members?page=4;https://www.ndlegis.gov/biography/ben-koppelman,,,,,,,,,,,
ocd-person/3f885f7e-14b0-4ee7-b1fd-71ddbd72c539,Bernie Satrom,Republican,12,lower,Bernie,Satrom,Male,blsatrom@ndlegis.gov,,,,https://www.ndlegis.gov/sites/default/files/styles/member_list_photo/public/person/photo/blsatrom2023.jpg?itok=QdHtHBmZ,https://ndlegis.gov/biography/bernie-satrom;https://www.legis.nd.gov/assembly/65-2017/members/house/representative-bernie-satrom;https://www.legis.nd.gov/assembly/66-2019/members/house/representative-bernie-satrom;https://www.legis.nd.gov/assembly/67-2021/members/house/representative-bernie-satrom;https://www.ndlegis.gov/biography/bernie-satrom,https://ballotpedia.org/Bernie_Satrom;https://en.wikipedia.org/wiki/Bernie_Satrom;https://justfacts.votesmart.org/candidate/biography/139327/bernie-satrom;https://ndlegis.gov/biography/bernie-satrom;https://www.legis.nd.gov/assembly/65-2017/members/house/representative-bernie-satrom;https://www.legis.nd.gov/assembly/66-2019/members/house/representative-bernie-satrom;https://www.legis.nd.gov/assembly/67-2021/members/house/representative-bernie-satrom;https://www.legis.nd.gov/assembly/67-2021/members/members-by-district;https://www.ndlegis.gov/assembly/68-2023/regular/members?combine=&field_legis_chamber_target_id=All&field_legis_district_target_id=All&field_legislator_party_target_id=All&page=7;https://www.ndlegis.gov/assembly/68-2023/regular/members?page=7;https://www.ndlegis.gov/biography/bernie-satrom,,,,,,,,,,,
ocd-person/7ba931d2-cba2-4913-92fa-f5b0c3a8baf0,Bert Anderson,Republican,2,lower,Bert,Anderson,Male,bertanderson@ndlegis.gov,,,,https://www.ndlegis.gov/sites/default/files/styles/member_list_photo/public/person/photo/bertanderson2.jpg?itok=VRfZY6e1,https://ndlegis.gov/biography/bert-anderson;https://www.legis.nd.gov/assembly/65-2017/members/house/representative-bert-anderson;https://www.legis.nd.gov/assembly/66-2019/members/house/representative-bert-anderson;https://www.legis.nd.gov/assembly/67-2021/members/house/representative-bert-anderson;https://www.ndlegis.gov/biography/bert-anderson,https://ballotpedia.org/Bert_Anderson;https://en.wikipedia.org/wiki/Bert_Anderson_(politician);https://justfacts.votesmart.org/candidate/biography/156120/bert-anderson;https://ndlegis.gov/biography/bert-anderson;https://www.legis.nd.gov/assembly/65-2017/members/house/representative-bert-anderson;https://www.legis.nd.gov/assembly/66-2019/members/house/representative-bert-anderson;https://www.legis.nd.gov/assembly/67-2021/members/house/representative-bert-anderson;https://www.legis.nd.gov/assembly/67-2021/members/members-by-district;https://www.ndlegis.gov/assembly/68-2023/regular/members;https://www.ndlegis.gov/biography/bert-anderson,,,,,,,,,,,
ocd-person/50e4864c-095a-43a6-9486-3b071e02ca09,Bill Tveit,Republican,33,lower,Bill,Tveit,Male,btveit@ndlegis.gov,,,,https://www.ndlegis.gov/sites/default/files/styles/member_list_photo/public/person/photo/btveit2023.jpg?itok=cI3qL4LC,https://ndlegis.gov/biography/bill-tveit;https://www.legis.nd.gov/assembly/66-2019/members/house/representative-bill-tveit;https://www.legis.nd.gov/assembly/67-2021/members/house/representative-bill-tveit;https://www.ndlegis.gov/biography/bill-tveit,https://ballotpedia.org/Bill_Tveit;https://en.wikipedia.org/wiki/Bill_Tveit;https://justfacts.votesmart.org/candidate/biography/164378/bill-tveit;https://ndlegis.gov/biography/bill-tveit;https://www.legis.nd.gov/assembly/66-2019/members/house/representative-bill-tveit;https://www.legis.nd.gov/assembly/67-2021/members/house/representative-bill-tveit;https://www.legis.nd.gov/assembly/67-2021/members/members-by-district;https://www.ndlegis.gov/assembly/68-2023/regular/members?combine=&field_legis_chamber_target_id=All&field_legis_district_target_id=All&field_legislator_party_target_id=All&page=8;https://www.ndlegis.gov/assembly/68-2023/regular/members?page=8;https://www.ndlegis.gov/biography/bill-tveit,,,,,,,,,,,
