id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/03ee8938-314f-4db4-ac76-9507d85fc03c,Ashlei Spivey,Nonpartisan,13,legislature,Ashlei,Spivey,Female,aspivey@leg.ne.gov,,1986-08-15,,,https://nebraskalegislature.gov/senators/landing-pages/index.php?District=13;https://www.ashleifornebraska.com/,https://ballotpedia.org/Ashlei_Spivey;https://en.wikipedia.org/wiki/Ashlei_Spivey;https://justfacts.votesmart.org/candidate/biography/215023/ashlei-spivey;https://nebraskalegislature.gov/senators/landing-pages/index.php?District=13;https://www.ashleifornebraska.com;https://www.ashleifornebraska.com/about-me;https://www.linkedin.com/in/ashlei-spivey-arthur-2815435,,,,,,,,,ashleiforne,,
ocd-person/01d5ca17-53a1-463a-b2f6-74fe24833c0f,Barry DeKay,Nonpartisan,40,legislature,Barry,DeKay,Male,bdekay@leg.ne.gov,,1959-05-29,,https://www.nebraskalegislature.gov/media/images/senators/dist40/highres/dist40.jpg,https://nebraskalegislature.gov/senators/landing-pages/index.php?District=40,https://ballotpedia.org/Barry_DeKay;https://en.wikipedia.org/wiki/Barry_DeKay;https://justfacts.votesmart.org/candidate/biography/202079/barry-dekay;https://nebraskalegislature.gov/senators/landing-pages/index.php?District=40;https://nebraskalegislature.gov/senators/senator_list.php;https://www.linkedin.com/in/barry-dekay-11a691101,,,,,,,,,,,
ocd-person/3da787e9-f6ed-4069-bd74-58ec7c015efb,Beau Ballard,Nonpartisan,21,legislature,Beau,Ballard,Male,bballard@leg.ne.gov,,1994-05-05,,https://www.nebraskalegislature.gov/media/images/senators/dist21/highres/dist21.jpg,https://nebraskalegislature.gov/senators/landing-pages/index.php?District=21;https://www.beauballard.com/,https://ballotpedia.org/Beau_Ballard;https://en.wikipedia.org/wiki/Beau_Ballard;https://nebraskalegislature.gov/senators/landing-pages/index.php?District=21;https://nebraskalegislature.gov/senators/senator_list.php;https://www.beauballard.com;https://www.beauballard.com/about;https://www.linkedin.com/in/beau-ballard-47612087,,,,,,,,,,,
ocd-person/bfc9dd37-6a7b-4ea2-acf5-c8e161a27764,Ben Hansen,Nonpartisan,16,legislature,Ben,Hansen,Male,bhansen@leg.ne.gov,,1979-06-29,,https://www.nebraskalegislature.gov/media/images/senators/dist16/highres/dist16.jpg,https://nebraskalegislature.gov/senators/landing-pages/index.php?District=16;https://news.legislature.ne.gov/dist16;https://news.legislature.ne.gov/dist16/;https://www.votebenhansen.com/,https://ballotpedia.org/Ben_Hansen;https://en.wikipedia.org/wiki/Ben_Hansen;https://justfacts.votesmart.org/candidate/179841/ben-hansen;https://nebraskalegislature.gov/senators/landing-pages/index.php?District=16;https://nebraskalegislature.gov/senators/senator_list.php;https://news.legislature.ne.gov/dist16;https://news.legislature.ne.gov/dist16/;https://www.linkedin.com/in/ben-hansen-161b7677;https://www.votebenhansen.com;https://www.votebenhansen.com/about,,,,,,,BenWHansen,,,BenHansenforNebraska,
ocd-person/db002bad-ee6a-4e22-b5c5-840c665ecad4,Bob Andersen,Nonpartisan,49,legislature,Bob,Andersen,Male,bandersen@leg.ne.gov,,1963-02-11,,https://storage.googleapis.com/enview-dev-public-general/legislative-people-photos/167021.jpg,https://nebraskalegislature.gov/senators/landing-pages/index.php?District=49,https://ballotpedia.org/Bob_Andersen_(Nebraska_State_Senate_candidate);https://ballotpedia.org/Bob_Andersen_(Nebraska_state_senator);https://en.wikipedia.org/wiki/Bob_Andersen_(politician);https://justfacts.votesmart.org/candidate/biography/215059/bob-andersen;https://nebraskalegislature.gov/senators/landing-pages/index.php?District=49;https://www.linkedin.com/in/robert-andersen-9432aa39,,,,,,,,,,Bob4NE,
ocd-person/cc0182c9-3cfe-46b1-8fd2-03e90385c6d5,Bob Hallstrom,Nonpartisan,1,legislature,Bob,Hallstrom,Male,bhallstrom@leg.ne.gov,,1955-12-02,,,https://nebraskalegislature.gov/senators/landing-pages/index.php?District=1,https://ballotpedia.org/Robert_Hallstrom;https://en.wikipedia.org/wiki/Robert_Hallstrom;https://justfacts.votesmart.org/candidate/biography/215012/robert-hallstrom;https://nebraskalegislature.gov/senators/landing-pages/index.php?District=1;https://www.linkedin.com/in/bob-hallstrom-85438121,,,,,,,,,,bobhallstromforlegislature,
ocd-person/a98b3cf6-9bf8-40a3-94f3-1c196e233ebd,Brian Hardin,Nonpartisan,48,legislature,Brian,Hardin,Male,bhardin@leg.ne.gov,,1965-12-21,,https://www.nebraskalegislature.gov/media/images/senators/dist48/highres/dist48.jpg,https://nebraskalegislature.gov/senators/landing-pages/index.php?District=48,https://ballotpedia.org/Brian_Hardin;https://en.wikipedia.org/wiki/Brian_Hardin;https://nebraskalegislature.gov/senators/landing-pages/index.php?District=48;https://nebraskalegislature.gov/senators/senator_list.php;https://www.linkedin.com/in/brian-hardin-b1145368,,,,,,,,,,brianhardin2022,
ocd-person/ecf3913e-8e18-4aec-8991-12549df820cd,Carolyn Bosn,Nonpartisan,25,legislature,Carolyn,Bosn,Female,cbosn@leg.ne.gov,,1982-10-05,,https://www.nebraskalegislature.gov/media/images/senators/dist25/highres/dist25.jpg,https://nebraskalegislature.gov/senators/landing-pages/index.php?District=25,https://ballotpedia.org/Carolyn_Bosn;https://en.wikipedia.org/wiki/Carolyn_Bosn;https://justfacts.votesmart.org/candidate/211970/carolyn-bosn;https://nebraskalegislature.gov/senators/landing-pages/index.php?District=25;https://nebraskalegislature.gov/senators/senator_list.php,,,,,,,SenCarolynBosn,,,SenatorBosn,
ocd-person/fdac2d3a-3497-4e34-8247-af670c901dd8,Christy Armendariz,Nonpartisan,18,legislature,Christy,Armendariz,Female,carmendariz@leg.ne.gov,,1966-12-10,,https://www.nebraskalegislature.gov/media/images/senators/dist18/highres/dist18.jpg,https://nebraskalegislature.gov/senators/landing-pages/index.php?District=18,https://ballotpedia.org/Christy_Armendariz;https://en.wikipedia.org/wiki/Christy_Armendariz;https://nebraskalegislature.gov/senators/landing-pages/index.php?District=18;https://nebraskalegislature.gov/senators/senator_list.php;https://www.linkedin.com/in/christy-armendariz-mba-97577914,,,,,,,,,,ChristyforNE,
ocd-person/40eb4961-5467-4d1b-af44-59a2e4de6fae,Dan Lonowski,Nonpartisan,33,legislature,Dan,Lonowski,Male,dlonowski@leg.ne.gov,,1962-06-27,,https://storage.googleapis.com/enview-dev-public-general/legislative-people-photos/167026.jpg,https://nebraskalegislature.gov/senators/landing-pages/index.php?District=33,https://ballotpedia.org/Dan_Lonowski;https://en.wikipedia.org/wiki/Dan_Lonowski;https://justfacts.votesmart.org/candidate/biography/215048/dan-lonowski;https://nebraskalegislature.gov/senators/landing-pages/index.php?District=33;https://www.linkedin.com/in/dan-lonowski-419564106,,,,,,,,,,,
