id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/d358cf84-b9ae-4bce-bb28-aa083fe082b4,Al Abdelaziz,Democratic,35,lower,Al,Abdelaziz,Male,asmabdelaziz@njleg.org,,,,,https://www.assemblydems.com/388/Alaa-Al-Abdelaziz---District-35;https://www.njleg.state.nj.us/legislative-roster/498/assemblyman-abdelaziz,https://ballotpedia.org/Alaa_Abdelaziz;https://en.wikipedia.org/wiki/Al_Abdelaziz;https://justfacts.votesmart.org/candidate/biography/187190/alaa-abdelaziz;https://www.assemblydems.com/388/Alaa-Al-Abdelaziz---District-35;https://www.njleg.state.nj.us/legislative-roster/498/assemblyman-abdelaziz,,,,"680 Broadway Suite 207, Paterson, NJ 07514",862-264-2540,862-264-1003,,,,,
ocd-person/525b3307-b007-4cfa-8166-efb0810fcda7,Al Barlas,Republican,40,lower,Al,Barlas,Male,asmbarlas@njleg.org,,1981-06-21,,,https://www.njassemblygop.com/218/Al-Barlas;https://www.njassemblygop.com/asm-barlas/;https://www.njleg.state.nj.us/legislative-roster/494/assemblyman-barlas,https://ballotpedia.org/Al_Barlas;https://en.wikipedia.org/wiki/Al_Barlas;https://justfacts.votesmart.org/candidate/biography/211694/al-barlas;https://www.linkedin.com/in/al-b-50449a7a;https://www.njassemblygop.com/218/Al-Barlas;https://www.njassemblygop.com/asm-barlas;https://www.njleg.state.nj.us/legislative-roster/494/assemblyman-barlas,,,,"100 Passaic Ave. Suite 155, Fairfield, NJ 07004",862-702-8458,,,,,,
ocd-person/fc986c0e-c1cd-422f-80c1-4d3691f34f28,Alex Sauickie,Republican,12,lower,Alex,Sauickie,Male,asmsauickie@njleg.org,,1971-01-25,,,https://njleg.state.nj.us/legislative-roster/454/assemblyman-sauickie;https://www.njassemblygop.com/233/Alex-Sauickie;https://www.njassemblygop.com/sauickie/;https://www.njleg.state.nj.us/legislative-roster/454/assemblyman-sauickie,https://assemblymanalex.com;https://ballotpedia.org/Alex_Sauickie;https://en.wikipedia.org/wiki/Alex_Sauickie;https://justfacts.votesmart.org/candidate/biography/210460/alex-sauickie-iii;https://njleg.state.nj.us/legislative-roster/454/assemblyman-sauickie;https://www.linkedin.com/in/alexsauickie;https://www.njassemblygop.com/233/Alex-Sauickie;https://www.njassemblygop.com/sauickie;https://www.njleg.state.nj.us/api/legislatorData/legislatorBio/454;https://www.njleg.state.nj.us/legislative-roster;https://www.njleg.state.nj.us/legislative-roster/454/assemblyman-sauickie,,,,"405 Route 539, Cream Ridge, NJ 08514",609-758-0205,,,,,,
ocd-person/b5f9d8c9-0f98-4d89-8a5f-82152f41687d,Alixon Collazos-Gill,Democratic,27,lower,Alixon,Collazos-Gill,Female,aswcollazosgill@njleg.org,,1977-01-27,,,https://www.assemblydems.com/204/Alixon-Collazos-Gill---District-27;https://www.assemblydems.com/alixon-collazos-gill/;https://www.njleg.state.nj.us/legislative-roster/480/assemblywoman-collazos-gill,https://ballotpedia.org/Alixon_Collazos-Gill;https://en.wikipedia.org/wiki/Alixon_Collazos-Gill;https://justfacts.votesmart.org/candidate/biography/212204/alixon-collazos-gill;https://www.assemblydems.com/204/Alixon-Collazos-Gill---District-27;https://www.assemblydems.com/alixon-collazos-gill;https://www.linkedin.com/in/alixon-collazos-b2910b31;https://www.njleg.state.nj.us/legislative-roster/480/assemblywoman-collazos-gill,,,,"39 S. Fullerton Ave. Second Floor, Suite 7, Montclair, NJ 07042",973-509-0388,,,,,,
ocd-person/acf3b54e-9725-4867-aaa5-9275ada21b37,Andrea Katz,Democratic,8,lower,Andrea,Katz,Female,aswkatz@njleg.org,,,,,https://www.assemblydems.com/168/Andrea-Katz---District-8;https://www.assemblydems.com/andrea-katz-2/;https://www.njleg.state.nj.us/legislative-roster/496/assemblywoman-katz,https://ballotpedia.org/Andrea_Katz;https://en.wikipedia.org/wiki/Andrea_Katz;https://justfacts.votesmart.org/candidate/211630/andrea-katz;https://www.assemblydems.com/168/Andrea-Katz---District-8;https://www.assemblydems.com/andrea-katz-2;https://www.linkedin.com/in/aswandreakatz;https://www.njleg.state.nj.us/legislative-roster/496/assemblywoman-katz,,,,"100 High St. Suite 101, Mount Holly, NJ 08060",609-850-2397,,,,,,
ocd-person/bd2c37cd-6c84-406e-9e38-95bd83f20f0f,Andrew Macurdy,Democratic,21,lower,Andrew,Macurdy,Male,asmmacurdy@njleg.org,,,,,https://njleg.state.nj.us/legislative-roster/505/assemblyman-macurdy;https://www.assemblydems.com/400/Andrew-Macurdy---District-21,https://ballotpedia.org/Andrew_Macurdy;https://en.wikipedia.org/wiki/Andrew_Macurdy;https://njleg.state.nj.us/legislative-roster/505/assemblyman-macurdy;https://sanfordheisler.com/team/andrew-macurdy;https://www.assemblydems.com/400/Andrew-Macurdy---District-21;https://www.linkedin.com/in/andrew-macurdy-22658a52,,,,"86 Summit Ave. Suite 302, Summit, NJ 07901",908-679-8499,908-219-4398,,,,,
ocd-person/7782ffcd-73df-41b5-9857-fd7b10953bf3,Andrew Zwicker,Democratic,16,upper,Andrew,Zwicker,Male,senzwicker@njleg.org,,1964-05-17,,https://www.njleg.state.nj.us/members/memberphotos/zwicker_andrew_2019.jpg,https://www.andrewzwicker.com;https://www.njleg.state.nj.us/legislative-roster/436/senator-zwicker;https://www.njleg.state.nj.us/members/bio.asp?Leg=386;https://www.njsendems.org/senators/andrew-zwicker/,https://ballotpedia.org/Andrew_Zwicker;https://en.wikipedia.org/wiki/Andrew_Zwicker;https://justfacts.votesmart.org/candidate/152123/andrew-zwicker;https://www.andrewzwicker.com;https://www.linkedin.com/in/andrew-zwicker-34a5028a;https://www.njleg.state.nj.us/api/legislatorData/legislatorBio/436;https://www.njleg.state.nj.us/downloads.asp;https://www.njleg.state.nj.us/legislative-roster;https://www.njleg.state.nj.us/legislative-roster/436/senator-zwicker;https://www.njleg.state.nj.us/members/abcroster.asp;https://www.njleg.state.nj.us/members/bio.asp?Leg=386;https://www.njleg.state.nj.us/members/BIO.asp?Leg=386;https://www.njsendems.org/senators/andrew-zwicker,,,,"2 Clerico Lane Building 1, Hillsborough, NJ 08844",908-308-8672,,,,,,
ocd-person/d8c826c4-95c7-465b-8448-1f05495bfc45,Angela McKnight,Democratic,31,upper,Angela,McKnight,Female,senmcknight@njleg.org,,1977-03-10,,https://www.njleg.state.nj.us/members/memberphotos/mcknight_color.jpg,https://www.njleg.state.nj.us/legislative-roster/383/assemblywoman-mcknight;https://www.njleg.state.nj.us/legislative-roster/483/senator-mcknight;https://www.njleg.state.nj.us/members/bio.asp?Leg=383;https://www.njsendems.org/183/Angela-V-McKnight,https://ballotpedia.org/Angela_McKnight;https://en.wikipedia.org/wiki/Angela_V._McKnight;https://justfacts.votesmart.org/candidate/biography/156554/angela-mcknight;https://www.angelacares.org/about;https://www.linkedin.com/in/angela-v-mcknight-33992420;https://www.njleg.state.nj.us/api/legislatorData/legislatorBio/383;https://www.njleg.state.nj.us/downloads.asp;https://www.njleg.state.nj.us/legislative-roster;https://www.njleg.state.nj.us/legislative-roster/383/assemblywoman-mcknight;https://www.njleg.state.nj.us/legislative-roster/483/senator-mcknight;https://www.njleg.state.nj.us/members/abcroster.asp;https://www.njleg.state.nj.us/members/bio.asp?Leg=383;https://www.njleg.state.nj.us/members/BIO.asp?Leg=383;https://www.njsendems.org/183/Angela-V-McKnight,,,,"2324 John F. Kennedy Blvd., Jersey City, NJ 07304",201-360-2502,,,,,,
ocd-person/ec370db8-c51e-4022-9868-5cad9c38e97d,Annette Quijano,Democratic,20,lower,Annette,Quijano,Female,aswquijano@njleg.org,,1962-07-04,,https://www.njleg.state.nj.us/members/memberphotos/quijano_annette_2020.jpg,https://www.assemblydems.com/170/Annette-Quijano---District-20;https://www.assemblydems.com/annette-quijano/;https://www.njleg.state.nj.us/legislative-roster/309/assemblywoman-quijano;https://www.njleg.state.nj.us/members/bio.asp?Leg=309,https://ballotpedia.org/Annette_Quijano;https://en.wikipedia.org/wiki/Annette_Quijano;https://justfacts.votesmart.org/candidate/biography/110881/annette-quijano;https://www.assemblydems.com/170/Annette-Quijano---District-20;https://www.assemblydems.com/annette-quijano;https://www.linkedin.com/in/annette-quijano-58957a7;https://www.njleg.state.nj.us/api/legislatorData/legislatorBio/309;https://www.njleg.state.nj.us/downloads.asp;https://www.njleg.state.nj.us/legislative-roster;https://www.njleg.state.nj.us/legislative-roster/309/assemblywoman-quijano;https://www.njleg.state.nj.us/members/abcroster.asp;https://www.njleg.state.nj.us/members/bio.asp?Leg=309;https://www.njleg.state.nj.us/members/BIO.asp?Leg=309,,,,"985 Stuyvesant Ave., Union, NJ 07083",908-624-0880,,,,,,
ocd-person/21b098a3-5f30-40c7-9169-1d4b92402a99,Anthony Angelozzi,Democratic,8,lower,Anthony,Angelozzi,Male,asmangelozzi@njleg.org,,1985-05-08,,,https://njleg.state.nj.us/legislative-roster/502/assemblyman-angelozzi;https://www.assemblydems.com/398/Anthony-Angelozzi---District-8,https://ballotpedia.org/Anthony_Angelozzi;https://en.wikipedia.org/wiki/Anthony_Angelozzi;https://justfacts.votesmart.org/candidate/biography/211631/anthony-angelozzi;https://njleg.state.nj.us/legislative-roster/502/assemblyman-angelozzi;https://www.assemblydems.com/398/Anthony-Angelozzi---District-8;https://www.linkedin.com/in/anthonyangelozzi85,,,,"135 Jackson Road Suite 1B, Medford, NJ 08055",640-600-4279,,,,,,
