id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/be61f240-c0ad-4a98-8ad5-d30f4c5f4a06,Alan Martinez,Republican,23,lower,Alan,Martinez,Male,alan.martinez@nmlegis.gov,,1964-06-21,,https://www.nmlegis.gov/Images/Legislators/House/HMAAL.jpg,https://www.nmlegis.gov/Members/Legislator?SponCode=HMAAL,https://ballotpedia.org/Alan_Martinez_(New_Mexico);https://en.wikipedia.org/wiki/Alan_Martinez;https://www.linkedin.com/in/alanmartinez;https://www.nmlegis.gov/Members/Legislator?SponCode=HMAAL;https://www.nmlegis.gov/Members/Legislator_List?T=R,,,,"4132 Jackie Road SE, Rio Rancho, NM 87124",,,,,,,
ocd-person/c4caca3c-faa3-445f-91e0-cce9edd53a5a,Andi Reeb,Republican,64,lower,Andi,Reeb,Female,andrea.reeb@nmlegis.gov,,,,https://www.nmlegis.gov/Images/Legislators/House/HREEB.jpg,https://www.nmlegis.gov/Members/Legislator?SponCode=HREEB,https://andreareeb.com/meet-andrea;https://ballotpedia.org/Andrea_Reeb;https://en.wikipedia.org/wiki/Andrea_Reeb;https://www.nmlegis.gov/Members/Legislator?SponCode=HREEB;https://www.nmlegis.gov/Members/Legislator_List?T=R,,,,,,,,,,,
ocd-person/ed0ba54a-4fc3-4c50-aa0d-f74b1f0e86f6,Andrea Romero,Democratic,46,lower,Andrea,Romero,Female,andrea@andrearomero.com,,,,https://www.nmlegis.gov/Images/Legislators/House/HROAN.jpg,https://www.linkedin.com/in/andreadromero/;https://www.nmlegis.gov/Members/Legislator?SponCode=HROAN,https://ballotpedia.org/Andrea_Romero;https://en.wikipedia.org/wiki/Andrea_Romero;https://justfacts.votesmart.org/candidate/biography/180803/andrea-romero;https://www.linkedin.com/in/andreadromero;https://www.nmlegis.gov/Members/Legislator?SponCode=HROAN;https://www.nmlegis.gov/Members/Legislator_List?T=R,,,,,,,aromero_nm,,andrearomero_nm46,andrearomeronm46,
ocd-person/948ee9a0-a718-46f1-a1fe-35eb97f01fad,Angel Charley,Democratic,30,upper,Angel,Charley,Female,angel.charley@nmlegis.gov,,,,https://images.squarespace-cdn.com/content/v1/65a92fa05202ee2b13428333/630e642f-dfc6-48c0-930b-c25b16d80e76/Headshot.jpg,https://www.nmlegis.gov/Members/Legislator?SponCode=SCHAR,https://ballotpedia.org/Angel_Charley;https://www.nmlegis.gov/Members/Legislator?SponCode=SCHAR,,,,,,,,,,,
ocd-person/ea2a9403-248c-4474-aea0-47b45265e0be,Angelica Rubio,Democratic,35,lower,Angelica,Rubio,Female,angelica.rubio@nmlegis.gov,,1979-05-30,,https://www.nmlegis.gov/Images/Legislators/House/HRUBI.jpg,https://www.linkedin.com/in/angelicarubio/;https://www.nmlegis.gov/Members/Legislator?SponCode=HRUBI;https://www.youtube.com/channel/UC2VFQSuJ2XNJylakavA0EMw,https://ballotpedia.org/Angelica_Rubio;https://en.wikipedia.org/wiki/Angelica_Rubio;https://justfacts.votesmart.org/candidate/biography/168321/angelica-rubio;https://www.linkedin.com/in/angelicarubio;https://www.nmlegis.gov/Members/Legislator?SponCode=HRUBI;https://www.nmlegis.gov/Members/Legislator_List?T=R,,,,,,,anrubio,,roguerubio,RubioNM35,
ocd-person/75986bbd-3629-4520-a770-f86c46f423ab,Angelita Mejia,Republican,58,lower,Angelita,Mejia,Female,angelita.mejia@nmlegis.gov,,,,https://bloximages.newyork1.vip.townnews.com/rdrnews.com/content/tncms/assets/v3/editorial/5/0f/50f20b06-de3c-11ee-8fb3-1b97c5eaf40c/65ec9fd35dc59.image.jpg?resize=457%2C500,https://www.nmlegis.gov/Members/Legislator?SponCode=HMEAN,https://ballotpedia.org/Angelita_Mejia;https://en.wikipedia.org/wiki/Angelita_Mejia;https://www.nmlegis.gov/Members/Legislator?SponCode=HMEAN,,,,"1600 SE Main St. Suite G, Roswell, NM 88203",575-347-1778,,,,,,
ocd-person/ee127909-55b5-4854-b3c6-2e45e19b7156,Anita Gonzales,Democratic,70,lower,Anita,Gonzales,Female,anita.gonzales@nmlegis.gov,,,,https://anita4newmexico.com/wp-content/uploads/2024/02/Anita-ABOUT.jpg,https://www.nmlegis.gov/Members/Legislator?SponCode=HGOAN,https://ballotpedia.org/Anita_Gonzales;https://www.linkedin.com/in/anita-gonzales-1a07a645;https://www.nmlegis.gov/Members/Legislator?SponCode=HGOAN,,,,"500 Douglas Ave., Las Vegas, NM 87701",,,,,,,
ocd-person/02d806fd-fb8f-4d66-b9b8-6dacd2bd9656,Ant Thornton,Republican,19,upper,Ant,Thornton,Male,anthony.thornton@nmlegis.gov,,,,https://antthorntonfornm.com/wp-content/uploads/2024/02/Ant-Thornton-768x768.jpg,https://www.nmlegis.gov/Members/Legislator?SponCode=STHOR,https://ballotpedia.org/Anthony_L._Thornton;https://www.linkedin.com/in/anthony-%E2%80%9Cant%E2%80%9D-thornton-25b2347;https://www.nmlegis.gov/Members/Legislator?SponCode=STHOR,,,,"12165 N. Highway 14 Unit B-10, Cedar Crest, NM 87008",,,,,,,
ocd-person/3dcac810-1d9b-4a4d-9e82-8b6e49eba735,Antoinette Sedillo Lopez,Democratic,16,upper,Antoinette,Sedillo Lopez,Female,a.sedillolopez@nmlegis.gov,,,,https://www.nmlegis.gov/Images/Legislators/Senate/SSEDI.jpg,https://www.linkedin.com/in/antoinette-sedillo-lopez-ab3a5014/;https://www.nmlegis.gov/Members/Legislator?SponCode=SSEDI;https://www.youtube.com/channel/UCbdMb0StJwEM_P5WXsx0w7Q,https://ballotpedia.org/Antoinette_Sedillo_Lopez;https://en.wikipedia.org/wiki/Antoinette_Sedillo_Lopez;https://www.linkedin.com/in/antoinette-sedillo-lopez-ab3a5014;https://www.nmlegis.gov/Members/Legislator?SponCode=SSEDI;https://www.nmlegis.gov/Members/Legislator_List?T=S,,,,,,,asl4justice4all,,antoinetteforjustice,NMStateSenatorAntoinetteSedilloLopezNMSD16,
ocd-person/2913173a-2bfe-4474-8bdc-d145f868c4de,Moe Maestas,Democratic,26,upper,Moe,Maestas,Male,antonio.maestas@nmlegis.gov,,1968-07-06,,https://www.nmlegis.gov/Images/Legislators/Senate/SMAEM.jpg,https://nmlegis.gov/Members/Legislator?SponCode=smaem;https://www.linkedin.com/in/antonio-moe%E2%80%8B-maestas-1262466/;https://www.nmlegis.gov/Members/Legislator?SponCode=HMAES;https://www.nmlegis.gov/Members/Legislator?SponCode=SMAEM;https://www.youtube.com/channel/UC7G5hJOY0O8otO1RpJtszSQ,https://ballotpedia.org/Antonio_Maestas;https://en.wikipedia.org/wiki/Moe_Maestas;https://moejustice.com;https://nmlegis.gov/Members/Legislator?SponCode=smaem;https://www.linkedin.com/in/antonio-moe​-maestas-1262466;https://www.nmlegis.gov/Members/Legislator?SponCode=HMAES;https://www.nmlegis.gov/Members/Legislator?SponCode=SMAEM;https://www.nmlegis.gov/Members/Legislator_List?T=R;https://www.nmlegis.gov/Members/Legislator_List?T=S,,,,,,,RepMoe,,,repmoe,
