id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/0c6a7bcf-e990-41a0-b59c-923f05771880,Adam Bird,Republican,63,lower,Adam,Bird,Male,rep63@ohiohouse.gov,,,,https://www.legislature.ohio.gov/assets/people/adam-c-bird/headshots/thumbnails/medium/adam-c-bird-january-2023-headshot_medium.jpg,https://ohiohouse.gov/adam-c-bird;https://ohiohouse.gov/members/adam-c-bird,https://ballotpedia.org/Adam_Bird;https://en.wikipedia.org/wiki/Adam_Bird;https://justfacts.votesmart.org/candidate/biography/189482/adam-bird;https://ohiohouse.gov/members/adam-c-bird;https://www.legislature.ohio.gov/legislators/house-directory,,,,,,,,,,,
ocd-person/78912d95-3dac-4487-810a-74be41508ebb,Adam Holmes,Republican,97,lower,Adam,Holmes,Male,rep97@ohiohouse.gov,,1967-07-31,,https://www.legislature.ohio.gov/assets/people/adam-holmes/headshots/thumbnails/medium/adam-holmes-january-2021-headshot_medium.jpg,https://ohiohouse.gov/adam-holmes;https://www.ohiohouse.gov/adam-holmes;https://www.ohiohouse.gov/members/adam-holmes,https://ballotpedia.org/Adam_Holmes;https://en.wikipedia.org/wiki/Adam_Holmes;https://justfacts.votesmart.org/candidate/biography/186245/adam-holmes;https://ohiohouse.gov/adam-holmes;https://ohiohouse.gov/members/adam-holmes;https://www.legislature.ohio.gov/legislators/house-directory;https://www.linkedin.com/in/adamholmes2016;https://www.ohiohouse.gov/members/adam-holmes;https://www.ohiohouse.gov/members/member-directory,,,,,,,,,,,
ocd-person/b04e2962-e7c6-46b8-9a99-d7a6d3a32717,Adam Mathews,Republican,56,lower,Adam,Mathews,Male,rep56@ohiohouse.gov,,1988-01-07,,https://www.legislature.ohio.gov/assets/people/adam-mathews/headshots/thumbnails/medium/adam-mathews-january-2023-headshot_medium.jpg,https://www.ohiohouse.gov/members/adam-mathews,https://ballotpedia.org/Adam_Mathews;https://en.wikipedia.org/wiki/Adam_Mathews;https://ohiohouse.gov/members/adam-mathews;https://www.legislature.ohio.gov/legislators/house-directory;https://www.linkedin.com/in/adamfmathews;https://www.ohiohouse.gov/members/adam-mathews,,,,,,,,,,,
ocd-person/6a1fc3b1-ebfd-47b7-adec-ddcd84d137c9,Al Cutrona,Republican,33,upper,Al,Cutrona,Male,sd33@ohiosenate.gov,,,,https://www.legislature.ohio.gov/assets/people/al-cutrona/headshots/thumbnails/medium/al-cutrona-february-2023-headshot_medium.jpg,https://ohiohouse.gov/al-cutrona;https://www.ohiohouse.gov/members/al-cutrona;https://www.ohiosenate.gov/members/al-cutrona,https://ballotpedia.org/Alessandro_Cutrona;https://en.wikipedia.org/wiki/Alessandro_Cutrona;https://ohiohouse.gov/al-cutrona;https://ohiohouse.gov/members/al-cutrona;https://www.legislature.ohio.gov/legislators/house-directory;https://www.ohiohouse.gov/members/al-cutrona;https://www.ohiosenate.gov/members/al-cutrona,,,,,,,,,,,
ocd-person/debec71d-fcfb-4422-9c9e-c6a8709cbb3a,Al Landis,Republican,31,upper,Al,Landis,Male,sd31@ohiosenate.gov,,1954-11-02,,https://www.legislature.ohio.gov/assets/people/al-landis/headshots/thumbnails/medium/al-landis-may-2023-headshot_medium.jpg,https://ohiosenate.gov/members/al-landis,https://ballotpedia.org/Al_Landis;https://en.wikipedia.org/wiki/Al_Landis;https://justfacts.votesmart.org/candidate/biography/120624/al-landis;https://ohiosenate.gov/members/al-landis;https://www.legislature.ohio.gov/legislators/senate-directory,,,,,,,,,,,
ocd-person/07c054e9-9a51-41b2-994a-8f63b0148d07,Andrea White,Republican,36,lower,Andrea,White,Female,rep36@ohiohouse.gov,,,,https://www.legislature.ohio.gov/assets/people/andrea-white/headshots/thumbnails/medium/andrea-white-march-2023-headshot_medium.jpg,https://ohiohouse.gov/andrea-white;https://ohiohouse.gov/members/andrea-white,https://ballotpedia.org/Andrea_White;https://en.wikipedia.org/wiki/Andrea_White_(politician);https://justfacts.votesmart.org/candidate/189450/andrea-white;https://ohiohouse.gov/andrea-white;https://ohiohouse.gov/members/andrea-white;https://www.legislature.ohio.gov/legislators/house-directory;https://www.linkedin.com/in/andrea-white-99104b18a,,,,,,,,,,,
ocd-person/c61c8eaf-1de9-419d-a5dc-c96787315578,Andrew Brenner,Republican,19,upper,Andrew,Brenner,Male,sd19@ohiosenate.gov,,1971-01-14,,https://www.legislature.ohio.gov/assets/people/andrew-o-brenner/headshots/thumbnails/medium/andrew-o-brenner-may-2023-headshot_medium.jpg,https://www.ohiosenate.gov/members/andrew-o-brenner;https://www.ohiosenate.gov/senators/brenner,https://ballotpedia.org/Andrew_Brenner;https://en.wikipedia.org/wiki/Andrew_Brenner;https://justfacts.votesmart.org/candidate/biography/120481/andrew-brenner;https://ohiosenate.gov/members/andrew-o-brenner;https://www.legislature.ohio.gov/legislators/senate-directory;https://www.linkedin.com/in/andrew-brenner-4471316;https://www.linkedin.com/in/andrew-brenner-a44714309;https://www.ohiosenate.gov/members/andrew-o-brenner;https://www.ohiosenate.gov/senators,,,,,,,,,,,
ocd-person/4ed8184a-01ff-4bdc-a06c-cbf8b4c73fd6,Angie King,Republican,84,lower,Angie,King,Female,rep84@ohiohouse.gov,,,,https://www.legislature.ohio.gov/assets/people/angela-n-king/headshots/thumbnails/medium/angela-n-king-january-2023-headshot_medium.jpg,https://www.ohiohouse.gov/members/angela-n-king,https://ballotpedia.org/Angela_King;https://en.wikipedia.org/wiki/Angela_King_(Ohio_politician);https://ohiohouse.gov/members/angela-n-king;https://www.legislature.ohio.gov/legislators/house-directory;https://www.linkedin.com/in/angie-king-mba-2430523;https://www.ohiohouse.gov/members/angela-n-king,,,,,,,,,,,
ocd-person/3bfe0748-5423-4fcf-9962-905d2b747f23,Anita Somani,Democratic,8,lower,Anita,Somani,Female,rep08@ohiohouse.gov,,,,https://www.legislature.ohio.gov/assets/people/anita-somani/headshots/thumbnails/medium/anita-somani-january-2023-headshot_medium.jpg,https://www.ohiohouse.gov/members/anita-somani,https://ballotpedia.org/Anita_Somani;https://en.wikipedia.org/wiki/Anita_Somani;https://justfacts.votesmart.org/candidate/biography/210315/anita-somani;https://ohiohouse.gov/members/anita-somani;https://www.legislature.ohio.gov/legislators/house-directory;https://www.linkedin.com/in/anita-somani-5a64942a;https://www.ohiohouse.gov/members/anita-somani,,,,,,,,,,,
ocd-person/6d39391d-7068-4ad3-866d-4ee59890ce6e,Ashley Bryant Bailey,Democratic,26,lower,Ashley,Bryant Bailey,Female,rep26@ohiohouse.gov,,,,,https://ohiohouse.gov/members/ashley-bryant-bailey,https://ashleybryantbailey.com;https://ballotpedia.org/Ashley_Bryant_Bailey;https://ohiohouse.gov/members/ashley-bryant-bailey;https://www.linkedin.com/in/ashleylbryant,,,,,,,,,,,
