id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/78900b72-692c-4b5f-ac8b-290577d6abd4,Aaron Reinhardt,Republican,37,upper,Aaron,Reinhardt,Male,aaron.reinhardt@oksenate.gov,,,,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Aaron_Reinhardt_20241023_121244.jpeg,https://oksenate.gov/senators/aaron-reinhardt,https://ballotpedia.org/Aaron_Reinhardt;https://en.wikipedia.org/wiki/Aaron_Reinhardt;https://justfacts.votesmart.org/candidate/biography/216446/aaron-reinhardt;https://oksenate.gov/senators/aaron-reinhardt;https://www.linkedin.com/in/aaron-reinhardt-5b7a6949,,,,,,,,,,,
ocd-person/7e356581-ff96-4e5d-b6bc-94b3c8e0005c,Adam Pugh,Republican,41,upper,Adam,Pugh,Male,pugh@oksenate.gov,,1977-10-12,,https://oksenate.gov/sites/default/files/pugh.jpg,https://oksenate.gov/contact-senator?sid=1899;https://oksenate.gov/senators/adam-pugh;https://oksenate.gov/Senators/biographies/pugh_bio.aspx,https://ballotpedia.org/Adam_Pugh;https://en.wikipedia.org/wiki/Adam_Pugh;https://justfacts.votesmart.org/candidate/biography/152400/adam-pugh;https://oksenate.gov/senators/adam-pugh;https://oksenate.gov/Senators/biographies/pugh_bio.aspx;https://oksenate.gov/Senators/biographies/pugh_bio.html;https://www.linkedin.com/in/adam-pugh-29411614b,,,,,,,,,,,
ocd-person/a91af3e5-8f27-4aa3-9c5d-6166eeb7ec8a,Aletia Timmons,Democratic,97,lower,Aletia,Timmons,Female,aletia.timmons@okhouse.gov,,,,,https://www.okhouse.gov/representatives/aletia-timmons,https://ballotpedia.org/Aletia_Haynes_Timmons;https://en.wikipedia.org/wiki/Aletia_Timmons;https://justfacts.votesmart.org/candidate/biography/223236/aletia-timmons;https://www.linkedin.com/in/aletia-timmons-0a2270329;https://www.okhouse.gov/representatives/aletia-timmons,,,,,,,,,,,
ocd-person/0e3e261d-437a-4e04-8328-70adb16c82d9,Ally Seifried,Republican,2,upper,Ally,Seifried,Female,alexandra.seifried@oksenate.gov,,1992-09-27,,https://oksenate.gov/sites/default/files/Seifried%2C%20Ally%20Flags%202022.jpg,https://oksenate.gov/contact-senator?sid=1523279;https://oksenate.gov/senators/ally-seifried,https://ballotpedia.org/Ally_Seifried;https://en.wikipedia.org/wiki/Ally_Seifried;https://justfacts.votesmart.org/candidate/biography/206325/ally-seifried;https://oksenate.gov/senators/ally-seifried;https://www.linkedin.com/in/allywarren,,,,,,,,,,,
ocd-person/8dac97e3-d74f-4f58-bb7d-83412600975f,Amanda Clinton,Democratic,71,lower,Amanda,Clinton,Female,amanda.clinton@okhouse.gov,,,,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Amanda_Clinton_20250516_045055.png,https://www.okhouse.gov/representatives/amanda-clinton,https://ballotpedia.org/Amanda_Clinton;https://en.wikipedia.org/wiki/Amanda_Clinton;https://justfacts.votesmart.org/candidate/biography/221528/amanda-clinton;https://www.linkedin.com/in/amandaclinton;https://www.okhouse.gov/representatives/amanda-clinton,,,,,,,,,,,
ocd-person/987fd457-5b14-4300-95f1-e92f7cd5f748,Andy Fugate,Democratic,94,lower,Andy,Fugate,Male,andy.fugate@okhouse.gov,,1966-08-10,,"https://www.okhouse.gov/Members/Pictures/HiRes/Fugate,%20Andy.jpg",https://www.okhouse.gov/Members/Contact.aspx?District=94;https://www.okhouse.gov/Members/District.aspx?District=94;https://www.okhouse.gov/representatives/andy-fugate,https://ballotpedia.org/Andy_Fugate;https://en.wikipedia.org/wiki/Andy_Fugate;https://justfacts.votesmart.org/candidate/182072/andy-fugate;https://www.linkedin.com/in/andy-fugate-19b0a29;https://www.okhouse.gov/Members/Default.aspx;https://www.okhouse.gov/Members/District.aspx?District=94;https://www.okhouse.gov/representatives/andy-fugate,,,,,,,,,,,
ocd-person/3a5828d9-b8bf-491c-adfe-19f5331d1e20,Annie Menz,Democratic,45,lower,Annie,Menz,Female,annie.menz@okhouse.gov,,,,"https://www.okhouse.gov/Members/Pictures/HiRes/Menz,%20Annie.jpg",https://www.okhouse.gov/Members/Contact.aspx?District=45;https://www.okhouse.gov/representatives/annie-menz,https://ballotpedia.org/Annie_Menz;https://en.wikipedia.org/wiki/Annie_Menz;https://justfacts.votesmart.org/candidate/biography/206384/annie-menz;https://www.okhouse.gov/representatives/annie-menz,,,,,,,,,,,
ocd-person/c1f71291-89c1-4109-a15c-2483743d333a,Anthony Moore,Republican,57,lower,Anthony,Moore,Male,anthony.moore@okhouse.gov,,,,"https://www.okhouse.gov/Members/Pictures/HiRes/Moore,%20Anthony.jpg",https://www.okhouse.gov/Members/Contact.aspx?District=57;https://www.okhouse.gov/representatives/anthony-moore,https://ballotpedia.org/Anthony_Moore;https://en.wikipedia.org/wiki/Anthony_Moore_(politician);https://justfacts.votesmart.org/candidate/biography/192125/anthony-moore;https://www.linkedin.com/in/anthony-moore-587bb8100;https://www.okhouse.gov/representatives/anthony-moore,,,,,,,,,,,
ocd-person/4d0b52d3-ad1f-45c9-b46e-3676194ef82c,Arturo Alonso,Democratic,89,lower,Arturo,Alonso,Male,arturo.alonso@okhouse.gov,,,,"https://www.okhouse.gov/Members/Pictures/HiRes/Alonso,%20Arturo.jpg",https://www.okhouse.gov/Members/Contact.aspx?District=89;https://www.okhouse.gov/representatives/arturo-alonsosandoval,https://ballotpedia.org/Arturo_Alonso-Sandoval;https://en.wikipedia.org/wiki/Arturo_Alonso;https://www.linkedin.com/in/alonsoarturo;https://www.okhouse.gov/representatives/arturo-alonsosandoval,,,,,,,,,,,
ocd-person/f2bc8c9d-050a-4531-84eb-1f233ad7042a,Avery Frix,Republican,9,upper,Avery,Frix,Male,avery.frix@oksenate.gov,,1994-03-29,,"https://www.okhouse.gov/Members/Pictures/HiRes/Frix,%20Avery.jpg",https://oksenate.gov/senators/avery-frix;https://www.okhouse.gov/Members/Contact.aspx?District=13;https://www.okhouse.gov/Members/District.aspx?District=13,https://ballotpedia.org/Avery_Carl_Frix;https://en.wikipedia.org/wiki/Avery_Frix;https://justfacts.votesmart.org/candidate/biography/170752/avery-frix;https://oksenate.gov/senators/avery-frix;https://www.linkedin.com/in/avery-frix-795a4a58;https://www.okhouse.gov/Members/Default.aspx;https://www.okhouse.gov/Members/District.aspx?District=13,,,,,,,,,,,
