id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/d50dfedb-f016-4447-a258-a284a09cf36a,Ada Álvarez Conde,Partido Popular Democrático,At-Large,upper,Ada,Álvarez Conde,Female,aalvarez@senado.pr.gov,,1986-09-08,,,https://www.senado.pr.gov/hon-ada-m-%C3%A1lvarez-conde;https://www.senado.pr.gov/senators/hon-ada-m-%C3%A1lvarez-conde,https://ballotpedia.org/Ada_%C3%81lvarez_Conde;https://www.linkedin.com/in/ada-alvarez-conde-ph-d-b1897920;https://www.senado.pr.gov/hon-ada-m-%C3%A1lvarez-conde;https://www.senado.pr.gov/senators/hon-ada-m-%C3%A1lvarez-conde,,,,,,,,,,,
ocd-person/79ca9f1f-7684-470f-8590-a287e2240846,Adriana Gutiérrez Colón,Partido Independentista Puertorriqueño,At-Large,lower,Adriana,Gutiérrez Colón,Female,agutierrez@camara.pr.gov,,,,,https://camara.registrok12.com/team/adriana-gutierrez-colon/;https://www.camara.pr.gov/team/adriana-gutierrez-colon/,https://ballotpedia.org/Adriana_Guti%C3%A9rrez_Col%C3%B3n;https://camara.registrok12.com/team/adriana-gutierrez-colon;https://es.wikipedia.org/wiki/Adriana_Guti%C3%A9rrez_Col%C3%B3n;https://www.camara.pr.gov/team/adriana-gutierrez-colon,,,,,,,,,,,
ocd-person/f7c9b956-aed6-4512-9a3b-beb697170bb0,Adrián González Costa,Partido Independentista Puertorriqueño,At-Large,upper,Adrián,González Costa,Male,adgonzalez@senado.pr.gov,,1983-05-03,,,https://www.senado.pr.gov/adrian-gonzalez-costa;https://www.senado.pr.gov/senators/adri%C3%A1n-gonz%C3%A1lez-costa,https://ballotpedia.org/Adri%C3%A1n_Gonz%C3%A1lez_Costa;https://www.senado.pr.gov/adrian-gonzalez-costa;https://www.senado.pr.gov/senators/adri%C3%A1n-gonz%C3%A1lez-costa,,,,,,,,,,,
ocd-person/eae57c88-a659-4dab-86bb-874c4d5ec8b7,Brenda Pérez Soto,Partido Nuevo Progresista,3,upper,Brenda,Pérez Soto,Female,bperez@senado.pr.gov,,,,,https://www.senado.pr.gov/brenda-p%C3%A9rez-soto;https://www.senado.pr.gov/senators/brenda-p%C3%A9rez-soto,https://ballotpedia.org/Brenda_P%C3%A9rez_Soto;https://www.senado.pr.gov/brenda-p%C3%A9rez-soto;https://www.senado.pr.gov/senators/brenda-p%C3%A9rez-soto,,,,,,,,,,,
ocd-person/668ff3c6-68b5-4c95-b982-a03fd9c8b1a3,Johnny Méndez Núñez,Partido Nuevo Progresista,36,lower,Johnny,Méndez Núñez,Male,cmendez@camara.pr.gov,,1960-06-30,,https://www.camara.pr.gov/wp-content/uploads/2021/08/Carlos_Mendez_420px.jpg,https://camara.registrok12.com/team/carlos-johnny-mendez-nunez/;https://rfsp.eticapr.com/Busqueda;https://www.camara.pr.gov/team/carlos-johnny-mendez-nunez/;https://www.tucamarapr.org/dnncamara/ComposiciondelaCamara/biografia.aspx?rep=39,https://ballotpedia.org/Carlos_M%C3%A9ndez_N%C3%BA%C3%B1ez;https://camara.registrok12.com/team/carlos-johnny-mendez-nunez;https://en.wikipedia.org/wiki/Carlos_Johnny_M%C3%A9ndez;https://www.camara.pr.gov/page-team;https://www.camara.pr.gov/page-team/;https://www.camara.pr.gov/team/carlos-johnny-mendez-nunez;https://www.camara.pr.gov/team/carlos-johnny-mendez-nunez/;https://www.tucamarapr.org/dnncamara/ComposiciondelaCamara/Biografia.aspx;https://www.tucamarapr.org/dnncamara/ComposiciondelaCamara/biografia.aspx?rep=39,,,,,,,,,,,
ocd-person/bb7a8a74-faec-492d-87f7-a7e8d3c11ac3,Carmelo Ríos Santiago,Partido Nuevo Progresista,2,upper,Carmelo,Ríos Santiago,Male,crios@senado.pr.gov,,1973-05-21,,https://senado.pr.gov/document_vault/senator/17/FourYearPeriods/19/thumbnail/CARMELO%20R%C3%8DOS.jpg,https://senado.pr.gov/senators/hon-carmelo-j-r%C3%ADos-santiago;https://senado.pr.gov/senators/hon-carmelo-j-ríos-santiago;https://www.senado.pr.gov/hon-carmelo-j-r-os-santiago;https://www.senadopr.us/Pages/Senadores%20Distrito%20II.aspx,https://ballotpedia.org/Carmelo_R%C3%ADos_Santiago;https://en.wikipedia.org/wiki/Carmelo_R%C3%ADos_Santiago;https://senado.pr.gov/index.cfm?module=senadores;https://senado.pr.gov/senators/hon-carmelo-j-r%C3%ADos-santiago;https://senado.pr.gov/senators/hon-carmelo-j-ríos-santiago;https://www.senado.pr.gov/hon-carmelo-j-r-os-santiago;https://www.senadopr.us/Pages/Senadores%20Distrito%20II.aspx,,,,,,,,,,,
ocd-person/10eb7d99-1165-4a62-9972-f6dad97b4979,Carmen Medina Calderón,Partido Nuevo Progresista,37,lower,Carmen,Medina Calderón,Female,cmedina@camara.pr.gov,,,,,https://camara.registrok12.com/team/carmen-medina-calderon/;https://www.camara.pr.gov/team/carmen-medina-calderon/,https://ballotpedia.org/Carmen_Medina_Calder%C3%B3n;https://camara.registrok12.com/team/carmen-medina-calderon;https://www.camara.pr.gov/team/carmen-medina-calderon,,,,,,,,,,,
ocd-person/77ab4f8e-7665-428c-beb8-e10a0ff913ed,Chino Ocasio,Partido Nuevo Progresista,2,lower,Chino,Ocasio,Male,rocasio@camara.pr.gov,,,,,https://camara.registrok12.com/team/ricardo-chino-rey-ocasio-ramos/;https://www.camara.pr.gov/team/ricardo-chino-rey-ocasio-ramos/,https://ballotpedia.org/Ricardo_Rey_Ocasio_Ramos;https://camara.registrok12.com/team/ricardo-chino-rey-ocasio-ramos;https://www.camara.pr.gov/team/ricardo-chino-rey-ocasio-ramos;https://www.linkedin.com/in/ricardo-rey-ocasio-ramos-050129a6,,,,,,,,,,,
ocd-person/6dca879a-0c66-4642-90ea-3a8fc892b0d6,Chino Roque,Partido Nuevo Progresista,28,lower,Chino,Roque,Male,aroque@camara.pr.gov,,1983-07-21,,,https://camara.registrok12.com/team/axel-chino-roque-gracia/;https://www.camara.pr.gov/team/axel-chino-roque-gracia/;https://www.camara.pr.gov/team/axel-chino-roque/,https://ballotpedia.org/Axel_Roque_Gracia;https://camara.registrok12.com/team/axel-chino-roque-gracia;https://en.wikipedia.org/wiki/Axel_Roque;https://www.camara.pr.gov/team/axel-chino-roque;https://www.camara.pr.gov/team/axel-chino-roque-gracia,,,,,,,,,,,
ocd-person/6535f2df-5ecc-488b-bac4-6cb4126da9fc,Christian Muriel,Partido Nuevo Progresista,34,lower,Christian,Muriel,Male,cmuriel@camara.pr.gov,,,,,https://camara.registrok12.com/team/christian-muriel-sanchez/;https://www.camara.pr.gov/team/christian-muriel-sanchez/,https://ballotpedia.org/Christian_Muriel;https://camara.registrok12.com/team/christian-muriel-sanchez;https://www.camara.pr.gov/team/christian-muriel-sanchez,,,,,,,,,,,
