id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/340b7b78-4f07-49ef-8872-dab35cf48c5c,Shane Massey,Republican,25,upper,Shane,Massey,Male,shanemassey@scsenate.gov,,1975-06-28,,https://scstatehouse.gov/images/members/1185227131.jpg,https://scstatehouse.gov/member.php?code=1185227131;https://www.scstatehouse.gov/member.php?code=1185227131,https://ballotpedia.org/Shane_Massey;https://en.wikipedia.org/wiki/A._Shane_Massey;https://floodcoalition.org/members/shane-massey;https://justfacts.votesmart.org/candidate/biography/101903/shane-massey;https://scstatehouse.gov/member.php?chamber=S;https://scstatehouse.gov/member.php?code=1185227131;https://www.scstatehouse.gov/member.php?chamber=S;https://www.scstatehouse.gov/member.php?code=1185227131,,,,,,,,,,,
ocd-person/0970c995-247f-4cc0-b0a3-8ee4a0e4ebcb,Adam Duncan,Republican,2,lower,Adam,Duncan,Male,adamduncan@schouse.gov,,,,https://bloximages.chicago2.vip.townnews.com/upstatetoday.com/content/tncms/assets/v3/editorial/2/db/2dbe7f98-2879-11ef-8c0d-7356b5095dbe/66692c7a1bcf4.image.jpg?crop=1045%2C588%2C12%2C42&resize=1045%2C588&order=crop%2Cresize,https://www.scstatehouse.gov/member.php?code=0502272667,https://ballotpedia.org/Adam_Duncan;https://en.wikipedia.org/wiki/Adam_Lewis_Duncan;https://justfacts.votesmart.org/candidate/biography/216237/adam-duncan;https://www.scstatehouse.gov/member.php?code=0502272667,,,,,,,,,,,
ocd-person/52d28efd-d83d-4825-8572-c9e30b8d7c77,Allen Blackmon,Republican,27,upper,Allen,Blackmon,Male,allenblackmon@scsenate.gov,,1955-08-06,,https://scdailygazette.com/wp-content/uploads/2024/06/image000001-682x1024.jpg,https://www.scstatehouse.gov/member.php?code=0143749983,https://ballotpedia.org/Allen_Blackmon;https://en.wikipedia.org/wiki/Allen_Blackmon;https://justfacts.votesmart.org/candidate/biography/216214/allen-blackmon;https://www.scstatehouse.gov/member.php?code=0143749983,,,,,,,,,,,
ocd-person/86e53967-3383-4df1-b3b6-49aa2b327110,Annie McDaniel,Democratic,41,lower,Annie,McDaniel,Female,anniemcdaniel@schouse.gov,,1960-05-28,,https://scstatehouse.gov/images/members/1221590763.jpg,https://scstatehouse.gov/member.php?code=1221590763;https://www.scstatehouse.gov/member.php?code=1221590763,https://ballotpedia.org/Annie_McDaniel;https://en.wikipedia.org/wiki/Annie_McDaniel;https://justfacts.votesmart.org/candidate/48010/annie-mcdaniel;https://scstatehouse.gov/member.php?chamber=H;https://scstatehouse.gov/member.php?code=1221590763;https://www.linkedin.com/in/annie-mcdaniel-429a55;https://www.scstatehouse.gov/member.php?chamber=H;https://www.scstatehouse.gov/member.php?code=1221590763,,,,,,,,,,,
ocd-person/dbb8fc98-5116-44c4-8009-8c91e514dec1,April Cromer,Republican,6,lower,April,Cromer,Female,aprilcromer@schouse.gov,,1978-08-28,,https://scstatehouse.gov/images/members/0434090857.jpg,https://scstatehouse.gov/member.php?code=0434090857;https://www.scstatehouse.gov/member.php?code=0434090857,https://ballotpedia.org/April_Cromer;https://en.wikipedia.org/wiki/April_Cromer;https://justfacts.votesmart.org/candidate/biography/205385/april-cromer;https://scstatehouse.gov/member.php?chamber=H;https://scstatehouse.gov/member.php?code=0434090857;https://www.scstatehouse.gov/member.php?code=0434090857,,,,,,,,,,,
ocd-person/a45d8c37-372d-4d32-b9a5-cce96299ea3d,Beth Bernstein,Democratic,78,lower,Beth,Bernstein,Female,bethbernstein@schouse.gov,,1969-11-13,,https://scstatehouse.gov/images/members/0141477256.jpg,https://scstatehouse.gov/member.php?code=0141477256;https://www.scstatehouse.gov/member.php?code=0141477256,https://ballotpedia.org/Beth_Bernstein;https://en.wikipedia.org/wiki/Beth_Bernstein;https://justfacts.votesmart.org/candidate/biography/139541/beth-bernstein;https://scstatehouse.gov/member.php?chamber=H;https://scstatehouse.gov/member.php?code=0141477256;https://www.linkedin.com/in/beth-bernstein-6475a57;https://www.scstatehouse.gov/member.php?chamber=H;https://www.scstatehouse.gov/member.php?code=0141477256,,,,,,,,,,,
ocd-person/010940bd-8041-4f17-b425-5f42c8c07526,Bill Taylor,Republican,86,lower,Bill,Taylor,Male,billtaylor@schouse.gov,,1946-07-16,,https://scstatehouse.gov/images/members/1811363419.jpg,https://scstatehouse.gov/member.php?code=1811363419;https://www.scstatehouse.gov/member.php?code=1811363419,https://ballotpedia.org/Bill_Taylor_(South_Carolina);https://en.wikipedia.org/wiki/Bill_Taylor_(South_Carolina_politician);https://justfacts.votesmart.org/candidate/biography/121739/bill-taylor;https://scstatehouse.gov/member.php?chamber=H;https://scstatehouse.gov/member.php?code=1811363419;https://www.linkedin.com/in/bill-taylor-5b222219;https://www.scstatehouse.gov/member.php?chamber=H;https://www.scstatehouse.gov/member.php?code=1811363419,,,,,,,,,,,
ocd-person/898bb0dc-8dd1-4c29-b7a6-04f87c7cbd2d,Billy Garrett,Republican,10,upper,Billy,Garrett,Male,billygarrett@scsenate.gov,,1956-10-05,,https://scstatehouse.gov/images/members/0638636287.jpg,https://scstatehouse.gov/member.php?code=0638636287;https://www.scstatehouse.gov/member.php?code=0638636287,https://ballotpedia.org/Billy_Garrett_(South_Carolina);https://en.wikipedia.org/wiki/Billy_Garrett_(politician);https://justfacts.votesmart.org/candidate/191496/billy-garrett;https://scstatehouse.gov/member.php?chamber=S;https://scstatehouse.gov/member.php?code=0638636287;https://www.linkedin.com/in/billy-garrett-1aa86991;https://www.scstatehouse.gov/member.php?chamber=S;https://www.scstatehouse.gov/member.php?code=0638636287,,,,,,,,,,,
ocd-person/ddb2ac02-4d91-4379-8c8b-da2353f2163a,Blake Sanders,Republican,9,lower,Blake,Sanders,Male,blakesanders@schouse.gov,,1982-07-27,,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/BlakeSanders24.jpg,https://www.scstatehouse.gov/member.php?code=1624999805,https://ballotpedia.org/Blake_Sanders;https://en.wikipedia.org/wiki/Blake_Sanders;https://justfacts.votesmart.org/candidate/biography/216244/blake-sanders;https://www.linkedin.com/in/rblakesanders;https://www.scstatehouse.gov/member.php?code=1624999805,,,,,,,,,,,
ocd-person/16ba6021-423d-4b0d-b899-d2fe18778c12,Brad Hutto,Democratic,40,upper,Brad,Hutto,Male,bradhutto@scsenate.gov,,1957-08-06,,https://scstatehouse.gov/images/members/0912499891.jpg,https://scstatehouse.gov/member.php?code=0912499891;https://www.scstatehouse.gov/member.php?code=0912499891,https://ballotpedia.org/Brad_Hutto;https://en.wikipedia.org/wiki/Brad_Hutto;https://justfacts.votesmart.org/candidate/biography/11943/brad-hutto;https://scstatehouse.gov/member.php?chamber=S;https://scstatehouse.gov/member.php?code=0912499891;https://www.linkedin.com/in/brad-hutto-a7639b47;https://www.scstatehouse.gov/member.php?chamber=S;https://www.scstatehouse.gov/member.php?code=0912499891,,,,,,,,,,,
ocd-person/f89d05de-1f18-466c-bd51-f718a208407b,Brandon Guffey,Republican,48,lower,Brandon,Guffey,Male,brandonguffey@schouse.gov,,1980-01-29,,https://scstatehouse.gov/images/members/0730681731.jpg,https://scstatehouse.gov/member.php?code=0730681731;https://www.scstatehouse.gov/member.php?code=0730681731,https://ballotpedia.org/Brandon_Guffey;https://en.wikipedia.org/wiki/Brandon_Guffey;https://justfacts.votesmart.org/candidate/biography/205437/brandon-guffey;https://scstatehouse.gov/member.php?chamber=H;https://scstatehouse.gov/member.php?code=0730681731;https://www.linkedin.com/in/guffey;https://www.scstatehouse.gov/member.php?code=0730681731,,,,,,,,,,,
ocd-person/d09020dc-87bc-49b4-a039-2a2809ab88cc,Brandon Cox,Republican,92,lower,Brandon,Cox,Male,brandoncox@schouse.gov,,1974-12-14,,https://scstatehouse.gov/images/members/0428124949.jpg,https://scstatehouse.gov/member.php?code=0428124949;https://www.scstatehouse.gov/member.php?code=0428124949,https://ballotpedia.org/Brandon_Cox;https://en.wikipedia.org/wiki/Brandon_Cox_(politician);https://justfacts.votesmart.org/candidate/174486/brandon-cox;https://scstatehouse.gov/member.php?chamber=H;https://scstatehouse.gov/member.php?code=0428124949;https://www.linkedin.com/in/brandon-cox-18b28a4;https://www.scstatehouse.gov/member.php?code=0428124949,,,,,,,,,,,
