id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/dd3e49ca-2b2b-4a83-ae63-0ade6ccef73f,A.J. Louderback,Republican,30,lower,A.J.,Louderback,Male,aj.louderback@house.texas.gov,,,,https://house.texas.gov/images/members/4620.jpg?v=1,https://ajlouderback.com/;https://house.texas.gov/members/4620,https://ajlouderback.com;https://ballotpedia.org/A.J._Louderback;https://en.wikipedia.org/wiki/AJ_Louderback;https://house.texas.gov/members/4620;https://house.texas.gov/members/4620/biography;https://justfacts.votesmart.org/candidate/biography/201076/aj-louderback;https://www.linkedin.com/in/aj-louderback-b8bb4812a,,,,"5606 N. Navarro St. Suite 200-A, Victoria, TX 77904",361-582-9712,,,,,,
ocd-person/7f748f58-e6f2-4c86-ad01-52c7ca3435ca,Adam Hinojosa,Republican,27,upper,Adam,Hinojosa,Male,adam.hinojosa@senate.texas.gov,,,,https://senate.texas.gov/members/d27/img/Hinojosa_Adam-88-0913D-005-web.jpg,https://senate.texas.gov/member.php?d=27,https://ballotpedia.org/Adam_Hinojosa;https://en.wikipedia.org/wiki/Adam_Hinojosa;https://justfacts.votesmart.org/candidate/biography/201052/adam-hinojosa;https://senate.texas.gov/member.php?d=27;https://www.linkedin.com/in/electadamhinojosa,,,,"Webb Martinez Building 1324 E. Madison St., Brownsville, TX 78520",956-542-2211,,,,,,
ocd-person/c55d85ff-7172-42d4-9c8f-da2f258dc19b,Aicha Davis,Democratic,109,lower,Aicha,Davis,Female,aicha.davis@house.texas.gov,,,,https://www.house.texas.gov/images/members/4465.jpg?v=1,https://www.house.texas.gov/members/109,https://ballotpedia.org/Aicha_Davis;https://en.wikipedia.org/wiki/Aicha_Davis;https://justfacts.votesmart.org/candidate/biography/177375/aicha-davis;https://www.house.texas.gov/members/109;https://www.house.texas.gov/members/4465/biography;https://www.linkedin.com/in/aicha-davis-2b0a1a160,,,,,,,,,,,
ocd-person/1493b76f-b77d-48db-9ecd-26d0e2dfc843,Alan Schoolcraft,Republican,44,lower,Alan,Schoolcraft,Male,alan.schoolcraft@house.texas.gov,,,,https://house.texas.gov/images/members/4745.jpg?v=1,https://house.texas.gov/members/4745,https://ballotpedia.org/Alan_Schoolcraft;https://en.wikipedia.org/wiki/Alan_Schoolcraft;https://house.texas.gov/members/4745;https://house.texas.gov/members/4745/biography;https://justfacts.votesmart.org/candidate/biography/214546/alan-schoolcraft;https://www.linkedin.com/in/alan-schoolcraft-10315329,,,,,,,,,,,
ocd-person/2fd6fcd3-9676-42a4-b879-e317576ff18f,Alma Allen,Democratic,131,lower,Alma,Allen,Female,alma.allen@house.texas.gov,,1939-04-07,,https://house.texas.gov/images/members/2100.jpg?v=1,https://house.texas.gov/members/2100;https://house.texas.gov/members/member-page/?district=131,https://ballotpedia.org/Alma_Allen;https://en.wikipedia.org/wiki/Alma_Allen_(politician);https://house.texas.gov/members/2100;https://house.texas.gov/members/member-page/?district=131;https://justfacts.votesmart.org/candidate/biography/25503/alma-allen;https://www.linkedin.com/in/alma-allen-b2b28864,,,,"10101 Fondren Road Suite 500, Houston, TX 77096",713-776-0505,,,,,,
ocd-person/4f98520b-d88b-4053-acc5-3cb2fff14660,Ana Hernandez,Democratic,143,lower,Ana,Hernandez,Female,ana.hernandez@house.texas.gov,,1978-08-25,,https://house.texas.gov/images/members/3155.jpg?v=1,https://house.texas.gov/members/3155;https://house.texas.gov/members/member-page/?district=143,https://ballotpedia.org/Ana_Hernandez_Luna;https://en.wikipedia.org/wiki/Ana_Hernandez;https://house.texas.gov/members/3155;https://house.texas.gov/members/member-page/?district=143;https://justfacts.votesmart.org/candidate/biography/59301/ana-hernandez;https://www.linkedin.com/in/ana-hernandez-61459a2,,,,"1233 Mercury Drive, Houston, TX 77029",713-675-8596,,,,,,
ocd-person/7f893a20-0547-4ad9-9a94-1084a9ef6469,Ana-Maria Rodriguez Ramos,Democratic,102,lower,Ana-Maria,Rodriguez Ramos,Female,ana-maria.ramos@house.texas.gov,,1976-06-16,,https://house.texas.gov/images/members/3735.jpg?v=1,https://house.texas.gov/members/3735;https://house.texas.gov/members/member-page/?district=102;https://www.repanamaria.com/;https://www.texasrepramos.com/,https://ballotpedia.org/Ana-Maria_Ramos;https://en.wikipedia.org/wiki/Ana-Maria_Ramos;https://house.texas.gov/members/3735;https://house.texas.gov/members/3735/biography;https://house.texas.gov/members/member-page/?district=102;https://justfacts.votesmart.org/candidate/biography/177509/ana-maria-ramos;https://www.linkedin.com/in/ana-maria-ramos-20a18b11b;https://www.repanamaria.com;https://www.texasrepramos.com,,,,,,,,,,,
ocd-person/ee8cc382-84b7-47e3-824f-e05cf6455161,Andy Hopper,Republican,64,lower,Andy,Hopper,Male,andy.hopper@house.texas.gov,,,,https://www.house.texas.gov/images/members/4555.jpg?v=1,https://www.house.texas.gov/members/64,https://ballotpedia.org/Andy_Hopper;https://en.wikipedia.org/wiki/Andy_Hopper_(politician);https://justfacts.votesmart.org/candidate/biography/195311/andy-hopper;https://www.house.texas.gov/members/4555/biography;https://www.house.texas.gov/members/64;https://www.linkedin.com/in/ad4ct,,,,"204 W. Walnut St., Decatur, TX 76234",940-503-2046,,,,,,
ocd-person/895887ba-73cd-4321-827d-bb06d4eedfdf,Angela Paxton,Republican,8,upper,Angela,Paxton,Female,angela.paxton@senate.texas.gov,,,,https://senate.texas.gov/members/d08/img/Paxton_2019.jpg,https://senate.texas.gov/member.php?d=8,https://ballotpedia.org/Angela_Paxton;https://en.wikipedia.org/wiki/Angela_Paxton;https://justfacts.votesmart.org/candidate/biography/177576/angela-paxton;https://senate.texas.gov/member.php?d=8;https://www.linkedin.com/in/angela-paxton-b2778157,,,,"604 S. Watters Road Suite 100, Allen, TX 75013",972-908-3424,,,,,,
ocd-person/aa0d12c3-c318-4c97-a0d4-c63795ec50d9,Angelia Orr,Republican,13,lower,Angelia,Orr,Female,angelia.orr@house.texas.gov,,1969-10-03,,https://house.texas.gov/images/members/4340.jpg?v=1,https://house.texas.gov/members/4340;https://house.texas.gov/members/member-page/?district=13,https://ballotpedia.org/Angelia_Orr;https://en.wikipedia.org/wiki/Angelia_Orr;https://house.texas.gov/members/4340;https://house.texas.gov/members/4340/biography;https://house.texas.gov/members/member-page/?district=13;https://justfacts.votesmart.org/candidate/201213/angelia-orr;https://www.linkedin.com/in/angelia-orr-b40074135,,,,"214 E. Elm St., Hillsboro, TX 76645",254-580-9008,,,,,,
