id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/4a329580-86d3-4db3-915e-9f1af71e0a5a,Aaron Rouse,Democratic,22,upper,Aaron,Rouse,Male,district07@senate.virginia.gov,,1984-01-08,,https://apps.senate.virginia.gov/Senator/images/member_photos/Rouse22,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S113;https://lis.virginia.gov/cgi-bin/legp604.exe?241+mbr+S113,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S113;https://ballotpedia.org/Aaron_Rouse;https://en.wikipedia.org/wiki/Aaron_Rouse;https://justfacts.votesmart.org/candidate/biography/186682/aaron-rouse;https://lis.virginia.gov/cgi-bin/legp604.exe?241+mbr+S113;https://www.linkedin.com/in/senator-aaron-rouse-222386147,,,,,,,,,,,
ocd-person/d0de7acb-ce8d-4bb2-b6e5-99cefe5e76a6,Adele McClure,Democratic,2,lower,Adele,McClure,Female,delamcclure@house.virginia.gov,,,,https://memdata.virginiageneralassembly.gov/images/display_image/H0375,https://house.vga.virginia.gov/members/H0375;https://lis.virginia.gov/cgi-bin/legp604.exe?241+mbr+H375;https://virginiageneralassembly.gov/house/members/members.php?id=H0375,https://ballotpedia.org/Adele_McClure;https://en.wikipedia.org/wiki/Adele_McClure;https://house.vga.virginia.gov/members/H0375;https://justfacts.votesmart.org/candidate/biography/212037/adele-mcclure;https://lis.virginia.gov/cgi-bin/legp604.exe?241+mbr+H375;https://virginiageneralassembly.gov/house/members/members.php?id=H0375;https://www.linkedin.com/in/adele-mcclure-806b8b60;https://www.linkedin.com/in/delegate-adele-mcclure-806b8b60,,,,,,,,,,,
ocd-person/3a48fc34-a650-4fd5-acea-e703e2b8de90,Alex Askew,Democratic,95,lower,Alex,Askew,Male,delaaskew@house.virginia.gov,,,,https://memdata.virginiageneralassembly.gov/images/display_image/H0311,https://house.vga.virginia.gov/members/H0311;https://lis.virginia.gov/cgi-bin/legp604.exe?241+mbr+H311;https://virginiageneralassembly.gov/house/members/members.php?id=H0311,https://ballotpedia.org/Alex_Askew;https://en.wikipedia.org/wiki/Alex_Askew;https://house.vga.virginia.gov/members/H0311;https://justfacts.votesmart.org/candidate/biography/186776/alex-askew;https://lis.virginia.gov/cgi-bin/legp604.exe?241+mbr+H311;https://virginiageneralassembly.gov/house/members/members.php?id=H0311;https://www.linkedin.com/in/askew757,,,,,,,,,,,
ocd-person/ed935430-db59-4962-91f7-c0eeca2ef8e2,Alfonso Lopez,Democratic,3,lower,Alfonso,Lopez,Male,delalopez@house.virginia.gov,,1970-07-28,,https://memdata.virginiageneralassembly.gov/images/display_image/H0239,https://house.vga.virginia.gov/members/H0239;https://lis.virginia.gov/cgi-bin/legp604.exe?191+mbr+H239;https://lis.virginia.gov/cgi-bin/legp604.exe?201+mbr+H239;https://lis.virginia.gov/cgi-bin/legp604.exe?221+mbr+H239;https://lis.virginia.gov/cgi-bin/legp604.exe?241+mbr+H239;https://virginiageneralassembly.gov/house/members/members.php?id=H0239;https://www.alfonsolopez.org/,https://ballotpedia.org/Alfonso_Lopez;https://en.wikipedia.org/wiki/Alfonso_H._Lopez;https://house.vga.virginia.gov/members/H0239;https://justfacts.votesmart.org/candidate/biography/134512/alfonso-lopez;https://lis.virginia.gov/191/mbr/MBR.HTM;https://lis.virginia.gov/201/mbr/MBR.HTM;https://lis.virginia.gov/cgi-bin/legp604.exe?191+mbr+H239;https://lis.virginia.gov/cgi-bin/legp604.exe?201+mbr+H239;https://lis.virginia.gov/cgi-bin/legp604.exe?221+mbr+H239;https://lis.virginia.gov/cgi-bin/legp604.exe?241+mbr+H239;https://virginiageneralassembly.gov/house/members/members.php?id=H0239;https://www.alfonsolopez.org;https://www.alfonsolopez.org/about-alfonso;https://www.linkedin.com/in/alfonso-lopez-1a102b12,,,,,,,Lopez4VA,,,Lopez4VA,
ocd-person/7e0776e4-a915-4758-a7b3-70ca42ce3fe4,Amy Laufer,Democratic,55,lower,Amy,Laufer,Female,delalaufer@house.virginia.gov,,1972-05-13,,https://memdata.virginiageneralassembly.gov/images/display_image/H0371,https://house.vga.virginia.gov/members/H0371;https://lis.virginia.gov/cgi-bin/legp604.exe?241+mbr+H371;https://virginiageneralassembly.gov/house/members/members.php?id=H0371,https://ballotpedia.org/Amy_Laufer;https://en.wikipedia.org/wiki/Amy_Laufer;https://house.vga.virginia.gov/members/H0371;https://justfacts.votesmart.org/candidate/biography/186381/amy-laufer;https://lis.virginia.gov/cgi-bin/legp604.exe?241+mbr+H371;https://virginiageneralassembly.gov/house/members/members.php?id=H0371;https://www.linkedin.com/in/amyjlaufer,,,,"1186 Crozet Ave., Crozet, VA 22932",540-251-4603,,,,,,
ocd-person/7517f920-b2ba-4759-a80a-246816ebb09b,Andrew Rice,Republican,98,lower,Andrew,Rice,Male,delarice@house.virginia.gov,,,,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/AndrewRiceVA26.png,https://house.vga.virginia.gov/members/H0407,https://ballotpedia.org/Andrew_Rice_(Virginia);https://en.wikipedia.org/wiki/Andrew_Rice_(Virginia_politician);https://house.vga.virginia.gov/members/H0407;https://www.justice3d.com/team/andrew-rice;https://www.linkedin.com/in/andrew-rice-90117224,,,,,,,,,,,
ocd-person/f747c790-f609-4da1-b125-73f1807e1430,Angelia Graves,Democratic,21,upper,Angelia,Graves,Female,senatorwilliamsgraves@senate.virginia.gov,,1972-01-12,,https://apps.senate.virginia.gov/Senator/images/member_photos/Williams%20Graves21,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S130;https://lis.virginia.gov/cgi-bin/legp604.exe?221+mbr+H331;https://lis.virginia.gov/cgi-bin/legp604.exe?241+mbr+S130;https://virginiageneralassembly.gov/house/members/members.php?id=H0331,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S130;https://ballotpedia.org/Angelia_Williams_Graves;https://en.wikipedia.org/wiki/Angelia_Williams_Graves;https://justfacts.votesmart.org/candidate/biography/132686/angelia-williams-graves;https://lis.virginia.gov/cgi-bin/legp604.exe?221+mbr+H331;https://lis.virginia.gov/cgi-bin/legp604.exe?241+mbr+S130;https://virginiageneralassembly.gov/house/members/members.php?id=H0331;https://www.linkedin.com/in/homesbyangelia,,,,,,,AWGNorfolk,,,awgnorfolk,
ocd-person/9fd6fbd7-5e4e-4426-9d5a-43173ab01489,Anne Ferrell Tata,Republican,99,lower,Anne Ferrell,Tata,Female,delaftata@house.virginia.gov,,,,https://house.vga.virginia.gov/delegate_photos/H0345.jpg,https://house.vga.virginia.gov/members/H0345;https://lis.virginia.gov/cgi-bin/legp604.exe?221+mbr+H345;https://lis.virginia.gov/cgi-bin/legp604.exe?241+mbr+H345;https://virginiageneralassembly.gov/house/members/members.php?id=H0345,https://ballotpedia.org/Anne_Ferrell_Tata;https://en.wikipedia.org/wiki/Anne_Ferrell_Tata;https://house.vga.virginia.gov/members/H0345;https://justfacts.votesmart.org/candidate/biography/196383/anne-tata;https://lis.virginia.gov/cgi-bin/legp604.exe?221+mbr+H345;https://lis.virginia.gov/cgi-bin/legp604.exe?241+mbr+H345;https://virginiageneralassembly.gov/house/members/members.php?id=H0345;https://www.linkedin.com/in/anne-ferrell-tata-7996605,,,,,,,,,,,
ocd-person/38f25fcb-2f54-411a-84d5-2d1f748d4183,Atoosa Reaser,Democratic,27,lower,Atoosa,Reaser,Female,delareaser@house.virginia.gov,,,,https://memdata.virginiageneralassembly.gov/images/display_image/H0380,https://house.vga.virginia.gov/members/H0380;https://lis.virginia.gov/cgi-bin/legp604.exe?241+mbr+H380;https://virginiageneralassembly.gov/house/members/members.php?id=H0380,https://ballotpedia.org/Atoosa_Reaser;https://en.wikipedia.org/wiki/Atoosa_Reaser;https://house.vga.virginia.gov/members/H0380;https://justfacts.votesmart.org/candidate/biography/212060/atoosa-reaser;https://lis.virginia.gov/cgi-bin/legp604.exe?241+mbr+H380;https://virginiageneralassembly.gov/house/members/members.php?id=H0380;https://www.linkedin.com/in/atoosareaser,,,,,,,,,,,
ocd-person/72ecc30c-7175-4aef-9762-fda3ba5b451e,Barbara Favola,Democratic,40,upper,Barbara,Favola,Female,senatorfavola@senate.virginia.gov,,1955-06-21,,https://apps.senate.virginia.gov/Senator/images/member_photos/Favola40,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S86;https://barbarafavola.org/;https://lis.virginia.gov/cgi-bin/legp604.exe?191+mbr+S86;https://lis.virginia.gov/cgi-bin/legp604.exe?201+mbr+S86;https://lis.virginia.gov/cgi-bin/legp604.exe?221+mbr+S86;https://lis.virginia.gov/cgi-bin/legp604.exe?241+mbr+S86,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S86;https://ballotpedia.org/Barbara_Favola;https://barbarafavola.org;https://barbarafavola.org/biography;https://en.wikipedia.org/wiki/Barbara_Favola;https://justfacts.votesmart.org/candidate/biography/94043/barbara-favola;https://lis.virginia.gov/191/mbr/MBR.HTM;https://lis.virginia.gov/201/mbr/MBR.HTM;https://lis.virginia.gov/cgi-bin/legp604.exe?191+mbr+S86;https://lis.virginia.gov/cgi-bin/legp604.exe?201+mbr+S86;https://lis.virginia.gov/cgi-bin/legp604.exe?221+mbr+S86;https://lis.virginia.gov/cgi-bin/legp604.exe?241+mbr+S86;https://www.linkedin.com/in/barbara-favola-037a6b20,,,,,,,BarbaraFavola,,,BarbaraFavola,
