id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/90da5348-421e-435b-8458-67123462addf,Abbey Duke,Democratic,Chittenden-17,lower,Abbey,Duke,Female,aduke@leg.state.vt.us,,,,"https://legislature.vermont.gov/Documents/Legislators/Duke,%20Abbey.jpg",https://legislature.vermont.gov/people/single/2024/40324;https://legislature.vermont.gov/people/single/2026/40324,https://ballotpedia.org/Abbey_Duke;https://en.wikipedia.org/wiki/Abbey_Duke;https://legislature.vermont.gov/people/single/2024/40324;https://legislature.vermont.gov/people/single/2026/40324;https://www.linkedin.com/in/abbeyduke,,,,,,,,,,,
ocd-person/24194dba-4d25-4b8c-be33-8ff50fcd8a8f,Alice Emmons,Democratic,Windsor-3,lower,Alice,Emmons,Female,aemmons@leg.state.vt.us,,1955-02-14,,https://legislature.vermont.gov/Documents/Legislators/AEmmons.jpg,https://legislature.vermont.gov/Documents/SmallMaps/2022/House/Windsor-3.pdf;https://legislature.vermont.gov/Documents/SmallMaps/WDR-3-2.pdf;https://legislature.vermont.gov/people/single/2022/14512;https://legislature.vermont.gov/people/single/2024/14512;https://legislature.vermont.gov/people/single/2026/14512,https://ballotpedia.org/Alice_Emmons;https://en.wikipedia.org/wiki/Alice_Emmons;https://justfacts.votesmart.org/candidate/biography/5426/alice-emmons;https://legislature.vermont.gov/people/loadAll/2020;https://legislature.vermont.gov/people/loadAll/2022;https://legislature.vermont.gov/people/loadAll/2024;https://legislature.vermont.gov/people/single/2020/14512;https://legislature.vermont.gov/people/single/2022/14512;https://legislature.vermont.gov/people/single/2024/14512;https://legislature.vermont.gov/people/single/2026/14512,,,,,,,,,,,
ocd-person/6c87b7e7-0047-47a6-94b4-9232ac42175f,Alicia Malay,Republican,Rutland-8,lower,Alicia,Malay,Female,amalay@leg.state.vt.us,,,,https://bloximages.chicago2.vip.townnews.com/rutlandherald.com/content/tncms/assets/v3/editorial/7/95/7959f150-8bcd-11ef-875d-572c07042bb6/670fd1d93861f.image.jpg?resize=487%2C500,https://legislature.vermont.gov/people/single/2026/40427,https://ballotpedia.org/Alicia_Malay;https://legislature.vermont.gov/people/single/2026/40427;https://www.linkedin.com/in/alicia-malay-235bb6a1,,,,,,,,,,,
ocd-person/a366bc32-20d8-41a8-a2cf-939650b7a2c2,Alison Clarkson,Democratic,Windsor,upper,Alison,Clarkson,Female,aclarkson@leg.state.vt.us,,1955-04-26,,"https://legislature.vermont.gov/Documents/Legislators/Clarkson,Alison.jpg",https://legislature.vermont.gov/Documents/SmallMaps/2022/Senate/Windsor.pdf;https://legislature.vermont.gov/Documents/SmallMaps/WSRDIST.pdf;https://legislature.vermont.gov/people/single/2020/27152;https://legislature.vermont.gov/people/single/2022/27152;https://legislature.vermont.gov/people/single/2024/27152;https://legislature.vermont.gov/people/single/2026/27152,https://ballotpedia.org/Alison_Clarkson;https://en.wikipedia.org/wiki/Alison_H._Clarkson;https://justfacts.votesmart.org/candidate/biography/51164/alison-clarkson;https://legislature.vermont.gov/people/loadAll/2020;https://legislature.vermont.gov/people/loadAll/2022;https://legislature.vermont.gov/people/loadAll/2024;https://legislature.vermont.gov/people/single/2020/27152;https://legislature.vermont.gov/people/single/2022/27152;https://legislature.vermont.gov/people/single/2024/27152;https://legislature.vermont.gov/people/single/2026/27152,,,,,,,,,,,
ocd-person/cd4ceb1c-8960-4b10-b6f8-bd0b8ae0c68c,Alyssa Black,Democratic,Chittenden-24,lower,Alyssa,Black,Female,ablack@leg.state.vt.us,,,,"https://legislature.vermont.gov/Documents/Legislators/Black,Alyssa.jpg",https://legislature.vermont.gov/Documents/SmallMaps/2022/House/Chittenden-24.pdf;https://legislature.vermont.gov/Documents/SmallMaps/CHI-8-3.pdf;https://legislature.vermont.gov/people/single/2022/34710;https://legislature.vermont.gov/people/single/2024/34710;https://legislature.vermont.gov/people/single/2026/34710,https://ballotpedia.org/Alyssa_Black;https://en.wikipedia.org/wiki/Alyssa_Black;https://justfacts.votesmart.org/candidate/biography/194326/alyssa-black;https://legislature.vermont.gov/people/loadAll/2022;https://legislature.vermont.gov/people/loadAll/2024;https://legislature.vermont.gov/people/single/2022/34710;https://legislature.vermont.gov/people/single/2024/34710;https://legislature.vermont.gov/people/single/2026/34710,,,,,,,,,,,
ocd-person/f490d01d-80b7-40ae-9577-572bd1c8567a,Amy Sheldon,Democratic,Addison-1,lower,Amy,Sheldon,Female,asheldon@leg.state.vt.us,,1966-07-20,,"https://legislature.vermont.gov/Documents/Legislators/Sheldon,%20Amy.jpg",https://legislature.vermont.gov/Documents/SmallMaps/ADD-1.pdf;https://legislature.vermont.gov/people/single/2022/24022;https://legislature.vermont.gov/people/single/2024/24022;https://legislature.vermont.gov/people/single/2026/24022,https://ballotpedia.org/Amy_Sheldon;https://en.wikipedia.org/wiki/Amy_Sheldon;https://justfacts.votesmart.org/candidate/biography/154069/amy-sheldon;https://legislature.vermont.gov/people/loadAll/2020;https://legislature.vermont.gov/people/loadAll/2022;https://legislature.vermont.gov/people/single/2020/24022;https://legislature.vermont.gov/people/single/2022/24022;https://legislature.vermont.gov/people/single/2024/24022;https://legislature.vermont.gov/people/single/2026/24022;https://www.linkedin.com/in/amy-sheldon-95a2654,,,,,,,,,,,
ocd-person/1463485e-f279-44f6-a368-f75f213dc7cd,Andrew Perchlik,Democratic/Progressive,Washington,upper,Andrew,Perchlik,Male,aperchlik@leg.state.vt.us,,1968-06-03,,https://legislature.vermont.gov/Documents/Legislators/Perchlik.Andrew.jpg,https://legislature.vermont.gov/Documents/SmallMaps/WASDIST.pdf;https://legislature.vermont.gov/people/single/2022/30982;https://legislature.vermont.gov/people/single/2024/30982;https://legislature.vermont.gov/people/single/2026/30982,https://ballotpedia.org/Andrew_Perchlik;https://en.wikipedia.org/wiki/Andrew_Perchlik;https://justfacts.votesmart.org/candidate/biography/183725/andrew-perchlik;https://legislature.vermont.gov/people/loadAll/2020;https://legislature.vermont.gov/people/loadAll/2022;https://legislature.vermont.gov/people/single/2020/30982;https://legislature.vermont.gov/people/single/2022/30982;https://legislature.vermont.gov/people/single/2024/30982;https://legislature.vermont.gov/people/single/2026/30982;https://www.linkedin.com/in/andrew-perchlik-090328166,,,,,,,,,,,
ocd-person/91f08063-02d6-4167-aa23-bbfb2289bbf1,Angela Arsenault,Democratic,Chittenden-2,lower,Angela,Arsenault,Female,aarsenault@leg.state.vt.us,,,,"https://legislature.vermont.gov/Documents/Legislators/Arsenault,Angela.jpg",https://legislature.vermont.gov/Documents/SmallMaps/2022/House/Chittenden-19.pdf;https://legislature.vermont.gov/Documents/SmallMaps/2022/House/Chittenden-2.pdf;https://legislature.vermont.gov/people/single/2024/30952;https://legislature.vermont.gov/people/single/2024/37362;https://legislature.vermont.gov/people/single/2026/37362,https://ballotpedia.org/Angela_Arsenault;https://en.wikipedia.org/wiki/Angela_Arsenault;https://justfacts.votesmart.org/candidate/biography/207575/angela-arsenault;https://legislature.vermont.gov/people/loadAll/2024;https://legislature.vermont.gov/people/single/2024/30952;https://legislature.vermont.gov/people/single/2024/37362;https://legislature.vermont.gov/people/single/2026/37362;https://www.linkedin.com/in/angelaarsenault,,,,,,,,,,,
ocd-person/c34f492a-7cdf-4830-a28a-0ff2fe7c8f71,Ann Cummings,Democratic,Washington,upper,Ann,Cummings,Female,acummings@leg.state.vt.us,,1946-07-20,,"https://legislature.vermont.gov/Documents/Legislators/Cummings,Ann%20064.jpg",https://legislature.vermont.gov/Documents/SmallMaps/WASDIST.pdf;https://legislature.vermont.gov/people/single/2022/14604;https://legislature.vermont.gov/people/single/2024/14604;https://legislature.vermont.gov/people/single/2026/14604,https://ballotpedia.org/Ann_Cummings;https://en.wikipedia.org/wiki/Ann_Cummings;https://justfacts.votesmart.org/candidate/13256/ann-cummings;https://legislature.vermont.gov/people/loadAll/2020;https://legislature.vermont.gov/people/loadAll/2022;https://legislature.vermont.gov/people/single/2020/14604;https://legislature.vermont.gov/people/single/2022/14604;https://legislature.vermont.gov/people/single/2024/14604;https://legislature.vermont.gov/people/single/2026/14604,,,,,,,,,,,
ocd-person/5321cd58-caae-4d94-8ba0-f1df47d4e75b,Anne Donahue,Republican,Washington-1,lower,Anne,Donahue,Female,adonahue@leg.state.vt.us,,1956-03-20,,https://legislature.vermont.gov/Documents/Legislators/Donahue.Anne.jpg,https://legislature.vermont.gov/Documents/SmallMaps/2022/House/Washington-1.pdf;https://legislature.vermont.gov/Documents/SmallMaps/WAS-1.pdf;https://legislature.vermont.gov/people/single/2022/14557;https://legislature.vermont.gov/people/single/2024/14557;https://legislature.vermont.gov/people/single/2026/14557,https://ballotpedia.org/Anne_Donahue;https://en.wikipedia.org/wiki/Anne_Donahue;https://justfacts.votesmart.org/candidate/51128/anne-donahue;https://legislature.vermont.gov/people/loadAll/2020;https://legislature.vermont.gov/people/loadAll/2022;https://legislature.vermont.gov/people/loadAll/2024;https://legislature.vermont.gov/people/single/2020/14557;https://legislature.vermont.gov/people/single/2022/14557;https://legislature.vermont.gov/people/single/2024/14557;https://legislature.vermont.gov/people/single/2026/14557,,,,,,,,,,,
ocd-person/70fa5e7e-8ab1-4599-a881-61d12120637c,Anne Watson,Democratic,Washington,upper,Anne,Watson,Female,awatson@leg.state.vt.us,,,,"https://legislature.vermont.gov/Documents/Legislators/Watson,Anne.jpg",https://legislature.vermont.gov/Documents/SmallMaps/2022/Senate/Washington.pdf;https://legislature.vermont.gov/people/single/2024/37411;https://legislature.vermont.gov/people/single/2026/37411,https://ballotpedia.org/Anne_Watson;https://en.wikipedia.org/wiki/Anne_Watson;https://justfacts.votesmart.org/candidate/biography/161660/anne-watson;https://legislature.vermont.gov/people/loadAll/2024;https://legislature.vermont.gov/people/single/2024/37411;https://legislature.vermont.gov/people/single/2026/37411,,,,,,,,,,,
