id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/9eddb3cd-868e-42ba-831a-b415fd7ed445,Adam Bernbaum,Democratic,24,lower,Adam,Bernbaum,Male,adam.bernbaum@leg.wa.gov,,,,https://leg.wa.gov/memberphoto/34240.jpg,https://housedemocrats.wa.gov/bernbaum/;https://leg.wa.gov/legislators/member/adam-bernbaum,https://ballotpedia.org/Adam_Bernbaum;https://en.wikipedia.org/wiki/Adam_Bernbaum;https://housedemocrats.wa.gov/bernbaum;https://housedemocrats.wa.gov/bernbaum/biography;https://justfacts.votesmart.org/candidate/217602/adam-bernbaum;https://leg.wa.gov/legislators/member/adam-bernbaum;https://www.linkedin.com/in/adam-bernbaum-76362253,,,,,,,,,,,
ocd-person/bae1dc2d-8fd6-48cb-b1d8-afa86f205a3c,Adison Richards,Democratic,26,lower,Adison,Richards,Male,adison.richards@leg.wa.gov,,,,https://leg.wa.gov/memberphoto/20893.jpg,https://housedemocrats.wa.gov/richards/;https://leg.wa.gov/legislators/member/adison-richards,https://ballotpedia.org/Adison_Richards;https://en.wikipedia.org/wiki/Adison_Richards;https://housedemocrats.wa.gov/richards;https://housedemocrats.wa.gov/richards/biography;https://justfacts.votesmart.org/candidate/biography/207394/adison-richards;https://leg.wa.gov/legislators/member/adison-richards;https://www.linkedin.com/in/adison-richards-2062b793,,,,,,,,,,,
ocd-person/3f71f11c-c231-4661-af2a-629d2eb32580,Adrian Cortes,Democratic,18,upper,Adrian,Cortes,Male,adrian.cortes@leg.wa.gov,,,,https://leg.wa.gov/memberphoto/35473.jpg,https://leg.wa.gov/legislators/member/adrian-cortes;https://senatedemocrats.wa.gov/cortes/,https://ballotpedia.org/Adrian_E._Cortes;https://en.wikipedia.org/wiki/Adrian_Cortes_(politician);https://justfacts.votesmart.org/candidate/140116/adrian-cortes;https://leg.wa.gov/legislators/member/adrian-cortes;https://senatedemocrats.wa.gov/cortes;https://www.linkedin.com/in/dr-adrian-e-cortes-8ab27a83,,,,,,,,,,,
ocd-person/193dce49-ab25-4608-b4d2-65d80fd3d46c,Alex Ramel,Democratic,40,lower,Alex,Ramel,Male,alex.ramel@leg.wa.gov,,,,https://leg.wa.gov/memberphoto/30127.jpg,https://housedemocrats.wa.gov/Ramel/;https://housedemocrats.wa.gov/ramel/;https://leg.wa.gov/legislators/member/alex-ramel;https://www.leg.wa.gov/house/representatives/Pages/default.aspx,https://app.leg.wa.gov/ContentParts/MemberDirectory/?a=House;https://ballotpedia.org/Alex_Ramel;https://en.wikipedia.org/wiki/Alex_Ramel;https://housedemocrats.wa.gov/ramel;https://housedemocrats.wa.gov/ramel/;https://justfacts.votesmart.org/candidate/183092/alex-ramel;https://leg.wa.gov/legislators/member/alex-ramel;https://www.leg.wa.gov/house/representatives/Pages/default.aspx;https://www.linkedin.com/in/alexwramel,,,,,,,,,,,
ocd-person/ad28df67-a1bf-4580-b55f-f0917c6e69b2,Alex Ybarra,Republican,13,lower,Alex,Ybarra,Male,alex.ybarra@leg.wa.gov,,,,https://leg.wa.gov/memberphoto/29318.jpg,https://AlexYbarra.houserepublicans.wa.gov/;https://alexybarra.houserepublicans.wa.gov/;https://houserepublicans.wa.gov/Alex-Ybarra/;https://leg.wa.gov/legislators/member/alex-ybarra;https://www.leg.wa.gov/house/representatives/Pages/default.aspx,https://alexybarra.houserepublicans.wa.gov;https://alexybarra.houserepublicans.wa.gov/;https://alexybarra.houserepublicans.wa.gov/about;https://app.leg.wa.gov/ContentParts/MemberDirectory/?a=House;https://ballotpedia.org/Alex_Ybarra;https://en.wikipedia.org/wiki/Alex_Ybarra;https://justfacts.votesmart.org/candidate/186024/alex-ybarra;https://leg.wa.gov/legislators/member/alex-ybarra;https://www.leg.wa.gov/house/representatives/Pages/default.aspx;https://www.linkedin.com/in/alex-ybarra-a3a82834,,,,,,,,,,,
ocd-person/b735531c-ec99-4e19-9f43-967d951f8010,Alicia Rule,Democratic,42,lower,Alicia,Rule,Female,alicia.rule@leg.wa.gov,,,,https://leg.wa.gov/memberphoto/31533.jpg,https://housedemocrats.wa.gov/Rule/;https://housedemocrats.wa.gov/rule/;https://leg.wa.gov/legislators/member/alicia-rule;https://www.leg.wa.gov/house/representatives/Pages/default.aspx,https://app.leg.wa.gov/ContentParts/MemberDirectory/?a=House;https://ballotpedia.org/Alicia_Rule;https://en.wikipedia.org/wiki/Alicia_Rule;https://housedemocrats.wa.gov/rule;https://housedemocrats.wa.gov/rule/;https://justfacts.votesmart.org/candidate/biography/192805/alicia-rule;https://leg.wa.gov/legislators/member/alicia-rule;https://www.leg.wa.gov/house/representatives/Pages/default.aspx;https://www.linkedin.com/in/alicia-rule-licsw-259641155,,,,,,,,,,,
ocd-person/80548fd7-06a0-44f1-b121-7caae4819ed6,Amy Walen,Democratic,48,lower,Amy,Walen,Female,amy.walen@leg.wa.gov,,1967-12-26,,https://leg.wa.gov/memberphoto/29109.jpg,https://housedemocrats.wa.gov/legislators/Amy-Walen/;https://housedemocrats.wa.gov/Walen/;https://housedemocrats.wa.gov/walen/;https://leg.wa.gov/legislators/member/amy-walen;https://www.leg.wa.gov/house/representatives/Pages/default.aspx,https://app.leg.wa.gov/ContentParts/MemberDirectory/?a=House;https://ballotpedia.org/Amy_Walen;https://en.wikipedia.org/wiki/Amy_Walen;https://housedemocrats.wa.gov/walen;https://housedemocrats.wa.gov/walen/;https://housedemocrats.wa.gov/walen/bio;https://justfacts.votesmart.org/candidate/biography/122354/amy-walen;https://leg.wa.gov/legislators/member/amy-walen;https://www.leg.wa.gov/house/representatives/Pages/default.aspx;https://www.linkedin.com/in/amy-walen-8955788,,,,,,,,,,,
ocd-person/9c1fefff-fa5a-49aa-90ca-a9ca80b6f669,Andrew Barkis,Republican,2,lower,Andrew,Barkis,Male,andrew.barkis@leg.wa.gov,,,,https://andrewbarkis.houserepublicans.wa.gov/wp-content/uploads/2025/01/Rep-Barkis_Andrew-2025_900x1200.jpg,https://AndrewBarkis.houserepublicans.wa.gov/;https://andrewbarkis.houserepublicans.wa.gov/;https://houserepublicans.wa.gov/Andrew-Barkis/;https://leg.wa.gov/legislators/member/andrew-barkis;https://www.leg.wa.gov/house/representatives/Pages/default.aspx,https://andrewbarkis.houserepublicans.wa.gov;https://andrewbarkis.houserepublicans.wa.gov/;https://andrewbarkis.houserepublicans.wa.gov/about;https://app.leg.wa.gov/ContentParts/MemberDirectory/?a=House;https://ballotpedia.org/Andrew_Barkis;https://en.wikipedia.org/wiki/Andrew_Barkis;https://justfacts.votesmart.org/candidate/biography/167730/andrew-barkis;https://leg.wa.gov/legislators/member/andrew-barkis;https://www.leg.wa.gov/house/representatives/Pages/default.aspx;https://www.linkedin.com/in/andrew-barkis-82365293,,,,,,,,,,,
ocd-person/9a2a700c-9c13-4cc5-ab56-7e62327f0c19,Andrew Engell,Republican,7,lower,Andrew,Engell,Male,andrew.engell@leg.wa.gov,,,,https://leg.wa.gov/memberphoto/35409.jpg,https://andrewengell.houserepublicans.wa.gov/;https://leg.wa.gov/legislators/member/andrew-engell,https://andrewengell.houserepublicans.wa.gov;https://andrewengell.houserepublicans.wa.gov/about;https://ballotpedia.org/David_Engell;https://en.wikipedia.org/wiki/Andrew_Engell;https://justfacts.votesmart.org/candidate/biography/217535/andrew-engell;https://leg.wa.gov/legislators/member/andrew-engell;https://www.linkedin.com/in/andrew-engell;https://www.linkedin.com/in/andrew-engell-197b5666,,,,"215 N. Whitcomb Ave., Tonasket, WA 98855",,,,,,,
ocd-person/50c73eec-2f66-450b-b8b4-b8bce995e221,Annette Cleveland,Democratic,49,upper,Annette,Cleveland,Female,annette.cleveland@leg.wa.gov,,,,https://leg.wa.gov/memberphoto/17294.jpg,https://leg.wa.gov/legislators/member/annette-cleveland;https://sdc.wastateleg.org/Cleveland/;https://senatedemocrats.wa.gov/cleveland/;https://www.leg.wa.gov/senate/senators/Pages/default.aspx,https://app.leg.wa.gov/ContentParts/MemberDirectory/?a=Senate;https://ballotpedia.org/Annette_Cleveland;https://en.wikipedia.org/wiki/Annette_Cleveland;https://justfacts.votesmart.org/candidate/biography/140199/annette-cleveland;https://leg.wa.gov/legislators/member/annette-cleveland;https://senatedemocrats.wa.gov/cleveland;https://senatedemocrats.wa.gov/cleveland/;https://www.leg.wa.gov/senate/senators/Pages/default.aspx;https://www.linkedin.com/in/annette-cleveland-383b3511,,,,,,,,,,,
ocd-person/aebe068c-accc-4740-9e0d-97d20404ee95,April Berg,Democratic,44,lower,April,Berg,Female,april.berg@leg.wa.gov,,1974-03-04,,https://housedemocrats.wa.gov/tmp/2021/01/Rep-Berg_April-2021_150x200.jpg,https://housedemocrats.wa.gov/Berg/;https://housedemocrats.wa.gov/berg/;https://leg.wa.gov/legislators/member/april-berg;https://www.leg.wa.gov/house/representatives/Pages/default.aspx,https://app.leg.wa.gov/ContentParts/MemberDirectory/?a=House;https://ballotpedia.org/April_Berg;https://en.wikipedia.org/wiki/April_Berg;https://housedemocrats.wa.gov/berg;https://housedemocrats.wa.gov/berg/;https://housedemocrats.wa.gov/berg/biography;https://justfacts.votesmart.org/candidate/192790/april-berg;https://leg.wa.gov/legislators/member/april-berg;https://www.leg.wa.gov/house/representatives/Pages/default.aspx;https://www.linkedin.com/in/april-berg-50166724,,,,,,,,,,,
