id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/9995703e-90eb-4d20-a2f6-bfd9542102bd,Abby Angelos,Republican,3,lower,Abby,Angelos,Female,abby.angelos@wyoleg.gov,,,,https://wyoleg.gov/LegislatorSummary/Photos/68th-AngelosAbby.jpg,https://en.wikipedia.org/wiki/Abby_Angelos;https://www.wyoleg.gov/Legislators/2023/H/2091;https://www.wyoleg.gov/Legislators/2025/H/2091;https://wyoleg.gov/Legislators/2021/R/2091,https://ballotpedia.org/Abby_Angelos;https://en.wikipedia.org/wiki/Abby_Angelos;https://justfacts.votesmart.org/candidate/biography/207662/abby-angelos;https://www.wyoleg.gov/Legislators/2023/H/2091;https://www.wyoleg.gov/Legislators/2025/H/2091;https://wyoleg.gov/LsoService/api/legislator/2023/H;https://wyoleg.gov/LsoService/api/legislator/2091,,,,,,,,,,voteforabby,
ocd-person/3198aa67-829e-4827-8b26-8955cbf36f4a,Andrew Byron,Republican,22,lower,Andrew,Byron,Male,andrew.byron@wyoleg.gov,,,,https://wyoleg.gov/LegislatorSummary/Photos/68th-ByronAndrew.jpg,https://www.wyoleg.gov/Legislators/2023/H/2099;https://www.wyoleg.gov/Legislators/2025/H/2099;https://wyoleg.gov/Legislators/2021/R/2099,https://ballotpedia.org/Andrew_Byron;https://en.wikipedia.org/wiki/Andrew_Byron;https://justfacts.votesmart.org/candidate/biography/207687/andrew-byron;https://www.wyoleg.gov/Legislators/2023/H/2099;https://www.wyoleg.gov/Legislators/2025/H/2099;https://wyoleg.gov/LsoService/api/legislator/2023/H;https://wyoleg.gov/LsoService/api/legislator/2099,,,,,,,,,abforhd22,,
ocd-person/4665c34f-70f5-4bc0-af49-0239e0e907a1,Ann Lucas,Republican,43,lower,Ann,Lucas,Female,ann.lucas@wyoleg.gov,,,,https://wyoleg.gov/LegislatorSummary/Photos/68th-LucasAnn.jpg,https://www.wyoleg.gov/Legislators/2025/H/2128,https://ballotpedia.org/Ann_Lucas;https://justfacts.votesmart.org/candidate/biography/218341/ann-lucas;https://www.linkedin.com/in/ann-lucas-aab8869;https://www.wyoleg.gov/Legislators/2025/H/2128,,,,,,,,,,annlucas4wyoming,
ocd-person/394ba273-63d7-409d-90cd-5d183e750ea4,Art Washut,Republican,36,lower,Art,Washut,Male,art.washut@wyoleg.gov,,1957-10-14,,https://wyoleg.gov/LegislatorSummary/Photos/68th-WashutArt.jpg,https://www.wyoleg.gov/Legislators/2023/H/2058;https://www.wyoleg.gov/Legislators/2025/H/2058;https://wyoleg.gov/Legislators/2019/R/2058;https://wyoleg.gov/Legislators/2021/R/2058,https://ballotpedia.org/Art_Washut;https://en.wikipedia.org/wiki/Art_Washut;https://justfacts.votesmart.org/candidate/biography/184074/art-washut;https://www.caspercollege.edu/directory/arthur-washut;https://www.linkedin.com/in/arthur-washut-9a03b3149;https://www.wyoleg.gov/Legislators/2023/H/2058;https://www.wyoleg.gov/Legislators/2025/H/2058;https://wyoleg.gov/Legislators/2019/R/2058;https://wyoleg.gov/Legislators/2021/R/2058;https://wyoleg.gov/LsoService/api/legislator/2021/H;https://wyoleg.gov/LsoService/api/legislator/2023/H;https://wyoleg.gov/LsoService/api/legislator/2058,,,,"4031 Crystie Lane, Casper, WY 82609",,,,,,,
ocd-person/c6578593-1ca0-4b7d-8635-67249df87c36,Barry Crago,Republican,22,upper,Barry,Crago,Male,barry.crago@wyoleg.gov,,,,https://wyoleg.gov/LegislatorSummary/Photos/68th-CragoBarry.jpg,https://www.wyoleg.gov/Legislators/2023/H/2078;https://www.wyoleg.gov/Legislators/2025/S/2078;https://wyoleg.gov/Legislators/2021/R/2078,https://ballotpedia.org/Barry_Crago;https://en.wikipedia.org/wiki/Barry_Crago;https://justfacts.votesmart.org/candidate/194585/barry-crago;https://www.wyoleg.gov/Legislators/2023/H/2078;https://www.wyoleg.gov/Legislators/2025/S/2078;https://wyoleg.gov/Legislators/2021/R/2078;https://wyoleg.gov/LsoService/api/legislator/2021/H;https://wyoleg.gov/LsoService/api/legislator/2023/H;https://wyoleg.gov/LsoService/api/legislator/2078,,,,"443 Lobban Ave., Buffalo, WY 82834",,,,,,,
ocd-person/2f0d84dc-df29-4c3d-83ea-aa56beca9839,Bill Allemand,Republican,58,lower,Bill,Allemand,Male,bill.allemand@wyoleg.gov,,,,https://wyoleg.gov/LegislatorSummary/Photos/68th-AllemandBill.jpg,https://www.wyoleg.gov/Legislators/2023/H/2114;https://www.wyoleg.gov/Legislators/2024/H/2114;https://www.wyoleg.gov/Legislators/2025/H/2114;https://wyoleg.gov/Legislators/2021/R/2114,https://ballotpedia.org/Bill_Allemand;https://en.wikipedia.org/wiki/Bill_Allemand;https://justfacts.votesmart.org/candidate/biography/207721/bill-allemand;https://www.wyoleg.gov/Legislators/2023/H/2114;https://www.wyoleg.gov/Legislators/2024/H/2114;https://www.wyoleg.gov/Legislators/2025/H/2114;https://wyoleg.gov/LsoService/api/legislator/2023/H;https://wyoleg.gov/LsoService/api/legislator/2114,,,,,,,,,,,
ocd-person/e0c25487-a7fb-406b-b637-c3a4de3c6770,Bill Landen,Republican,27,upper,Bill,Landen,Male,bill.landen@wyoleg.gov,,1956-02-21,,https://wyoleg.gov/LegislatorSummary/Photos/68th-LandenBill.jpg,https://www.wyoleg.gov/Legislators/2023/S/434;https://www.wyoleg.gov/Legislators/2026/S/434;https://wyoleg.gov/Legislators/2019/R/434;https://wyoleg.gov/Legislators/2021/R/434,https://ballotpedia.org/Bill_Landen;https://en.wikipedia.org/wiki/Bill_Landen;https://justfacts.votesmart.org/candidate/93366/bill-landen;https://www.linkedin.com/in/william-r-landen-80838021;https://www.wyoleg.gov/Legislators/2023/S/434;https://www.wyoleg.gov/Legislators/2026/S/434;https://wyoleg.gov/Legislators/2019/R/434;https://wyoleg.gov/Legislators/2021/R/434;https://wyoleg.gov/LsoService/api/legislator/2021/S;https://wyoleg.gov/LsoService/api/legislator/2023/S;https://wyoleg.gov/LsoService/api/legislator/434,,,,"2010 Kingsbury Drive, Casper, WY 82609",,,,,,,
ocd-person/016465da-4d49-4ffc-8bb0-cf9528bc6d0e,Bo Biteman,Republican,21,upper,Bo,Biteman,Male,bo.biteman@wyoleg.gov,,1978-10-23,,https://wyoleg.gov/LegislatorSummary/Photos/68th-BitemanBo.jpg,https://www.wyoleg.gov/Legislators/2018/H/2044;https://www.wyoleg.gov/Legislators/2023/S/2044;https://www.wyoleg.gov/Legislators/2025/S/2044;https://wyoleg.gov/Legislators/2019/R/2044;https://wyoleg.gov/Legislators/2021/R/2044,https://ballotpedia.org/Bo_Biteman;https://en.wikipedia.org/wiki/Bo_Biteman;https://justfacts.votesmart.org/candidate/biography/171297/bo-biteman;https://www.linkedin.com/in/bobiteman;https://www.wyoleg.gov/Legislators/2018/H/2044;https://www.wyoleg.gov/Legislators/2023/S/2044;https://www.wyoleg.gov/Legislators/2025/S/2044;https://wyoleg.gov/Legislators/2019/R/2044;https://wyoleg.gov/Legislators/2021/R/2044;https://wyoleg.gov/LsoService/api/legislator/2021/S;https://wyoleg.gov/LsoService/api/legislator/2023/S;https://wyoleg.gov/LsoService/api/legislator/2044,,,,,,,bobiteman,,,Sen.Biteman,
ocd-person/8ddb8078-482c-4df5-983d-ece9e5825cc2,Bob Davis,Republican,47,lower,Bob,Davis,Male,bob.davis@wyoleg.gov,,,,https://wyoleg.gov/LegislatorSummary/Photos/68th-DavisBob.jpg,https://www.wyoleg.gov/Legislators/2023/H/2110;https://www.wyoleg.gov/Legislators/2025/H/2110;https://wyoleg.gov/Legislators/2021/R/2110,https://ballotpedia.org/Robert_Davis_(Wyoming);https://en.wikipedia.org/wiki/Bob_Davis_(Wyoming_politician);https://justfacts.votesmart.org/candidate/biography/207713/robert-davis;https://www.wyoleg.gov/Legislators/2023/H/2110;https://www.wyoleg.gov/Legislators/2025/H/2110;https://wyoleg.gov/LsoService/api/legislator/2023/H;https://wyoleg.gov/LsoService/api/legislator/2110,,,,,,,,,,BobDavisforWY,
ocd-person/6d1c2665-46ea-444d-b88b-b22e2623e660,Bob Ide,Republican,29,upper,Bob,Ide,Male,bob.ide@wyoleg.gov,,,,https://wyoleg.gov/LegislatorSummary/Photos/67th-IdeBob.jpg,https://www.wyoleg.gov/Legislators/2023/S/2089;https://www.wyoleg.gov/Legislators/2025/S/2089;https://wyoleg.gov/Legislators/2021/R/2089,https://ballotpedia.org/Robert_Ide_(Wyoming);https://en.wikipedia.org/wiki/Bob_Ide;https://justfacts.votesmart.org/candidate/biography/153744/bob-ide;https://www.linkedin.com/in/robert-ide-8a266040;https://www.wyoleg.gov/Legislators/2023/S/2089;https://www.wyoleg.gov/Legislators/2025/S/2089;https://wyoleg.gov/LsoService/api/legislator/2023/S;https://wyoleg.gov/LsoService/api/legislator/2089,,,,"3838 Garden Creek Road, Casper, WY 82601",307-472-0233,,BobIdeWY,,,BobIdeWY,
